datetime;resolutioncode;totalload;mostrecentforecast;mostrecentconfidence10;mostrecentconfidence90;dayaheadforecast;dayaheadconfidence10;dayaheadconfidence90;weekaheadforecast
2023-01-01T00:00:00+00:00;PT15M;7223.97;7381.91;7032.7;7731.12;7790.96;7480.15;8101.77;7771.15
2023-01-01T00:15:00+00:00;PT15M;7103.94;7291.36;6946.43;7636.29;7695.8;7388.79;8002.81;7678.91
2023-01-01T00:30:00+00:00;PT15M;7056.67;7179.07;6839.45;7518.68;7577.95;7275.63;7880.26;7562.21
2023-01-01T00:45:00+00:00;PT15M;6947.1;7112.77;6776.29;7449.25;7506.74;7207.27;7806.22;7493.59
2023-01-01T01:00:00+00:00;PT15M;6895.73;7026.03;6679.42;7372.64;7402.86;7094.33;7711.39;7508.81
2023-01-01T01:15:00+00:00;PT15M;6843.02;6946.47;6603.79;7289.15;7319.31;7014.26;7624.36;7423.53
2023-01-01T01:30:00+00:00;PT15M;6781.46;6912.85;6571.82;7253.87;7282.92;6979.39;7586.46;7381.23
2023-01-01T01:45:00+00:00;PT15M;6760.56;6890.59;6550.66;7230.51;7257.89;6955.4;7560.38;7354.51
2023-01-01T02:00:00+00:00;PT15M;6670.86;6842.45;6496.24;7188.67;7143.56;6835.41;7451.7;7340.07
2023-01-01T02:15:00+00:00;PT15M;6576.08;6757.99;6416.05;7099.93;7055.87;6751.51;7360.23;7248.66
2023-01-01T02:30:00+00:00;PT15M;6639.38;6730.18;6389.65;7070.71;7026.95;6723.83;7330.06;7214.37
2023-01-01T02:45:00+00:00;PT15M;6467.58;6750.65;6409.08;7092.21;7047.17;6743.18;7351.16;7231.05
2023-01-01T03:00:00+00:00;PT15M;6432.72;6653.89;6311.93;6995.84;6929.92;6625.5;7234.33;7160.27
2023-01-01T03:15:00+00:00;PT15M;6437.37;6658.5;6316.31;7000.7;6933.94;6629.35;7238.53;7166.29
2023-01-01T03:30:00+00:00;PT15M;6440.11;6669.93;6327.15;7012.71;6944.82;6639.75;7249.9;7181.86
2023-01-01T03:45:00+00:00;PT15M;6412.68;6680.18;6336.87;7023.49;6955.24;6649.71;7260.76;7197.95
2023-01-01T04:00:00+00:00;PT15M;6491.17;6710.18;6367.24;7053.12;6919.05;6613.82;7224.27;7160.23
2023-01-01T04:15:00+00:00;PT15M;6435.22;6688.04;6346.23;7029.85;6896.49;6592.26;7200.72;7138.79
2023-01-01T04:30:00+00:00;PT15M;6458.72;6683.3;6341.73;7024.86;6892.3;6588.25;7196.34;7139.98
2023-01-01T04:45:00+00:00;PT15M;6472.43;6729.42;6385.5;7073.35;6938.95;6632.85;7245.05;7190.18
2023-01-01T05:00:00+00:00;PT15M;6596.1;6804.25;6465.01;7143.48;6914.22;6612.23;7216.21;7146.84
