datetime;resolutioncode;totalload;mostrecentforecast;mostrecentconfidence10;mostrecentconfidence90;dayaheadforecast;dayaheadconfidence10;dayaheadconfidence90;weekaheadforecast
2026-08-01T00:00:00+00:00;PT15M;7000.55;6731.35;6566.55;6896.15;7083.64;6731.2;7436.08;7225.63
2026-08-01T00:15:00+00:00;PT15M;6954.51;6703.61;6539.49;6867.73;7054.45;6703.47;7405.44;7178.5
2026-08-01T00:30:00+00:00;PT15M;6921.37;6739.84;6574.83;6904.85;7092.58;6739.7;7445.47;7191.38
2026-08-01T00:45:00+00:00;PT15M;6887.22;6663.3;6500.17;6826.44;7012.04;6663.16;7360.91;7110.33
2026-08-01T01:00:00+00:00;PT15M;6866.38;6830.42;6664.58;6996.27;7039.85;6685.18;7394.52;7117.9
2026-08-01T01:15:00+00:00;PT15M;6870.08;6786.49;6621.71;6951.26;6994.57;6642.18;7346.96;7091.16
2026-08-01T01:30:00+00:00;PT15M;6829.14;6738.05;6574.45;6901.66;6944.65;6594.77;7294.52;7049.75
2026-08-01T01:45:00+00:00;PT15M;6780.81;6706.76;6543.92;6869.6;6912.4;6564.15;7260.65;7005.11
2026-08-01T02:00:00+00:00;PT15M;6709.07;6776.71;6611.52;6941.9;6943.19;6589.92;7296.46;7024.47
2026-08-01T02:15:00+00:00;PT15M;6670.56;6729.01;6564.98;6893.04;6894.32;6543.53;7245.1;6964.07
2026-08-01T02:30:00+00:00;PT15M;6654.5;6719.16;6555.37;6882.95;6884.22;6533.95;7234.49;6965.08
2026-08-01T02:45:00+00:00;PT15M;6689.24;6730.52;6566.45;6894.58;6895.86;6545.0;7246.72;6978.26
2026-08-01T03:00:00+00:00;PT15M;6731.91;6793.26;6627.91;6958.6;6866.66;6513.06;7220.25;6958.69
2026-08-01T03:15:00+00:00;PT15M;6754.34;6754.82;6590.41;6919.23;6827.8;6476.21;7179.4;6914.29
2026-08-01T03:30:00+00:00;PT15M;6781.75;6737.4;6573.42;6901.38;6810.2;6459.51;7160.88;6862.61
2026-08-01T03:45:00+00:00;PT15M;6763.57;6711.02;6547.68;6874.36;6783.53;6434.22;7132.85;6838.15
2026-08-01T04:00:00+00:00;PT15M;6744.17;6727.36;6566.07;6888.65;6855.99;6511.06;7200.91;6928.96
2026-08-01T04:15:00+00:00;PT15M;6730.41;6841.83;6677.79;7005.86;6972.64;6621.85;7323.43;7042.99
2026-08-01T04:30:00+00:00;PT15M;6771.36;6882.19;6717.19;7047.19;7013.8;6660.94;7366.67;7073.2
2026-08-01T04:45:00+00:00;PT15M;6867.14;6955.26;6788.51;7122.01;7088.27;6731.66;7444.87;7158.68
2026-08-01T05:00:00+00:00;PT15M;6895.96;6889.88;6728.32;7051.44;7197.67;6852.17;7543.16;7275.0
2026-08-01T05:15:00+00:00;PT15M;6970.56;6957.19;6794.06;7120.33;7267.99;6919.12;7616.86;7345.58
2026-08-01T05:30:00+00:00;PT15M;7026.59;7055.74;6890.29;7221.19;7370.93;7017.12;7724.74;7437.47
2026-08-01T05:45:00+00:00;PT15M;7064.05;7119.33;6952.4;7286.27;7437.37;7080.36;7794.37;7489.41
2026-08-01T06:00:00+00:00;PT15M;7089.85;7360.52;7200.2;7520.84;7396.99;7054.14;7739.84;7517.22
2026-08-01T06:15:00+00:00;PT15M;7218.54;7479.57;7316.65;7642.48;7516.62;7168.23;7865.02;7611.32
2026-08-01T06:30:00+00:00;PT15M;7354.18;7602.19;7436.61;7767.77;7639.86;7285.75;7993.97;7707.84
2026-08-01T06:45:00+00:00;PT15M;7498.83;7724.98;7556.72;7893.24;7763.25;7403.43;8123.08;7804.87
2026-08-01T07:00:00+00:00;PT15M;7536.4;7727.27;7566.67;7887.86;7801.15;7457.71;8144.59;7879.28
2026-08-01T07:15:00+00:00;PT15M;7655.3;7822.44;7659.87;7985.01;7897.23;7549.56;8244.9;7987.01
2026-08-01T07:30:00+00:00;PT15M;7794.05;7983.97;7818.04;8149.9;8060.3;7705.45;8415.15;8154.95
2026-08-01T07:45:00+00:00;PT15M;7866.6;8082.49;7914.51;8250.46;8159.76;7800.54;8518.99;8235.13
2026-08-01T08:00:00+00:00;PT15M;7926.8;8110.19;7949.05;8271.32;8230.85;7886.26;8575.44;8283.47
2026-08-01T08:15:00+00:00;PT15M;8040.28;8248.76;8084.88;8412.65;8371.49;8021.01;8721.97;8453.65
2026-08-01T08:30:00+00:00;PT15M;8088.67;8294.53;8129.73;8459.32;8417.93;8065.51;8770.36;8518.19
2026-08-01T08:45:00+00:00;PT15M;8173.77;8418.45;8251.2;8585.71;8543.7;8186.01;8901.39;8583.86
2026-08-01T09:00:00+00:00;PT15M;8299.61;8261.23;7926.48;8595.99;8684.43;8136.16;9232.71;8929.54
2026-08-01T09:15:00+00:00;PT15M;8384.86;8344.45;8006.33;8682.58;8771.91;8218.11;9325.71;8989.53
2026-08-01T09:30:00+00:00;PT15M;8499.64;8456.44;8113.78;8799.11;8889.64;8328.41;9450.87;9034.15
2026-08-01T09:45:00+00:00;PT15M;8872.63;8530.74;8185.06;8876.41;8967.74;8401.58;9533.91;9095.76
2026-08-01T10:00:00+00:00;PT15M;8913.46;8770.06;8428.74;9111.39;8846.24;8287.21;9405.28;9326.77
2026-08-01T10:15:00+00:00;PT15M;9022.81;8765.86;8424.71;9107.02;8842.0;8283.24;9400.77;9365.34
2026-08-01T10:30:00+00:00;PT15M;9071.32;8746.66;8406.26;9087.06;8822.34;8264.81;9379.86;9406.75
2026-08-01T10:45:00+00:00;PT15M;9095.54;8693.73;8355.39;9032.07;8768.95;8214.8;9323.1;9391.88
2026-08-01T11:00:00+00:00;PT15M;9187.47;9034.9;8692.83;9376.97;8672.63;8112.36;9232.89;9390.51
2026-08-01T11:15:00+00:00;PT15M;9212.34;9030.0;8688.11;9371.88;8667.92;8107.96;9227.88;9377.92
2026-08-01T11:30:00+00:00;PT15M;9116.5;8952.52;8613.57;9291.47;8593.55;8038.4;9148.71;9256.64
