datetime;resolutioncode;offshoreonshore;region;gridconnectiontype;measured;mostrecentforecast;mostrecentconfidence10;mostrecentconfidence90;dayahead11hforecast;dayahead11hconfidence10;dayahead11hconfidence90;dayaheadforecast;dayaheadconfidence10;dayaheadconfidence90;weekaheadforecast;weekaheadconfidence10;weekaheadconfidence90;monitoredcapacity;loadfactor;decrementalbidid
2026-08-01T00:00:00+00:00;PT15M;Offshore;Federal;Elia;-20.55;28.2;0.0;112.2;34.6;0.0;156.9;26.6;0.0;139.3;511.9;41.6;1043.4;2262.1;-0.01;''
2026-08-01T00:00:00+00:00;PT15M;Onshore;Flanders;Dso;139.29;132.2;51.9;264.4;94.2;37.2;243.6;121.1;58.0;284.3;124.5;51.7;563.0;1692.67;0.08;''
2026-08-01T00:00:00+00:00;PT15M;Onshore;Flanders;Elia;24.16;20.3;8.9;34.6;12.3;3.8;27.3;16.4;4.7;31.5;37.4;10.9;115.6;333.4;0.07;''
2026-08-01T00:00:00+00:00;PT15M;Onshore;Wallonia;Elia;12.04;8.5;1.9;18.8;9.7;4.1;20.1;11.8;6.0;21.4;6.0;1.5;51.6;186.2;0.06;''
2026-08-01T00:00:00+00:00;PT15M;Onshore;Wallonia;Dso;98.95;79.8;32.9;154.1;97.3;40.3;199.2;110.0;52.8;209.7;128.0;42.6;525.1;1440.07;0.07;''
2026-08-01T00:15:00+00:00;PT15M;Onshore;Flanders;Dso;127.5;128.1;48.6;259.3;86.7;32.9;231.1;116.6;53.9;273.3;122.2;55.9;573.2;1692.67;0.08;''
2026-08-01T00:15:00+00:00;PT15M;Offshore;Federal;Elia;-23.24;26.7;0.0;113.7;35.9;0.0;158.3;26.9;0.0;139.7;490.0;62.4;1077.7;2262.1;-0.01;''
2026-08-01T00:15:00+00:00;PT15M;Onshore;Flanders;Elia;22.43;18.7;8.3;32.4;11.3;3.1;26.3;15.3;5.0;30.1;36.9;11.5;115.0;333.4;0.07;''
2026-08-01T00:15:00+00:00;PT15M;Onshore;Wallonia;Elia;11.24;8.5;1.8;18.7;9.4;3.7;19.8;11.3;5.8;21.1;5.8;1.1;49.5;186.2;0.06;''
2026-08-01T00:15:00+00:00;PT15M;Onshore;Wallonia;Dso;100.05;80.1;32.5;157.1;95.3;39.0;196.6;108.7;52.2;207.5;123.9;42.7;520.2;1440.07;0.07;''
2026-08-01T00:30:00+00:00;PT15M;Onshore;Flanders;Dso;122.69;122.0;45.5;251.8;81.5;28.5;221.6;111.5;50.3;262.9;121.3;60.1;578.7;1692.67;0.07;''
2026-08-01T00:30:00+00:00;PT15M;Onshore;Flanders;Elia;22.76;17.9;7.6;31.1;10.3;2.6;25.1;14.6;4.8;28.9;36.0;11.6;114.4;333.4;0.07;''
2026-08-01T00:30:00+00:00;PT15M;Onshore;Wallonia;Dso;103.23;81.5;32.9;159.1;94.0;38.9;193.6;106.6;51.6;205.5;121.4;42.5;514.8;1440.07;0.07;''
2026-08-01T00:30:00+00:00;PT15M;Offshore;Federal;Elia;-24.0;25.6;0.0;114.6;37.2;0.4;159.8;27.0;0.0;140.5;468.1;71.5;1106.4;2262.1;-0.01;''
2026-08-01T00:30:00+00:00;PT15M;Onshore;Wallonia;Elia;13.45;8.3;1.9;18.5;9.1;3.5;19.5;11.1;5.4;20.6;5.3;0.7;47.7;186.2;0.07;''
2026-08-01T00:45:00+00:00;PT15M;Onshore;Flanders;Elia;22.85;16.9;7.0;29.7;9.3;2.3;24.3;13.9;4.5;27.7;35.2;11.2;113.8;333.4;0.07;''
2026-08-01T00:45:00+00:00;PT15M;Onshore;Wallonia;Elia;13.36;8.1;1.8;18.1;8.9;3.1;19.3;10.8;5.1;20.4;5.1;0.6;46.5;186.2;0.07;''
2026-08-01T00:45:00+00:00;PT15M;Onshore;Flanders;Dso;116.02;116.8;42.7;241.7;75.9;24.2;213.3;106.7;46.0;251.5;119.7;62.6;578.9;1692.67;0.07;''
2026-08-01T00:45:00+00:00;PT15M;Onshore;Wallonia;Dso;118.11;81.7;32.3;160.3;92.2;38.4;191.0;104.9;50.4;204.0;118.2;42.5;511.2;1440.07;0.08;''
2026-08-01T00:45:00+00:00;PT15M;Offshore;Federal;Elia;-26.26;24.5;0.0;115.4;38.6;1.0;161.8;27.5;0.0;141.9;445.7;66.1;1128.5;2262.1;-0.01;''
2026-08-01T01:00:00+00:00;PT15M;Offshore;Federal;Elia;-27.48;13.9;0.0;98.2;41.1;1.9;164.5;29.2;0.0;144.7;417.3;55.1;1137.5;2262.1;-0.01;''
2026-08-01T01:00:00+00:00;PT15M;Onshore;Wallonia;Dso;113.9;87.8;37.6;166.0;89.7;37.4;187.4;103.6;49.1;201.6;115.0;40.7;507.9;1440.07;0.08;''
2026-08-01T01:00:00+00:00;PT15M;Onshore;Flanders;Dso;116.82;123.8;48.8;253.0;64.2;18.0;201.0;104.4;42.6;242.2;120.1;63.9;573.2;1692.67;0.07;''
2026-08-01T01:00:00+00:00;PT15M;Onshore;Flanders;Elia;26.03;16.1;6.3;29.2;7.8;1.8;22.4;13.0;3.6;27.0;34.1;9.7;112.1;333.4;0.08;''
2026-08-01T01:00:00+00:00;PT15M;Onshore;Wallonia;Elia;13.21;8.7;2.6;18.0;8.6;2.9;19.0;10.4;4.8;20.2;4.8;0.6;46.2;186.2;0.07;''
2026-08-01T01:15:00+00:00;PT15M;Onshore;Flanders;Elia;26.49;15.2;5.9;27.8;7.3;1.5;21.9;12.3;3.4;26.3;33.3;8.9;110.4;333.4;0.08;''
2026-08-01T01:15:00+00:00;PT15M;Offshore;Federal;Elia;-28.03;13.6;0.0;100.4;42.9;2.4;166.5;31.0;0.0;147.7;396.1;57.7;1154.3;2262.1;-0.01;''
2026-08-01T01:15:00+00:00;PT15M;Onshore;Flanders;Dso;114.24;116.3;45.0;243.3;60.2;16.0;197.7;99.9;39.5;230.8;120.2;65.7;566.2;1692.67;0.07;''
2026-08-01T01:15:00+00:00;PT15M;Onshore;Wallonia;Elia;12.9;8.5;2.5;17.4;8.3;2.7;18.7;9.9;4.4;20.0;4.6;0.8;46.3;186.2;0.07;''
2026-08-01T01:15:00+00:00;PT15M;Onshore;Wallonia;Dso;115.56;86.7;36.3;166.4;87.5;36.3;184.6;101.0;47.2;199.0;112.5;40.2;504.7;1440.07;0.08;''
2026-08-01T01:30:00+00:00;PT15M;Onshore;Flanders;Dso;105.78;109.0;40.8;231.8;56.2;13.7;194.0;95.7;35.3;221.4;120.2;67.3;561.2;1692.67;0.06;''
2026-08-01T01:30:00+00:00;PT15M;Onshore;Wallonia;Elia;11.33;8.4;2.5;17.0;8.1;2.4;18.5;9.4;4.1;19.5;4.5;0.9;46.5;186.2;0.06;''
2026-08-01T01:30:00+00:00;PT15M;Onshore;Wallonia;Dso;120.97;85.4;36.1;166.5;85.2;35.0;181.5;98.6;45.3;196.2;110.2;38.7;502.2;1440.07;0.08;''
2026-08-01T01:30:00+00:00;PT15M;Onshore;Flanders;Elia;25.18;14.5;5.7;26.8;6.7;1.3;21.3;12.0;3.6;25.5;33.0;8.7;110.0;333.4;0.08;''
2026-08-01T01:30:00+00:00;PT15M;Offshore;Federal;Elia;-27.6;13.7;0.0;102.8;44.8;3.0;168.8;33.1;0.0;150.4;374.9;57.8;1149.9;2262.1;-0.01;''
2026-08-01T01:45:00+00:00;PT15M;Onshore;Flanders;Dso;92.58;101.3;36.5;218.8;51.6;11.4;190.4;91.6;31.9;213.6;120.0;67.5;559.5;1692.67;0.05;''
2026-08-01T01:45:00+00:00;PT15M;Onshore;Wallonia;Elia;11.39;8.1;2.4;16.8;7.8;2.1;18.3;9.1;3.6;19.2;4.5;1.0;46.5;186.2;0.06;''
2026-08-01T01:45:00+00:00;PT15M;Onshore;Wallonia;Dso;126.15;84.3;36.2;165.9;82.3;32.9;178.5;95.7;42.9;192.7;107.7;37.7;500.6;1440.07;0.09;''
