datetime;resolutioncode;region;measured;mostrecentforecast;mostrecentconfidence10;mostrecentconfidence90;dayahead11hforecast;dayahead11hconfidence10;dayahead11hconfidence90;dayaheadforecast;dayaheadconfidence10;dayaheadconfidence90;weekaheadforecast;weekaheadconfidence10;weekaheadconfidence90;monitoredcapacity;loadfactor
2026-08-01T00:00:00+00:00;PT15M;Belgium;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12128.284;0.0
2026-08-01T00:15:00+00:00;PT15M;Belgium;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12128.284;0.0
2026-08-01T00:30:00+00:00;PT15M;Belgium;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12128.284;0.0
2026-08-01T00:45:00+00:00;PT15M;Belgium;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12128.284;0.0
2026-08-01T01:00:00+00:00;PT15M;Belgium;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12128.284;0.0
2026-08-01T01:15:00+00:00;PT15M;Belgium;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12128.284;0.0
2026-08-01T01:30:00+00:00;PT15M;Belgium;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12128.284;0.0
2026-08-01T01:45:00+00:00;PT15M;Belgium;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12128.284;0.0
2026-08-01T02:00:00+00:00;PT15M;Belgium;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12128.284;0.0
2026-08-01T02:15:00+00:00;PT15M;Belgium;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12128.284;0.0
2026-08-01T02:30:00+00:00;PT15M;Belgium;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12128.284;0.0
2026-08-01T02:45:00+00:00;PT15M;Belgium;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12128.284;0.0
2026-08-01T03:00:00+00:00;PT15M;Belgium;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12128.284;0.0
2026-08-01T03:15:00+00:00;PT15M;Belgium;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12128.284;0.0
2026-08-01T03:30:00+00:00;PT15M;Belgium;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12128.284;0.0
2026-08-01T03:45:00+00:00;PT15M;Belgium;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12128.284;0.0
2026-08-01T04:00:00+00:00;PT15M;Belgium;0.0;5.081;4.171;6.219;4.694;3.766;5.933;5.046;4.149;6.124;3.806;3.023;5.311;12128.284;0.0
2026-08-01T04:15:00+00:00;PT15M;Belgium;10.344;56.221;43.63;68.766;54.654;42.618;67.955;56.109;43.138;68.786;43.752;29.996;58.075;12128.284;0.085
2026-08-01T04:30:00+00:00;PT15M;Belgium;88.009;150.718;121.718;179.207;149.767;121.445;178.922;149.673;121.761;180.284;132.406;99.1;163.629;12128.284;0.726
2026-08-01T04:45:00+00:00;PT15M;Belgium;210.397;245.772;197.332;292.389;251.088;196.417;301.573;242.416;194.856;290.628;249.745;206.194;288.844;12128.284;1.735
2026-08-01T05:00:00+00:00;PT15M;Belgium;365.833;337.204;264.593;412.572;372.603;290.857;463.109;351.046;285.556;427.482;402.284;348.018;456.478;12128.284;3.016
2026-08-01T05:15:00+00:00;PT15M;Belgium;575.904;465.376;375.144;569.452;509.546;402.754;640.258;476.598;394.645;587.724;569.883;502.383;643.077;12128.284;4.748
2026-08-01T05:30:00+00:00;PT15M;Belgium;845.785;662.578;558.081;775.401;702.532;595.411;839.191;670.719;577.24;786.774;756.493;677.741;857.162;12128.284;6.974
2026-08-01T05:45:00+00:00;PT15M;Belgium;1167.433;969.051;835.238;1103.4;993.486;871.051;1125.413;976.67;859.283;1099.62;982.17;893.296;1131.951;12128.284;9.626
2026-08-01T06:00:00+00:00;PT15M;Belgium;1473.345;1413.73;1260.192;1609.319;1337.97;1192.82;1514.522;1338.393;1202.304;1508.275;1217.248;1103.712;1452.151;12128.284;12.148
2026-08-01T06:15:00+00:00;PT15M;Belgium;1814.852;1776.256;1597.194;2023.569;1679.133;1514.483;1898.467;1691.485;1539.592;1897.985;1431.598;1255.671;1776.335;12128.284;14.964
2026-08-01T06:30:00+00:00;PT15M;Belgium;2145.995;2129.121;1878.923;2411.676;2012.16;1803.247;2252.971;2033.694;1857.152;2256.106;1652.333;1408.51;2102.417;12128.284;17.694
2026-08-01T06:45:00+00:00;PT15M;Belgium;2579.54;2500.883;2149.574;2837.592;2366.149;2100.614;2632.701;2396.75;2173.188;2640.948;1897.016;1600.543;2431.087;12128.284;21.269
2026-08-01T07:00:00+00:00;PT15M;Belgium;3037.14;2959.644;2484.713;3388.226;2760.121;2428.356;3100.893;2798.95;2510.848;3107.604;2149.898;1808.269;2768.102;12128.284;25.042
2026-08-01T07:15:00+00:00;PT15M;Belgium;3492.066;3439.918;2823.584;3932.646;3224.579;2797.861;3666.034;3273.635;2895.045;3659.998;2414.265;2029.983;3129.027;12128.284;28.793
2026-08-01T07:30:00+00:00;PT15M;Belgium;3915.422;3971.399;3254.372;4456.001;3760.48;3252.802;4236.736;3819.192;3369.341;4224.024;2673.069;2212.97;3525.323;12128.284;32.283
2026-08-01T07:45:00+00:00;PT15M;Belgium;4315.108;4499.204;3764.913;4939.372;4319.15;3790.946;4758.713;4377.055;3906.822;4749.606;2922.695;2344.932;3949.863;12128.284;35.579
2026-08-01T08:00:00+00:00;PT15M;Belgium;4725.388;5032.012;4316.972;5409.786;4844.825;4320.776;5242.381;4895.675;4418.97;5234.65;3183.042;2485.703;4362.123;12128.284;38.962
2026-08-01T08:15:00+00:00;PT15M;Belgium;5143.366;5477.887;4786.715;5815.592;5324.305;4797.12;5710.174;5367.924;4876.102;5709.394;3448.831;2643.179;4750.178;12128.284;42.408
2026-08-01T08:30:00+00:00;PT15M;Belgium;5559.088;5900.754;5231.767;6238.663;5767.862;5217.082;6171.544;5806.988;5295.045;6178.139;3674.882;2744.524;5126.047;12128.284;45.836
2026-08-01T08:45:00+00:00;PT15M;Belgium;5935.132;6293.818;5645.519;6652.458;6165.589;5591.705;6582.142;6206.12;5679.641;6592.082;3851.986;2790.476;5478.934;12128.284;48.936
2026-08-01T09:00:00+00:00;PT15M;Belgium;6293.853;6368.274;5726.304;6730.778;6524.411;5957.955;6935.095;6566.857;6055.552;6944.886;4011.766;2811.865;5824.329;12128.284;51.894
2026-08-01T09:15:00+00:00;PT15M;Belgium;6594.312;6694.578;6056.747;7063.179;6849.055;6312.371;7258.461;6892.355;6419.607;7260.914;4165.416;2838.528;6154.95;12128.284;54.371
2026-08-01T09:30:00+00:00;PT15M;Belgium;6876.487;6962.097;6327.979;7329.371;7115.343;6613.498;7514.608;7163.147;6741.498;7516.657;4351.222;2956.171;6443.185;12128.284;56.698
2026-08-01T09:45:00+00:00;PT15M;Belgium;7150.163;7187.251;6555.759;7593.605;7337.563;6818.85;7749.844;7394.331;7006.452;7757.275;4585.372;3200.75;6709.974;12128.284;58.954
2026-08-01T10:00:00+00:00;PT15M;Belgium;7374.663;7275.774;6534.293;7751.852;7517.394;6960.989;7943.466;7581.236;7198.943;7949.486;4836.441;3502.824;6923.406;12128.284;60.805
2026-08-01T10:15:00+00:00;PT15M;Belgium;7551.16;7427.284;6580.93;7997.635;7670.034;7050.154;8147.227;7739.465;7307.52;8153.805;5096.528;3829.06;7124.637;12128.284;62.261
2026-08-01T10:30:00+00:00;PT15M;Belgium;7669.716;7531.782;6590.646;8181.949;7785.151;7106.666;8315.048;7860.448;7364.925;8323.594;5285.723;4045.829;7293.856;12128.284;63.238
2026-08-01T10:45:00+00:00;PT15M;Belgium;7754.879;7590.859;6558.665;8332.586;7865.207;7104.527;8465.347;7947.542;7378.273;8480.115;5401.188;4189.842;7435.348;12128.284;63.94
