delivery_start_aest,available_at_aest,region,rrp_aud_per_mwh,total_demand_mw,source_interval_minutes,source_interval_count,split
2015-01-01T00:00:00+10:00,2015-01-01T01:00:00+10:00,NSW1,47.6550000000,6794.8250000000,30,2,train
2015-01-01T01:00:00+10:00,2015-01-01T02:00:00+10:00,NSW1,35.9800000000,6191.8650000000,30,2,train
2015-01-01T02:00:00+10:00,2015-01-01T03:00:00+10:00,NSW1,32.2650000000,5769.6500000000,30,2,train
2015-01-01T03:00:00+10:00,2015-01-01T04:00:00+10:00,NSW1,31.2500000000,5639.5600000000,30,2,train
2015-01-01T04:00:00+10:00,2015-01-01T05:00:00+10:00,NSW1,28.3250000000,5599.7300000000,30,2,train
2015-01-01T05:00:00+10:00,2015-01-01T06:00:00+10:00,NSW1,25.4750000000,5618.0700000000,30,2,train
2015-01-01T06:00:00+10:00,2015-01-01T07:00:00+10:00,NSW1,27.3550000000,5902.3900000000,30,2,train
2015-01-01T07:00:00+10:00,2015-01-01T08:00:00+10:00,NSW1,29.9100000000,6291.8300000000,30,2,train
2015-01-01T08:00:00+10:00,2015-01-01T09:00:00+10:00,NSW1,32.0950000000,6674.8850000000,30,2,train
2015-01-01T09:00:00+10:00,2015-01-01T10:00:00+10:00,NSW1,34.4300000000,7066.8300000000,30,2,train
2015-01-01T10:00:00+10:00,2015-01-01T11:00:00+10:00,NSW1,40.7450000000,7386.2100000000,30,2,train
2015-01-01T11:00:00+10:00,2015-01-01T12:00:00+10:00,NSW1,39.4650000000,7728.4950000000,30,2,train
2015-01-01T12:00:00+10:00,2015-01-01T13:00:00+10:00,NSW1,39.3700000000,7986.4450000000,30,2,train
2015-01-01T13:00:00+10:00,2015-01-01T14:00:00+10:00,NSW1,69.7050000000,8357.4100000000,30,2,train
2015-01-01T14:00:00+10:00,2015-01-01T15:00:00+10:00,NSW1,208.5400000000,8762.9700000000,30,2,train
2015-01-01T15:00:00+10:00,2015-01-01T16:00:00+10:00,NSW1,285.0700000000,9110.7700000000,30,2,train
2015-01-01T16:00:00+10:00,2015-01-01T17:00:00+10:00,NSW1,298.2750000000,9261.5200000000,30,2,train
2015-01-01T17:00:00+10:00,2015-01-01T18:00:00+10:00,NSW1,216.6350000000,9158.4000000000,30,2,train
2015-01-01T18:00:00+10:00,2015-01-01T19:00:00+10:00,NSW1,72.4550000000,8813.6800000000,30,2,train
2015-01-01T19:00:00+10:00,2015-01-01T20:00:00+10:00,NSW1,111.9650000000,8596.3200000000,30,2,train
2015-01-01T20:00:00+10:00,2015-01-01T21:00:00+10:00,NSW1,45.7050000000,8321.9600000000,30,2,train
2015-01-01T21:00:00+10:00,2015-01-01T22:00:00+10:00,NSW1,40.9900000000,7904.7550000000,30,2,train
2015-01-01T22:00:00+10:00,2015-01-01T23:00:00+10:00,NSW1,38.3400000000,7528.6350000000,30,2,train
2015-01-01T23:00:00+10:00,2015-01-02T00:00:00+10:00,NSW1,36.7000000000,7097.5050000000,30,2,train
2015-01-02T00:00:00+10:00,2015-01-02T01:00:00+10:00,NSW1,38.4200000000,6690.5500000000,30,2,train
2015-01-02T01:00:00+10:00,2015-01-02T02:00:00+10:00,NSW1,32.2250000000,6129.4400000000,30,2,train
2015-01-02T02:00:00+10:00,2015-01-02T03:00:00+10:00,NSW1,31.5450000000,5834.5650000000,30,2,train
2015-01-02T03:00:00+10:00,2015-01-02T04:00:00+10:00,NSW1,37.5950000000,5766.3300000000,30,2,train
2015-01-02T04:00:00+10:00,2015-01-02T05:00:00+10:00,NSW1,30.1100000000,5928.0750000000,30,2,train
2015-01-02T05:00:00+10:00,2015-01-02T06:00:00+10:00,NSW1,29.4800000000,6288.5450000000,30,2,train
2015-01-02T06:00:00+10:00,2015-01-02T07:00:00+10:00,NSW1,36.5000000000,6773.8950000000,30,2,train
2015-01-02T07:00:00+10:00,2015-01-02T08:00:00+10:00,NSW1,38.1750000000,7348.3350000000,30,2,train
2015-01-02T08:00:00+10:00,2015-01-02T09:00:00+10:00,NSW1,86.0250000000,7913.6500000000,30,2,train
2015-01-02T09:00:00+10:00,2015-01-02T10:00:00+10:00,NSW1,117.0500000000,8267.4000000000,30,2,train
2015-01-02T10:00:00+10:00,2015-01-02T11:00:00+10:00,NSW1,272.3750000000,8586.4200000000,30,2,train
2015-01-02T11:00:00+10:00,2015-01-02T12:00:00+10:00,NSW1,184.9150000000,8870.0150000000,30,2,train
2015-01-02T12:00:00+10:00,2015-01-02T13:00:00+10:00,NSW1,299.7150000000,9059.4700000000,30,2,train
2015-01-02T13:00:00+10:00,2015-01-02T14:00:00+10:00,NSW1,299.7500000000,9298.6450000000,30,2,train
2015-01-02T14:00:00+10:00,2015-01-02T15:00:00+10:00,NSW1,299.6150000000,9283.4750000000,30,2,train
2015-01-02T15:00:00+10:00,2015-01-02T16:00:00+10:00,NSW1,140.0450000000,9266.1350000000,30,2,train
2015-01-02T16:00:00+10:00,2015-01-02T17:00:00+10:00,NSW1,166.6500000000,9214.8250000000,30,2,train
2015-01-02T17:00:00+10:00,2015-01-02T18:00:00+10:00,NSW1,57.7100000000,8987.7400000000,30,2,train
2015-01-02T18:00:00+10:00,2015-01-02T19:00:00+10:00,NSW1,51.3450000000,8728.0950000000,30,2,train
2015-01-02T19:00:00+10:00,2015-01-02T20:00:00+10:00,NSW1,62.0900000000,8717.1100000000,30,2,train
2015-01-02T20:00:00+10:00,2015-01-02T21:00:00+10:00,NSW1,52.7400000000,8493.0400000000,30,2,train
2015-01-02T21:00:00+10:00,2015-01-02T22:00:00+10:00,NSW1,43.2750000000,8242.7700000000,30,2,train
2015-01-02T22:00:00+10:00,2015-01-02T23:00:00+10:00,NSW1,43.7150000000,7922.2200000000,30,2,train
2015-01-02T23:00:00+10:00,2015-01-03T00:00:00+10:00,NSW1,41.7600000000,7478.2050000000,30,2,train
2015-01-03T00:00:00+10:00,2015-01-03T01:00:00+10:00,NSW1,37.8200000000,6954.7500000000,30,2,train
2015-01-03T01:00:00+10:00,2015-01-03T02:00:00+10:00,NSW1,32.1900000000,6364.2200000000,30,2,train
2015-01-03T02:00:00+10:00,2015-01-03T03:00:00+10:00,NSW1,28.3250000000,6005.6250000000,30,2,train
2015-01-03T03:00:00+10:00,2015-01-03T04:00:00+10:00,NSW1,27.6000000000,5910.3500000000,30,2,train
2015-01-03T04:00:00+10:00,2015-01-03T05:00:00+10:00,NSW1,28.1450000000,5951.9000000000,30,2,train
2015-01-03T05:00:00+10:00,2015-01-03T06:00:00+10:00,NSW1,23.3950000000,6076.5600000000,30,2,train
2015-01-03T06:00:00+10:00,2015-01-03T07:00:00+10:00,NSW1,27.9300000000,6546.9250000000,30,2,train
2015-01-03T07:00:00+10:00,2015-01-03T08:00:00+10:00,NSW1,31.0250000000,7253.5800000000,30,2,train
2015-01-03T08:00:00+10:00,2015-01-03T09:00:00+10:00,NSW1,40.2250000000,7907.8800000000,30,2,train
2015-01-03T09:00:00+10:00,2015-01-03T10:00:00+10:00,NSW1,43.7800000000,8224.9100000000,30,2,train
2015-01-03T10:00:00+10:00,2015-01-03T11:00:00+10:00,NSW1,47.3450000000,8559.7800000000,30,2,train
2015-01-03T11:00:00+10:00,2015-01-03T12:00:00+10:00,NSW1,41.9000000000,8841.4150000000,30,2,train
2015-01-03T12:00:00+10:00,2015-01-03T13:00:00+10:00,NSW1,39.8050000000,9085.6850000000,30,2,train
2015-01-03T13:00:00+10:00,2015-01-03T14:00:00+10:00,NSW1,42.1950000000,9279.4350000000,30,2,train
2015-01-03T14:00:00+10:00,2015-01-03T15:00:00+10:00,NSW1,44.2400000000,9501.8300000000,30,2,train
2015-01-03T15:00:00+10:00,2015-01-03T16:00:00+10:00,NSW1,47.3900000000,9730.7950000000,30,2,train
2015-01-03T16:00:00+10:00,2015-01-03T17:00:00+10:00,NSW1,64.9950000000,9760.0600000000,30,2,train
2015-01-03T17:00:00+10:00,2015-01-03T18:00:00+10:00,NSW1,38.7200000000,9651.0150000000,30,2,train
2015-01-03T18:00:00+10:00,2015-01-03T19:00:00+10:00,NSW1,38.0700000000,9292.7050000000,30,2,train
2015-01-03T19:00:00+10:00,2015-01-03T20:00:00+10:00,NSW1,43.2050000000,8937.3850000000,30,2,train
2015-01-03T20:00:00+10:00,2015-01-03T21:00:00+10:00,NSW1,46.0950000000,8647.2100000000,30,2,train
2015-01-03T21:00:00+10:00,2015-01-03T22:00:00+10:00,NSW1,36.4050000000,8244.1450000000,30,2,train
2015-01-03T22:00:00+10:00,2015-01-03T23:00:00+10:00,NSW1,32.2050000000,7764.4050000000,30,2,train
2015-01-03T23:00:00+10:00,2015-01-04T00:00:00+10:00,NSW1,28.2800000000,7197.3000000000,30,2,train
2015-01-04T00:00:00+10:00,2015-01-04T01:00:00+10:00,NSW1,28.3200000000,6713.0650000000,30,2,train
2015-01-04T01:00:00+10:00,2015-01-04T02:00:00+10:00,NSW1,25.1050000000,6200.0750000000,30,2,train
2015-01-04T02:00:00+10:00,2015-01-04T03:00:00+10:00,NSW1,22.5250000000,5959.8600000000,30,2,train
2015-01-04T03:00:00+10:00,2015-01-04T04:00:00+10:00,NSW1,20.2300000000,5870.3650000000,30,2,train
2015-01-04T04:00:00+10:00,2015-01-04T05:00:00+10:00,NSW1,20.2400000000,5861.8500000000,30,2,train
2015-01-04T05:00:00+10:00,2015-01-04T06:00:00+10:00,NSW1,18.9600000000,5945.7300000000,30,2,train
2015-01-04T06:00:00+10:00,2015-01-04T07:00:00+10:00,NSW1,21.5600000000,6411.4000000000,30,2,train
2015-01-04T07:00:00+10:00,2015-01-04T08:00:00+10:00,NSW1,26.0850000000,6973.8350000000,30,2,train
2015-01-04T08:00:00+10:00,2015-01-04T09:00:00+10:00,NSW1,29.1000000000,7602.3450000000,30,2,train
2015-01-04T09:00:00+10:00,2015-01-04T10:00:00+10:00,NSW1,31.5400000000,8165.5000000000,30,2,train
2015-01-04T10:00:00+10:00,2015-01-04T11:00:00+10:00,NSW1,33.3900000000,8665.4200000000,30,2,train
2015-01-04T11:00:00+10:00,2015-01-04T12:00:00+10:00,NSW1,37.1200000000,9072.9900000000,30,2,train
2015-01-04T12:00:00+10:00,2015-01-04T13:00:00+10:00,NSW1,40.7150000000,9452.2350000000,30,2,train
2015-01-04T13:00:00+10:00,2015-01-04T14:00:00+10:00,NSW1,82.5350000000,9591.8100000000,30,2,train
2015-01-04T14:00:00+10:00,2015-01-04T15:00:00+10:00,NSW1,40.8350000000,9639.7900000000,30,2,train
2015-01-04T15:00:00+10:00,2015-01-04T16:00:00+10:00,NSW1,46.5100000000,9649.9900000000,30,2,train
2015-01-04T16:00:00+10:00,2015-01-04T17:00:00+10:00,NSW1,49.9050000000,9418.9400000000,30,2,train
2015-01-04T17:00:00+10:00,2015-01-04T18:00:00+10:00,NSW1,41.7350000000,9160.0250000000,30,2,train
2015-01-04T18:00:00+10:00,2015-01-04T19:00:00+10:00,NSW1,43.4100000000,8859.4300000000,30,2,train
2015-01-04T19:00:00+10:00,2015-01-04T20:00:00+10:00,NSW1,36.5350000000,8493.6950000000,30,2,train
2015-01-04T20:00:00+10:00,2015-01-04T21:00:00+10:00,NSW1,33.7300000000,8049.2950000000,30,2,train
2015-01-04T21:00:00+10:00,2015-01-04T22:00:00+10:00,NSW1,30.6650000000,7594.8800000000,30,2,train
2015-01-04T22:00:00+10:00,2015-01-04T23:00:00+10:00,NSW1,30.2200000000,7193.4600000000,30,2,train
2015-01-04T23:00:00+10:00,2015-01-05T00:00:00+10:00,NSW1,28.5300000000,6757.6800000000,30,2,train
2015-01-05T00:00:00+10:00,2015-01-05T01:00:00+10:00,NSW1,29.5750000000,6418.1050000000,30,2,train
2015-01-05T01:00:00+10:00,2015-01-05T02:00:00+10:00,NSW1,23.0400000000,5977.2050000000,30,2,train
