delivery_start_aest,available_at_aest,region,rrp_aud_per_mwh,total_demand_mw,source_interval_minutes,source_interval_count,split
2015-01-01T00:00:00+10:00,2015-01-01T01:00:00+10:00,QLD1,45.2500000000,6007.8550000000,30,2,train
2015-01-01T01:00:00+10:00,2015-01-01T02:00:00+10:00,QLD1,33.0750000000,5712.5750000000,30,2,train
2015-01-01T02:00:00+10:00,2015-01-01T03:00:00+10:00,QLD1,29.2250000000,5514.4150000000,30,2,train
2015-01-01T03:00:00+10:00,2015-01-01T04:00:00+10:00,QLD1,27.5500000000,5361.6100000000,30,2,train
2015-01-01T04:00:00+10:00,2015-01-01T05:00:00+10:00,QLD1,25.2100000000,5323.2350000000,30,2,train
2015-01-01T05:00:00+10:00,2015-01-01T06:00:00+10:00,QLD1,22.4450000000,5271.2250000000,30,2,train
2015-01-01T06:00:00+10:00,2015-01-01T07:00:00+10:00,QLD1,23.7550000000,5422.3600000000,30,2,train
2015-01-01T07:00:00+10:00,2015-01-01T08:00:00+10:00,QLD1,26.5450000000,5697.1100000000,30,2,train
2015-01-01T08:00:00+10:00,2015-01-01T09:00:00+10:00,QLD1,29.2900000000,5989.7650000000,30,2,train
2015-01-01T09:00:00+10:00,2015-01-01T10:00:00+10:00,QLD1,32.5500000000,6204.3000000000,30,2,train
2015-01-01T10:00:00+10:00,2015-01-01T11:00:00+10:00,QLD1,39.1050000000,6374.5350000000,30,2,train
2015-01-01T11:00:00+10:00,2015-01-01T12:00:00+10:00,QLD1,38.2100000000,6468.4250000000,30,2,train
2015-01-01T12:00:00+10:00,2015-01-01T13:00:00+10:00,QLD1,37.8950000000,6597.0150000000,30,2,train
2015-01-01T13:00:00+10:00,2015-01-01T14:00:00+10:00,QLD1,64.7200000000,6733.5500000000,30,2,train
2015-01-01T14:00:00+10:00,2015-01-01T15:00:00+10:00,QLD1,191.0200000000,6812.6250000000,30,2,train
2015-01-01T15:00:00+10:00,2015-01-01T16:00:00+10:00,QLD1,269.6500000000,6997.5150000000,30,2,train
2015-01-01T16:00:00+10:00,2015-01-01T17:00:00+10:00,QLD1,284.4150000000,7169.1900000000,30,2,train
2015-01-01T17:00:00+10:00,2015-01-01T18:00:00+10:00,QLD1,206.1250000000,7193.8550000000,30,2,train
2015-01-01T18:00:00+10:00,2015-01-01T19:00:00+10:00,QLD1,71.1800000000,7168.0250000000,30,2,train
2015-01-01T19:00:00+10:00,2015-01-01T20:00:00+10:00,QLD1,112.6750000000,7256.3200000000,30,2,train
2015-01-01T20:00:00+10:00,2015-01-01T21:00:00+10:00,QLD1,45.8050000000,7036.1250000000,30,2,train
2015-01-01T21:00:00+10:00,2015-01-01T22:00:00+10:00,QLD1,39.4350000000,6709.7500000000,30,2,train
2015-01-01T22:00:00+10:00,2015-01-01T23:00:00+10:00,QLD1,38.0300000000,6394.1650000000,30,2,train
2015-01-01T23:00:00+10:00,2015-01-02T00:00:00+10:00,QLD1,36.5400000000,6051.8100000000,30,2,train
2015-01-02T00:00:00+10:00,2015-01-02T01:00:00+10:00,QLD1,35.9550000000,5693.3700000000,30,2,train
2015-01-02T01:00:00+10:00,2015-01-02T02:00:00+10:00,QLD1,29.8150000000,5405.8250000000,30,2,train
