delivery_start_aest,available_at_aest,region,rrp_aud_per_mwh,total_demand_mw,source_interval_minutes,source_interval_count,split
2015-01-01T00:00:00+10:00,2015-01-01T01:00:00+10:00,TAS1,39.2100000000,942.8950000000,30,2,train
2015-01-01T01:00:00+10:00,2015-01-01T02:00:00+10:00,TAS1,29.0350000000,930.6000000000,30,2,train
2015-01-01T02:00:00+10:00,2015-01-01T03:00:00+10:00,TAS1,26.0800000000,924.2850000000,30,2,train
2015-01-01T03:00:00+10:00,2015-01-01T04:00:00+10:00,TAS1,24.3250000000,912.2600000000,30,2,train
2015-01-01T04:00:00+10:00,2015-01-01T05:00:00+10:00,TAS1,21.1150000000,893.4650000000,30,2,train
2015-01-01T05:00:00+10:00,2015-01-01T06:00:00+10:00,TAS1,16.6000000000,892.9550000000,30,2,train
2015-01-01T06:00:00+10:00,2015-01-01T07:00:00+10:00,TAS1,21.9150000000,939.2250000000,30,2,train
2015-01-01T07:00:00+10:00,2015-01-01T08:00:00+10:00,TAS1,21.0950000000,950.9800000000,30,2,train
2015-01-01T08:00:00+10:00,2015-01-01T09:00:00+10:00,TAS1,27.8650000000,917.3400000000,30,2,train
2015-01-01T09:00:00+10:00,2015-01-01T10:00:00+10:00,TAS1,27.0000000000,994.5600000000,30,2,train
2015-01-01T10:00:00+10:00,2015-01-01T11:00:00+10:00,TAS1,32.0500000000,995.0400000000,30,2,train
2015-01-01T11:00:00+10:00,2015-01-01T12:00:00+10:00,TAS1,27.7350000000,996.7700000000,30,2,train
2015-01-01T12:00:00+10:00,2015-01-01T13:00:00+10:00,TAS1,21.7500000000,957.7200000000,30,2,train
2015-01-01T13:00:00+10:00,2015-01-01T14:00:00+10:00,TAS1,25.2400000000,923.7100000000,30,2,train
2015-01-01T14:00:00+10:00,2015-01-01T15:00:00+10:00,TAS1,3.9300000000,917.5300000000,30,2,train
2015-01-01T15:00:00+10:00,2015-01-01T16:00:00+10:00,TAS1,-2.0500000000,952.0700000000,30,2,train
2015-01-01T16:00:00+10:00,2015-01-01T17:00:00+10:00,TAS1,-0.9650000000,1008.5300000000,30,2,train
2015-01-01T17:00:00+10:00,2015-01-01T18:00:00+10:00,TAS1,-8.1000000000,1039.0950000000,30,2,train
2015-01-01T18:00:00+10:00,2015-01-01T19:00:00+10:00,TAS1,-0.6700000000,1044.4100000000,30,2,train
2015-01-01T19:00:00+10:00,2015-01-01T20:00:00+10:00,TAS1,-0.6700000000,1068.8300000000,30,2,train
2015-01-01T20:00:00+10:00,2015-01-01T21:00:00+10:00,TAS1,23.2350000000,1077.0450000000,30,2,train
2015-01-01T21:00:00+10:00,2015-01-01T22:00:00+10:00,TAS1,48.3000000000,1033.5100000000,30,2,train
2015-01-01T22:00:00+10:00,2015-01-01T23:00:00+10:00,TAS1,48.3000000000,1002.8650000000,30,2,train
2015-01-01T23:00:00+10:00,2015-01-02T00:00:00+10:00,TAS1,33.6600000000,956.0850000000,30,2,train
2015-01-02T00:00:00+10:00,2015-01-02T01:00:00+10:00,TAS1,31.6450000000,940.1750000000,30,2,train
2015-01-02T01:00:00+10:00,2015-01-02T02:00:00+10:00,TAS1,44.1500000000,941.0000000000,30,2,train
2015-01-02T02:00:00+10:00,2015-01-02T03:00:00+10:00,TAS1,31.3200000000,928.0850000000,30,2,train
2015-01-02T03:00:00+10:00,2015-01-02T04:00:00+10:00,TAS1,8.9900000000,858.4900000000,30,2,train
2015-01-02T04:00:00+10:00,2015-01-02T05:00:00+10:00,TAS1,14.2850000000,871.3400000000,30,2,train
2015-01-02T05:00:00+10:00,2015-01-02T06:00:00+10:00,TAS1,31.0150000000,909.8950000000,30,2,train
2015-01-02T06:00:00+10:00,2015-01-02T07:00:00+10:00,TAS1,44.3250000000,937.6050000000,30,2,train
2015-01-02T07:00:00+10:00,2015-01-02T08:00:00+10:00,TAS1,48.3000000000,975.3700000000,30,2,train
2015-01-02T08:00:00+10:00,2015-01-02T09:00:00+10:00,TAS1,28.2450000000,981.0950000000,30,2,train
2015-01-02T09:00:00+10:00,2015-01-02T10:00:00+10:00,TAS1,10.2000000000,964.4100000000,30,2,train
2015-01-02T10:00:00+10:00,2015-01-02T11:00:00+10:00,TAS1,-42.0750000000,954.5500000000,30,2,train
2015-01-02T11:00:00+10:00,2015-01-02T12:00:00+10:00,TAS1,-53.5900000000,934.6050000000,30,2,train
2015-01-02T12:00:00+10:00,2015-01-02T13:00:00+10:00,TAS1,-31.9250000000,939.1750000000,30,2,train
2015-01-02T13:00:00+10:00,2015-01-02T14:00:00+10:00,TAS1,-35.5400000000,928.7800000000,30,2,train
2015-01-02T14:00:00+10:00,2015-01-02T15:00:00+10:00,TAS1,2.1000000000,940.2900000000,30,2,train
2015-01-02T15:00:00+10:00,2015-01-02T16:00:00+10:00,TAS1,10.9600000000,964.7400000000,30,2,train
2015-01-02T16:00:00+10:00,2015-01-02T17:00:00+10:00,TAS1,22.5650000000,978.4400000000,30,2,train
2015-01-02T17:00:00+10:00,2015-01-02T18:00:00+10:00,TAS1,41.4400000000,978.9400000000,30,2,train
2015-01-02T18:00:00+10:00,2015-01-02T19:00:00+10:00,TAS1,23.0750000000,988.5200000000,30,2,train
