TimeUTC,TimeDK,PriceArea,SatisfiedDemand,ImbalancePriceEUR,ImbalancePriceDKK,SpotPriceEUR,DominatingDirection,aFRRUpMW,aFRRVWAUpEUR,aFRRVWAUpDKK,aFRRDownMW,aFRRVWADownEUR,aFRRVWADownDKK,mFRRMarginalPriceUpEUR,mFRRMarginalPriceUpDKK,mFRRMarginalPriceDownEUR,mFRRMarginalPriceDownDKK
2026-08-31T21:45:00,2026-08-31T23:45:00,DK1,102.0,145.6,1088.37,145.6,1,0.0,0.0,0.0,-24.18,30.18,225.6,145.6,1088.37,136.0,1016.61
2026-08-31T21:30:00,2026-08-31T23:30:00,DK1,81.0,151.11,1129.56,151.11,1,0.0,126.22,943.51,-7.03,69.66,520.72,151.11,1129.56,139.0,1039.04
2026-08-31T21:15:00,2026-08-31T23:15:00,DK1,-26.0,135.28,1011.23,155.67,-1,11.87,225.65,1686.76,0.0,0.0,0.0,155.67,1163.65,135.28,1011.23
2026-08-31T21:00:00,2026-08-31T23:00:00,DK1,0.0,161.16,1204.69,161.16,0,10.6,225.28,1683.99,-0.03,111.45,833.1,161.16,1204.69,138.63,1036.27
2026-08-31T20:45:00,2026-08-31T22:45:00,DK1,0.0,167.48,1251.93,167.48,0,0.0,0.0,0.0,-4.84,115.04,859.94,167.48,1251.93,151.27,1130.76
2026-08-31T20:30:00,2026-08-31T22:30:00,DK1,43.0,173.0,1293.19,173.0,1,0.0,0.0,0.0,-6.2,113.37,847.45,173.0,1293.19,151.31,1131.06
2026-08-31T20:15:00,2026-08-31T22:15:00,DK1,0.0,169.54,1267.33,169.54,0,0.0,0.0,0.0,-13.29,51.1,381.98,169.54,1267.33,151.35,1131.36
2026-08-31T20:00:00,2026-08-31T22:00:00,DK1,0.0,175.65,1313.0,175.65,0,2.62,210.21,1571.34,-1.46,112.2,838.71,175.65,1313.0,154.31,1153.48
2026-08-31T19:45:00,2026-08-31T21:45:00,DK1,0.0,164.43,1229.13,164.43,0,0.0,0.0,0.0,-3.95,87.86,656.76,164.43,1229.13,151.45,1132.1
2026-08-31T19:30:00,2026-08-31T21:30:00,DK1,0.0,175.74,1313.67,175.74,0,4.57,223.91,1673.75,-0.64,102.13,763.43,175.74,1313.67,153.27,1145.71
2026-08-31T19:15:00,2026-08-31T21:15:00,DK1,194.0,184.21,1376.99,181.45,1,0.0,0.0,0.0,-13.95,39.05,291.9,184.21,1376.99,181.45,1356.36
2026-08-31T19:00:00,2026-08-31T21:00:00,DK1,66.0,208.29,1556.99,207.37,1,3.18,177.49,1326.76,-0.65,124.31,929.23,208.29,1556.99,207.37,1550.11
