HourUTC,HourDK,PriceArea,CentralPowerMWh,LocalPowerMWh,CommercialPowerMWh,LocalPowerSelfConMWh,OffshoreWindLt100MW_MWh,OffshoreWindGe100MW_MWh,OnshoreWindLt50kW_MWh,OnshoreWindGe50kW_MWh,HydroPowerMWh,SolarPowerLt10kW_MWh,SolarPowerGe10Lt40kW_MWh,SolarPowerGe40kW_MWh,SolarPowerSelfConMWh,UnknownProdMWh,ExchangeNO_MWh,ExchangeSE_MWh,ExchangeGE_MWh,ExchangeNL_MWh,ExchangeGB_MWh,ExchangeGreatBelt_MWh,GrossConsumptionMWh,GridLossTransmissionMWh,GridLossInterconnectorsMWh,GridLossDistributionMWh,PowerToHeatMWh
2026-08-28T18:00:00,2026-08-28T20:00:00,DK1,390.292309,70.989351,50.385064,46.139664,6.285615,656.325209,0.436481,260.982201,1.001404,2.688426,1.66849,54.593834,2.947537,11.30175,1252.1213,703.47,-613.9,447.341,-1002.546174,251.8,2594.323461,68.958487,10.8299,99.315546,16.685816
2026-08-28T17:00:00,2026-08-28T19:00:00,DK1,374.618316,75.517459,51.772617,48.761913,9.660155,626.342352,0.758609,304.24604,1.002608,5.384705,0.983796,147.910612,7.713956,6.851744,1335.4269,716.052,-1927.69,683.756,93.948226,147.4,2710.418008,75.53675,17.9043,105.590488,18.303033
2026-08-28T16:00:00,2026-08-28T18:00:00,DK1,350.732354,70.237849,50.625745,46.920697,7.874018,854.286326,0.992622,376.843591,1.002515,4.309225,0.398047,113.479783,5.909353,5.062332,1257.7819,716.047,-2522.91,683.222,758.889262,114.4,2896.104619,74.343287,18.0192,112.731228,21.247217
2026-08-28T15:00:00,2026-08-28T17:00:00,DK1,311.039345,81.536,48.559471,59.801587,11.366519,733.435964,1.288686,419.668328,0.99474,9.18601,1.114553,137.388317,12.050701,3.696842,784.877,715.197,-1639.04,535.39,727.875807,28.1,2983.526871,59.778903,12.619,108.44941,39.056394
2026-08-28T14:00:00,2026-08-28T16:00:00,DK1,279.569062,59.852783,45.644229,73.837266,16.705387,683.411353,1.842979,494.868342,0.982676,18.31674,2.017782,262.14211,14.123832,4.670271,-85.3041,716.693,717.57,350.566,-909.881326,165.4,2913.028386,58.567611,11.2041,104.356254,68.003733
2026-08-28T13:00:00,2026-08-28T15:00:00,DK1,306.269441,59.947053,44.035425,79.149318,26.505557,701.707975,3.062332,800.562021,0.99833,18.097376,1.697142,240.62614,31.663408,6.310494,-683.5022,716.446,2139.76,-137.123,-1321.704688,-10.8,3023.708125,67.63482,19.3502,107.84282,84.244162
2026-08-28T12:00:00,2026-08-28T14:00:00,DK1,325.048065,65.057331,43.870276,87.626946,30.969438,719.029874,3.615768,1007.871967,0.997079,19.37836,2.104209,291.413801,34.531128,3.18788,-595.9016,716.407,1760.6,-308.483,-1089.859535,99.7,3217.164989,63.741346,21.3756,104.237114,152.372801
2026-08-28T11:00:00,2026-08-28T13:00:00,DK1,301.733252,54.926846,46.956594,90.204207,36.851587,1239.72365,4.576799,1171.052212,1.003198,26.136444,2.658611,319.382009,17.408854,2.098658,-670.9018,715.648,1430.96,-604.011,-952.925695,60.9,3294.382425,64.879102,31.3378,108.774886,164.84069
2026-08-28T10:00:00,2026-08-28T12:00:00,DK1,318.732409,62.86898,47.669111,79.338946,47.311506,1436.22613,5.144494,1390.828487,0.991733,17.937068,1.185573,268.290718,14.370668,1.562373,-483.5015,708.783,1346.73,-470.413,-1341.32917,-144.8,3307.927526,78.684827,21.5705,117.683648,201.192608
2026-08-28T09:00:00,2026-08-28T11:00:00,DK1,349.801369,203.766866,53.71759,79.346994,36.631191,1478.248119,4.08824,1368.638906,1.003756,14.510787,1.091767,260.014386,13.780847,2.609072,-102.5001,717.537,639.14,-127.096,-1346.221619,-429.8,3218.309171,90.147764,9.6591,112.909869,103.108688
2026-08-28T08:00:00,2026-08-28T10:00:00,DK1,349.424739,81.597741,44.660662,74.27464,42.568457,1545.23607,5.386767,1559.115564,0.997812,14.011152,1.13707,220.621699,17.423479,2.180194,627.4019,717.495,-339.5,-146.255,-1417.497819,-198.2,3202.080126,91.182788,8.0931,114.117306,86.468003
