"Year","Month","Day","Period","122_HYDRO_1","122_HYDRO_2","122_HYDRO_3","122_HYDRO_4","122_HYDRO_5","122_HYDRO_6","201_HYDRO_4","215_HYDRO_1","215_HYDRO_2","215_HYDRO_3","222_HYDRO_1","222_HYDRO_2","222_HYDRO_3","222_HYDRO_4","222_HYDRO_5","222_HYDRO_6","322_HYDRO_1","322_HYDRO_2","322_HYDRO_3","322_HYDRO_4"
2020,1,1,1,4.2,4.2,4.2,4.2,4.2,4.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,16.5,16.5,16.5,16.5
2020,1,1,2,4.2,4.2,4.2,4.2,4.2,4.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,16.5,16.5,16.5,16.5
2020,1,1,3,4.2,4.2,4.2,4.2,4.2,4.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,16.5,16.5,16.5,16.5
2020,1,1,4,4.2,4.2,4.2,4.2,4.2,4.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,16.5,16.5,16.5,16.5
2020,1,1,5,4.2,4.2,4.2,4.2,4.2,4.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,16.5,16.5,16.5,16.5
2020,1,1,6,4.2,4.2,4.2,4.2,4.2,4.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,16.5,16.5,16.5,16.5
2020,1,1,7,4.2,4.2,4.2,4.2,4.2,4.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,16.5,16.5,16.5,16.5
2020,1,1,8,4.2,4.2,4.2,4.2,4.2,4.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,16.5,16.5,16.5,16.5
2020,1,1,9,4.2,4.2,4.2,4.2,4.2,4.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,16.5,16.5,16.5,16.5
2020,1,1,10,4.2,4.2,4.2,4.2,4.2,4.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,16.5,16.5,16.5,16.5
2020,1,1,11,4.2,4.2,4.2,4.2,4.2,4.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,16.5,16.5,16.5,16.5
2020,1,1,12,4.2,4.2,4.2,4.2,4.2,4.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,16.5,16.5,16.5,16.5
2020,1,1,13,4.167,4.167,4.167,4.167,4.167,4.167,9.317,9.317,9.317,9.317,9.317,9.317,9.317,9.317,9.317,9.317,16.817,16.817,16.817,16.817
2020,1,1,14,4.133,4.133,4.133,4.133,4.133,4.133,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333,17.133,17.133,17.133,17.133
2020,1,1,15,4.1,4.1,4.1,4.1,4.1,4.1,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35,17.45,17.45,17.45,17.45
2020,1,1,16,4.067,4.067,4.067,4.067,4.067,4.067,9.367,9.367,9.367,9.367,9.367,9.367,9.367,9.367,9.367,9.367,17.767,17.767,17.767,17.767
2020,1,1,17,4.033,4.033,4.033,4.033,4.033,4.033,9.383,9.383,9.383,9.383,9.383,9.383,9.383,9.383,9.383,9.383,18.083,18.083,18.083,18.083
2020,1,1,18,4,4,4,4,4,4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,18.4,18.4,18.4,18.4
2020,1,1,19,3.967,3.967,3.967,3.967,3.967,3.967,9.417,9.417,9.417,9.417,9.417,9.417,9.417,9.417,9.417,9.417,18.717,18.717,18.717,18.717
2020,1,1,20,3.933,3.933,3.933,3.933,3.933,3.933,9.433,9.433,9.433,9.433,9.433,9.433,9.433,9.433,9.433,9.433,19.033,19.033,19.033,19.033
2020,1,1,21,3.9,3.9,3.9,3.9,3.9,3.9,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,19.35,19.35,19.35,19.35
2020,1,1,22,3.867,3.867,3.867,3.867,3.867,3.867,9.467,9.467,9.467,9.467,9.467,9.467,9.467,9.467,9.467,9.467,19.667,19.667,19.667,19.667
2020,1,1,23,3.833,3.833,3.833,3.833,3.833,3.833,9.483,9.483,9.483,9.483,9.483,9.483,9.483,9.483,9.483,9.483,19.983,19.983,19.983,19.983
2020,1,1,24,3.8,3.8,3.8,3.8,3.8,3.8,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,20.3,20.3,20.3,20.3
2020,1,1,25,3.8,3.8,3.8,3.8,3.8,3.8,9.483,9.483,9.483,9.483,9.483,9.483,9.483,9.483,9.483,9.483,19.608,19.608,19.608,19.608
2020,1,1,26,3.8,3.8,3.8,3.8,3.8,3.8,9.467,9.467,9.467,9.467,9.467,9.467,9.467,9.467,9.467,9.467,18.917,18.917,18.917,18.917
2020,1,1,27,3.8,3.8,3.8,3.8,3.8,3.8,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,18.225,18.225,18.225,18.225
2020,1,1,28,3.8,3.8,3.8,3.8,3.8,3.8,9.433,9.433,9.433,9.433,9.433,9.433,9.433,9.433,9.433,9.433,17.533,17.533,17.533,17.533
