delivery_day,strategy,planned_profit_eur,base_terminal_soc_deviation_mwh,exclusivity_violations,energy_eur,capacity_eur,activation_eur,shortfall_cost_eur,schedule_gap_cost_eur,recovery_cost_eur,total_eur,committed_mw_hours,required_activation_mwh,delivered_activation_mwh,reserve_power_gap_mwh,reserve_energy_gap_mwh,day_ahead_gap_mwh,recovery_grid_mwh,max_committed_gross_power_mw,max_realised_gross_power_mw,slots_with_shortfall,slots_with_schedule_gap,activation_during_charge_slots,recovery_during_discharge_slots,recovery_during_activation_slots,recovery_overlap_slots,min_soc_mwh,max_soc_mwh,terminal_soc_mwh,terminal_soc_deviation_mwh,cycles,aggregation_quarter_total_eur,aggregation_hourly_total_eur,aggregation_cost_eur
2026-01-28,F08_LightGBM,1578.7554394678748,0.0,0,0.0,3747.7599999999998,3651.9055692900006,5.356999996288192e-05,0.0,256.14399490351025,7143.52152081649,68.0,4.5283999999999995,4.528399,0.0,9.999999993071107e-07,0.0,5.327528235294119,4.0,4.0,0,0,0,0,4,4,4.338609155373124,8.000000001,4.400000000000001,8.881784197001252e-16,0.0,7143.52152081649,7143.52152081649,0.0
2026-01-29,F08_LightGBM,2264.919597783204,0.0,0,0.0,1846.24,5932.3149452,0.00015540000010798584,0.0,421.23613324537973,7357.31865655462,72.0,6.726,6.725998999999999,0.0,1.0000000006948895e-06,0.0,7.912939999999999,4.0,4.0,1,0,0,0,10,10,3.886959942194681,8.000000001,4.400000000000001,8.881784197001252e-16,0.0,7352.177298694619,7352.177298694619,0.0
2026-01-30,F08_LightGBM,1712.5364778460407,0.0,0,0.0,1283.6399999999999,1295.3270276900005,2.5499999944111895e-05,0.0,354.1071977565557,2224.859804433445,68.0,6.5572,6.557199000000002,0.0,9.999999978083096e-07,0.0,7.714351764705883,4.0,4.0,0,0,0,0,8,8,4.337741433541849,7.647490807965919,4.399999999999999,-1.7763568394002505e-15,0.0,1873.6923250779753,1823.7321763598384,49.96014871813691
2026-01-31,F08_LightGBM,1359.3307906364494,0.0,0,-40.820911181670965,349.40000000000003,36.806563999999995,0.0,0.0,-1.0777035388265372,346.4633563571556,60.0,0.3464,0.3464,0.0,0.0,0.0,0.40752941068005344,4.0,4.0,0,0,0,1,1,2,4.338609154373123,8.0,4.399999999,-1.000000082740371e-09,0.4219544457292888,346.84803977300135,322.0668307704025,24.78120900259887
2026-02-01,F08_LightGBM,968.7970715389108,0.0,0,-60.183922927512484,340.24,491.30707157999996,9.642000005495837e-05,0.0,-24.741951890442532,796.10500412293,52.0,3.5999999999999996,3.5999989999999995,0.0,1.0000000005699894e-06,0.0,4.235292941176471,4.0,4.0,1,0,0,1,3,4,4.338609155373123,8.000000001,4.400000000000001,8.881784197001252e-16,0.4219544457292888,747.9333896680529,740.1534622707682,7.779927397284723
2026-02-02,F08_LightGBM,756.3928490496766,0.0,0,-0.3937871972127027,479.8,359.6481385800002,0.00019341999985524437,0.0,145.40599013566555,693.648167827122,52.0,2.5188,2.518799000000001,0.0,9.999999992515995e-07,0.0,2.9632929411764715,4.0,4.0,0,0,0,0,3,3,3.3491899479787186,8.000000001,4.4,0.0,0.4148795005781799,762.043461017797,709.3082820791774,52.73517893861958
2026-02-03,F08_LightGBM,869.0715387952932,0.0,0,0.0,681.12,2603.8660639800005,3.2600669599999788,0.0,29.096500988235306,3252.629496031765,60.0,3.0440000000000005,2.9939990000000005,0.050000000000000044,9.999999996401776e-07,0.0,3.522351764705883,4.0,4.0,1,0,0,0,0,0,4.4,7.165863337187867,4.4,0.0,0.0,2910.871211182002,2961.4697725374567,-50.598561355454876
2026-02-04,F08_LightGBM,915.9404593144073,0.0,0,0.0,894.0400000000001,500.07569131999986,5.343000003712794e-05,0.0,161.86282145988673,1232.2528164301134,60.0,3.4795999999999996,3.4795989999999994,0.0,1.0000000006948895e-06,0.0,4.0936458823529405,4.0,4.0,1,0,0,0,1,1,4.3933142093070225,8.000000001,4.4,0.0,0.0,1037.0783563325958,971.7023780514694,65.37597828112644
2026-02-05,F08_LightGBM,1162.9701313949683,0.0,0,0.0,582.8,578.99381155,0.00011034999999283613,0.0,14.073729311178443,1147.7199718888219,64.0,3.9192,3.919199,0.0,9.999999999350806e-07,0.0,4.610822352941176,4.0,4.0,0,0,0,0,4,4,4.3999999999999995,8.000000001,4.3999999999999995,-8.881784197001252e-16,0.0,816.1028456801532,797.59225743541,18.51058824474319
2026-02-06,F08_LightGBM,857.3915986305847,0.0,0,0.0,538.2,235.04759783999998,5.934000000170636e-05,0.0,73.17448230748192,700.0730561925182,60.0,1.4908,1.490799,0.0,1.0000000000287557e-06,0.0,1.7538811764705877,4.0,4.0,1,0,0,0,0,0,4.338609155373123,5.321954445729289,4.4,0.0,0.0,654.2326643194261,649.1513546204914,5.081309698934774
2026-02-07,F08_LightGBM,989.9643667392672,0.0,0,0.0,1124.3200000000002,394.8198382300001,7.990999998455428e-05,0.0,282.02802576915474,1237.1117325508455,60.0,3.0136000000000003,3.013599,0.0,9.99999999806711e-07,0.0,3.5454105882352938,4.0,4.0,0,0,0,0,4,4,4.250101528583111,5.729133389990709,4.4,0.0,0.0,1139.0388007406682,1094.0211061085492,45.017694632118946
2026-02-08,F08_LightGBM,1145.2419587983643,0.0,0,0.0,474.72,667.2551432400002,6.099999995434757e-05,0.0,306.29190039923753,835.6831818407628,68.0,4.5372,4.537199000000001,0.0,9.999999992515995e-07,0.0,5.337881176470587,4.0,4.0,0,0,0,0,2,2,4.3999999999999995,8.000000001,4.3999999999999995,-8.881784197001252e-16,0.0,423.48822521470595,419.8030060411765,3.685219173529447
2026-02-09,F08_LightGBM,808.9754869693478,0.0,0,143.850054989164,1587.6,281.67270566,0.0001743400000128765,0.0,129.17561498113935,1883.9469713280246,56.0,1.7416,1.741599,0.0,1.0000000000738585e-06,0.0,2.048939998915347,4.0,4.0,1,0,0,0,5,5,4.311275916687973,8.0,4.399999999,-1.000000082740371e-09,0.4219544457292888,1976.6077722633318,1856.412648160914,120.19512410241782
2026-02-10,F08_LightGBM,939.9833579381241,0.0,0,0.0,2152.2,516.0085295200001,5.484999996047263e-05,0.0,221.8728180153314,2446.335656654669,64.0,2.9252000000000002,2.925199000000001,0.0,9.999999992793551e-07,0.0,3.4414105882352954,4.0,4.0,0,0,0,0,3,3,4.2830749581715475,7.032234175171576,4.400000000000001,8.881784197001252e-16,0.0,2614.6546973904037,2614.6546973904037,0.0
2026-02-11,F08_LightGBM,1435.988543428255,0.0,0,0.0,1470.16,706.0286902599998,5.8169999974427324e-05,0.0,246.79471004666948,1929.3939220433303,68.0,4.2636,4.263599000000001,0.0,9.999999995603803e-07,0.0,5.015998823529414,4.0,4.0,0,0,0,0,2,2,4.4,8.000000001,4.400000000000002,1.7763568394002505e-15,0.0,1890.8148684470657,1908.7272435828274,-17.91237513576175
