target,forecast_origin_utc,horizon_hour,timestamp_utc,actual,forecast
Down,2025-02-04T22:00:00+00:00,1,2025-02-04T23:00:00+00:00,-3.2100000381469727,-6.5655569505461395
Down,2025-02-04T22:00:00+00:00,2,2025-02-05T00:00:00+00:00,-1.899999976158142,-4.382077087983921
Down,2025-02-04T22:00:00+00:00,3,2025-02-05T01:00:00+00:00,-1.71999990940094,-4.586497006800568
Down,2025-02-04T22:00:00+00:00,4,2025-02-05T02:00:00+00:00,-1.2649999856948853,-7.9248544712912645
Down,2025-02-04T22:00:00+00:00,5,2025-02-05T03:00:00+00:00,-1.9275000095367432,-4.961997472785095
Down,2025-02-04T22:00:00+00:00,6,2025-02-05T04:00:00+00:00,-4.402500152587891,-2.3415031531716615
Down,2025-02-04T22:00:00+00:00,7,2025-02-05T05:00:00+00:00,-1.9933332204818728,-4.2944322948350715
Down,2025-02-04T22:00:00+00:00,8,2025-02-05T06:00:00+00:00,-0.7400000095367432,-1.2520571280466206
Down,2025-02-04T22:00:00+00:00,9,2025-02-05T07:00:00+00:00,-9.432499885559082,2.620015824176881
Down,2025-02-04T22:00:00+00:00,10,2025-02-05T08:00:00+00:00,-0.809999942779541,3.9310688355810908
Down,2025-02-04T22:00:00+00:00,11,2025-02-05T09:00:00+00:00,-0.9574999809265136,1.5921168604113083
Down,2025-02-04T22:00:00+00:00,12,2025-02-05T10:00:00+00:00,-0.9774999618530272,3.0808864320239073
Down,2025-02-04T22:00:00+00:00,13,2025-02-05T11:00:00+00:00,0.5425000190734863,-4.036163205378083
Down,2025-02-04T22:00:00+00:00,14,2025-02-05T12:00:00+00:00,-1.4574999809265137,-13.35284368537622
Down,2025-02-04T22:00:00+00:00,15,2025-02-05T13:00:00+00:00,-2.1000001430511475,-6.584226245519489
Down,2025-02-04T22:00:00+00:00,16,2025-02-05T14:00:00+00:00,0.4099999666213989,-2.860036753895768
Down,2025-02-04T22:00:00+00:00,17,2025-02-05T15:00:00+00:00,-0.5249999761581421,-12.501826660013514
Down,2025-02-04T22:00:00+00:00,18,2025-02-05T16:00:00+00:00,-1.3066667318344116,-12.451844154811925
Down,2025-02-04T22:00:00+00:00,19,2025-02-05T17:00:00+00:00,1.096666693687439,-13.02500085161048
Down,2025-02-04T22:00:00+00:00,20,2025-02-05T18:00:00+00:00,1.0,-11.621215600633155
Down,2025-02-04T22:00:00+00:00,21,2025-02-05T19:00:00+00:00,0.1399999856948852,-15.494189809875763
Down,2025-02-04T22:00:00+00:00,22,2025-02-05T20:00:00+00:00,0.0699999928474426,-11.0070550615782
Down,2025-02-04T22:00:00+00:00,23,2025-02-05T21:00:00+00:00,-11.682499885559082,-16.52688571928575
Down,2025-02-04T22:00:00+00:00,24,2025-02-05T22:00:00+00:00,-8.020000457763672,-13.624683240260262
Down,2025-02-04T22:00:00+00:00,25,2025-02-05T23:00:00+00:00,-12.592499732971191,-17.619672372190205
Down,2025-02-04T22:00:00+00:00,26,2025-02-06T00:00:00+00:00,-2.1700000762939453,-11.493731290619884
Down,2025-02-04T22:00:00+00:00,27,2025-02-06T01:00:00+00:00,-0.3449999690055847,-9.155434903845078
Down,2025-02-04T22:00:00+00:00,28,2025-02-06T02:00:00+00:00,-1.0149999856948853,-14.909922533760195
Down,2025-02-04T22:00:00+00:00,29,2025-02-06T03:00:00+00:00,5.929999828338623,-17.844383800488647
Down,2025-02-04T22:00:00+00:00,30,2025-02-06T04:00:00+00:00,17.03999900817871,-15.192633819329465
Down,2025-02-04T22:00:00+00:00,31,2025-02-06T05:00:00+00:00,18.565000534057617,-9.833409793291953
Down,2025-02-04T22:00:00+00:00,32,2025-02-06T06:00:00+00:00,9.537500381469728,-13.970479603416225
Down,2025-02-04T22:00:00+00:00,33,2025-02-06T07:00:00+00:00,16.904998779296875,-9.264347382226811
Down,2025-02-04T22:00:00+00:00,34,2025-02-06T08:00:00+00:00,15.067501068115234,-12.395235992572088
Down,2025-02-04T22:00:00+00:00,35,2025-02-06T09:00:00+00:00,41.2925033569336,-5.251133770344219
Down,2025-02-04T22:00:00+00:00,36,2025-02-06T10:00:00+00:00,38.64500045776367,-15.902839253869884
Down,2025-02-04T22:00:00+00:00,37,2025-02-06T11:00:00+00:00,10.19499969482422,-24.941515940355913
Down,2025-02-04T22:00:00+00:00,38,2025-02-06T12:00:00+00:00,13.052499771118164,-12.500901931914715
Down,2025-02-04T22:00:00+00:00,39,2025-02-06T13:00:00+00:00,27.25,-15.517832656299094
Down,2025-02-04T22:00:00+00:00,40,2025-02-06T14:00:00+00:00,34.28000259399414,-18.88474719308927
Down,2025-02-04T22:00:00+00:00,41,2025-02-06T15:00:00+00:00,11.916666984558104,-12.20918078593606
Down,2025-02-04T22:00:00+00:00,42,2025-02-06T16:00:00+00:00,11.916666984558104,-14.301673014230444
Down,2025-02-04T22:00:00+00:00,43,2025-02-06T17:00:00+00:00,10.293333053588867,-18.928805951355987
Down,2025-02-04T22:00:00+00:00,44,2025-02-06T18:00:00+00:00,0.2050000429153442,-21.05136865009319
Down,2025-02-04T22:00:00+00:00,45,2025-02-06T19:00:00+00:00,-1.6449999809265137,-20.67009519595595
Down,2025-02-04T22:00:00+00:00,46,2025-02-06T20:00:00+00:00,-5.247499942779541,-16.549172375292056
Down,2025-02-04T22:00:00+00:00,47,2025-02-06T21:00:00+00:00,-2.4050002098083496,-25.033965287291803
Down,2025-02-04T22:00:00+00:00,48,2025-02-06T22:00:00+00:00,-8.854999542236328,-22.77025895562759
Down,2025-02-06T22:00:00+00:00,1,2025-02-06T23:00:00+00:00,-10.922500610351562,-8.718219526027298
Down,2025-02-06T22:00:00+00:00,2,2025-02-07T00:00:00+00:00,-1.7549998760223389,-4.23039499908376
Down,2025-02-06T22:00:00+00:00,3,2025-02-07T01:00:00+00:00,-2.9600000381469727,-1.8460941937695337
Down,2025-02-06T22:00:00+00:00,4,2025-02-07T02:00:00+00:00,-1.346666693687439,-2.300026575372135
Down,2025-02-06T22:00:00+00:00,5,2025-02-07T03:00:00+00:00,2.7350001335144043,-1.4824062358384362
Down,2025-02-06T22:00:00+00:00,6,2025-02-07T04:00:00+00:00,2.7350001335144043,4.231466743174647
Down,2025-02-06T22:00:00+00:00,7,2025-02-07T05:00:00+00:00,2.1475000381469727,3.137389645130889
Down,2025-02-06T22:00:00+00:00,8,2025-02-07T06:00:00+00:00,-9.399999618530272,5.668182507596646
Down,2025-02-06T22:00:00+00:00,9,2025-02-07T07:00:00+00:00,7.0,7.466902040740835
Down,2025-02-06T22:00:00+00:00,10,2025-02-07T08:00:00+00:00,7.0,7.770289083782997
Down,2025-02-06T22:00:00+00:00,11,2025-02-07T09:00:00+00:00,-0.6649999618530273,2.38007644079615
Down,2025-02-06T22:00:00+00:00,12,2025-02-07T10:00:00+00:00,2.6600000858306885,2.645507109990819
Down,2025-02-06T22:00:00+00:00,13,2025-02-07T11:00:00+00:00,0.5749998688697815,1.1173864260527846
Down,2025-02-06T22:00:00+00:00,14,2025-02-07T12:00:00+00:00,-1.122499942779541,-1.531283411517048
Down,2025-02-06T22:00:00+00:00,15,2025-02-07T13:00:00+00:00,1.536666750907898,0.2812898128858067
Down,2025-02-06T22:00:00+00:00,16,2025-02-07T14:00:00+00:00,0.8300000429153442,2.5349547948133524
Down,2025-02-06T22:00:00+00:00,17,2025-02-07T15:00:00+00:00,-1.5366665124893188,-0.1644563855536721
Down,2025-02-06T22:00:00+00:00,18,2025-02-07T16:00:00+00:00,-6.910000324249268,-5.476266087451765
Down,2025-02-06T22:00:00+00:00,19,2025-02-07T17:00:00+00:00,-21.19499969482422,-7.742616556143247
Down,2025-02-06T22:00:00+00:00,20,2025-02-07T18:00:00+00:00,8.693333625793457,-7.414223762456812
Down,2025-02-06T22:00:00+00:00,21,2025-02-07T19:00:00+00:00,8.112500190734863,-9.468405879861892
Down,2025-02-06T22:00:00+00:00,22,2025-02-07T20:00:00+00:00,-0.1800000071525573,-11.796359483927668
Down,2025-02-06T22:00:00+00:00,23,2025-02-07T21:00:00+00:00,3.325000047683716,-17.04815620629544
Down,2025-02-06T22:00:00+00:00,24,2025-02-07T22:00:00+00:00,-3.796666383743286,-16.099884596259574
Down,2025-02-06T22:00:00+00:00,25,2025-02-07T23:00:00+00:00,-0.3199999332427978,-20.132675190983655
Down,2025-02-06T22:00:00+00:00,26,2025-02-08T00:00:00+00:00,-3.5999999046325684,-14.98097011289949
Down,2025-02-06T22:00:00+00:00,27,2025-02-08T01:00:00+00:00,-4.25,-17.756625946829406
Down,2025-02-06T22:00:00+00:00,28,2025-02-08T02:00:00+00:00,-3.994999885559082,-16.959703520020163
Down,2025-02-06T22:00:00+00:00,29,2025-02-08T03:00:00+00:00,-2.693333387374878,-26.11493633521131
Down,2025-02-06T22:00:00+00:00,30,2025-02-08T04:00:00+00:00,-1.0399999618530271,-21.31008687447699
Down,2025-02-06T22:00:00+00:00,31,2025-02-08T05:00:00+00:00,-3.7266666889190674,-23.39404924688656
Down,2025-02-06T22:00:00+00:00,32,2025-02-08T06:00:00+00:00,1.7966666221618652,-25.463626488712144
Down,2025-02-06T22:00:00+00:00,33,2025-02-08T07:00:00+00:00,13.40999984741211,-17.780696905808963
Down,2025-02-06T22:00:00+00:00,34,2025-02-08T08:00:00+00:00,35.7599983215332,-15.512044864338076
Down,2025-02-06T22:00:00+00:00,35,2025-02-08T09:00:00+00:00,35.7599983215332,-14.116323944271127
Down,2025-02-06T22:00:00+00:00,36,2025-02-08T10:00:00+00:00,35.7599983215332,-28.40626505809602
Down,2025-02-06T22:00:00+00:00,37,2025-02-08T11:00:00+00:00,36.602500915527344,-25.554556842881404
Down,2025-02-06T22:00:00+00:00,38,2025-02-08T12:00:00+00:00,36.602500915527344,-22.76877379461279
Down,2025-02-06T22:00:00+00:00,39,2025-02-08T13:00:00+00:00,26.80000114440918,-23.77559682962303
Down,2025-02-06T22:00:00+00:00,40,2025-02-08T14:00:00+00:00,15.425000190734863,-28.827297329291603
Down,2025-02-06T22:00:00+00:00,41,2025-02-08T15:00:00+00:00,53.60499954223633,-29.127234747971773
Down,2025-02-06T22:00:00+00:00,42,2025-02-08T16:00:00+00:00,21.183332443237305,-29.4254275902794
Down,2025-02-06T22:00:00+00:00,43,2025-02-08T17:00:00+00:00,21.183332443237305,-30.164731913622216
Down,2025-02-06T22:00:00+00:00,44,2025-02-08T18:00:00+00:00,8.712499618530273,-36.08519551849316
Down,2025-02-06T22:00:00+00:00,45,2025-02-08T19:00:00+00:00,6.237500190734863,-30.965626146404176
Down,2025-02-06T22:00:00+00:00,46,2025-02-08T20:00:00+00:00,6.079999923706055,-34.45300977169054
Down,2025-02-06T22:00:00+00:00,47,2025-02-08T21:00:00+00:00,17.102500915527344,-35.17299490207377
