delivery_day,activated_mwh_per_mw,activation_revenue_eur_per_mw,forgone_day_ahead_eur_per_mw,net_activation_eur_per_mw,activated_mwh_at_arm_power,soc_throughput_share_of_energy,arm
2025-10-01,4.7217,4807.231493,543.9490577496,4263.2824352504,18.8868,2.36085,main
2025-10-02,5.176,5541.032529,589.2805499317,4951.7519790683,20.704,2.588,main
2025-10-03,6.7524,1006.802997,235.7729956749,771.0300013251,27.0096,3.3762,main
2025-10-04,12.3555,4312.124194000001,0.43669200000000047,4311.687502000001,49.422,6.17775,main
2025-10-05,10.6496,3058.517353,1.5059219095000007,3057.0114310905,42.5984,5.3248,main
2025-10-06,7.1043,5885.310399,685.8468697283,5199.4635292717,28.4172,3.55215,main
2025-10-07,5.9989,786.434932,777.6316326589,8.8032993411,23.9956,2.99945,main
2025-10-08,6.6785,940.791643,786.0002268673,154.79141613270008,26.714,3.33925,main
2025-10-09,4.9547,763.374855,500.93256950899996,262.44228549100006,19.8188,2.47735,main
2025-10-10,4.0202,560.73049,250.0571643364,310.67332566360005,16.0808,2.0101,main
2025-10-11,3.1884,380.108046,247.7549224167,132.3531235833,12.7536,1.5942,main
2025-10-12,4.2204,487.745907,340.1255485153,147.62035848469998,16.8816,2.1102,main
2025-10-13,3.3443,950.047756,429.1290795269,520.9186764731,13.3772,1.67215,main
2025-10-14,3.0557,426.692763,514.1607089936,-87.46794599359998,12.2228,1.52785,main
2025-10-15,2.2887,382.312856,300.4795155389,81.83334046110002,9.1548,1.14435,main
2025-10-16,2.11,547.352894,193.70063675289998,353.6522572471,8.44,1.055,main
2025-10-17,0.9834,183.115168,106.3860063476,76.72916165240001,3.9336,0.4917,main
2025-10-18,1.6834,219.947989,168.03130488920002,51.91668411079999,6.7336,0.8417,main
2025-10-19,1.8133,254.879109,131.2716729675,123.6074360325,7.2532,0.90665,main
2025-10-20,2.8850000000000002,300.675787,187.7535970142,112.9221899858,11.540000000000001,1.4425000000000001,main
2025-10-21,7.6323,4398.343402,434.4565472167,3963.8868547833004,30.5292,3.81615,main
2025-10-22,4.2581999999999995,1092.53515,471.26021546239997,621.2749345376,17.032799999999998,2.1290999999999998,main
2025-10-23,5.2434,3775.177936,427.73530970080003,3347.4426262992,20.9736,2.6217,main
2025-10-24,4.999,756.8905579999999,149.75173495069998,607.1388230493,19.996,2.4995,main
2025-10-25,11.2545,3573.022285,88.7082070812,3484.3140779188,45.018,5.62725,main
2025-10-26,9.5678,1537.722729,98.9933528175,1438.7293761825001,38.2712,4.7839,main
2025-10-27,6.5541,781.981432,382.7567216083,399.22471039170006,26.2164,3.27705,main
2025-10-28,5.434,1445.699644,347.6285980549,1098.0710459451,21.736,2.717,main
2025-10-29,6.0176,2822.36831,478.2687337878,2344.0995762121997,24.0704,3.0088,main
2025-10-30,6.4181,4622.133407,416.9204490788,4205.2129579212005,25.6724,3.20905,main
2025-10-31,5.8255,964.196085,465.4508465223,498.7452384777,23.302,2.91275,main
2025-11-01,7.3712,663.298824,239.09463552,424.20418847999997,29.4848,3.6856,main
2025-11-02,2.9627,335.234501,209.1984124376,126.03608856240001,11.8508,1.48135,main
2025-11-03,1.8864,322.09319,131.6244011723,190.4687888277,7.5456,0.9432,main
2025-11-04,2.9114999999999998,1464.7117959999998,128.8393528765,1335.8724431234998,11.645999999999999,1.4557499999999999,main
2025-11-05,2.8563,1215.162316,206.1657838669,1008.9965321330999,11.4252,1.42815,main
2025-11-06,2.5857,1021.140763,260.1862672045,760.9544957955,10.3428,1.29285,main
2025-11-07,3.6193,575.542841,396.7624283919,178.78041260809994,14.4772,1.80965,main
2025-11-08,2.8721,381.645857,307.6350375391,74.0108194609,11.4884,1.43605,main
2025-11-09,2.3731,298.079245,240.6395210632,57.43972393680002,9.4924,1.18655,main
2025-11-10,1.5292000000000001,231.668714,176.8973048987,54.77140910129998,6.1168000000000005,0.7646000000000001,main
2025-11-11,2.5651,512.818919,215.4057249255,297.41319407450004,10.2604,1.28255,main
2025-11-12,4.7933,966.1815639999999,255.1093962805,711.0721677194999,19.1732,2.39665,main
2025-11-13,6.1303,938.1859,269.9092731948,668.2766268052,24.5212,3.06515,main
2025-11-14,3.3563,472.907216,352.6163183198,120.29089768020003,13.4252,1.67815,main
2025-11-15,2.5235,333.330668,184.2133121358,149.1173558642,10.094,1.26175,main
2025-11-16,3.7503,481.45075099999997,352.6904052937,128.76034570629997,15.0012,1.87515,main
2025-11-17,3.9709,623.3680790000001,332.0405524432,291.3275265568001,15.8836,1.98545,main
2025-11-18,3.0968,2222.572229,330.3132271302,1892.2590018698,12.3872,1.5484,main
2025-11-19,5.8141,4826.038288,616.4689220181,4209.5693659819,23.2564,2.90705,main
2025-11-20,2.1096,321.012504,293.3646322453,27.647871754699963,8.4384,1.0548,main
2025-11-21,2.2337,368.062905,323.981375527,44.08152947299999,8.9348,1.11685,main
2025-11-25,2.1249,393.637785,423.9611104329,-30.323325432899992,8.4996,1.06245,main
2025-11-26,4.0147,685.128793,725.7576304788,-40.62883747880005,16.0588,2.00735,main
2025-11-27,1.3397000000000001,370.869048,103.73925984819999,267.1297881518,5.3588000000000005,0.6698500000000001,main
2025-11-28,2.1252999999999997,240.447237,116.342403865,124.104833135,8.501199999999999,1.0626499999999999,main
2025-11-29,3.2022,532.541236,236.1188895233,296.4223464767,12.8088,1.6011,main
2025-11-30,1.672,169.446709,98.82352492550001,70.62318407449999,6.688,0.836,main
2025-12-01,2.5193,950.0374869999999,174.2368859722,775.8006010278,10.0772,1.25965,main
2025-12-02,3.1274,459.232909,267.7250833595,191.50782564050002,12.5096,1.5637,main
2025-12-03,3.681,789.86235,588.8871413814,200.97520861859994,14.724,1.8405,main
2025-12-04,3.5699,526.37384,432.9313454413,93.44249455869999,14.2796,1.78495,main
2025-12-05,3.1029,431.227197,421.516876356,9.710320643999978,12.4116,1.55145,main
2025-12-06,4.0047,1370.2305159999999,291.02848478469997,1079.2020312153,16.0188,2.00235,main
2025-12-07,2.4872,245.458339,180.0022151997,65.45612380029999,9.9488,1.2436,main
2025-12-08,4.3148,466.039224,192.2272648865,273.8119591135,17.2592,2.1574,main
2025-12-09,2.6299,438.035521,217.0907732625,220.94474773750002,10.5196,1.31495,main
2025-12-10,3.7795,2526.704992,225.4860556862,2301.2189363138,15.118,1.88975,main
2025-12-11,1.7845,231.641453,96.2636855827,135.3777674173,7.138,0.89225,main
2025-12-12,2.4731,514.569896,259.5975421833,254.97235381669998,9.8924,1.23655,main
2025-12-13,1.5104,555.223939,139.3215609484,415.90237805159995,6.0416,0.7552,main
2025-12-14,1.7023000000000001,138.008229,70.55530263920001,67.45292636079999,6.809200000000001,0.8511500000000001,main
2025-12-15,3.2571,612.74396,156.1278373848,456.6161226152,13.0284,1.62855,main
2025-12-16,2.3043,359.659001,230.9133060971,128.7456949029,9.2172,1.15215,main
2025-12-17,1.6465,193.389778,175.4140127403,17.97576525970001,6.586,0.82325,main
2025-12-18,3.3197,3355.617468,208.4155119093,3147.2019560907,13.2788,1.65985,main
2025-12-19,1.5547,114.25990100000001,53.5152928739,60.74460812610001,6.2188,0.77735,main
2025-12-20,3.3184,646.444355,323.7000738584,322.74428114159997,13.2736,1.6592,main
2025-12-21,0.8998999999999999,100.600498,82.94364894719999,17.656849052800013,3.5995999999999997,0.44994999999999996,main
2025-12-22,1.5346,429.502674,120.4796182585,309.0230557415,6.1384,0.7673,main
2025-12-23,2.8905,749.881343,218.068159749,531.813183251,11.562,1.44525,main
2025-12-24,3.9144,983.744614,265.5245534592,718.2200605408,15.6576,1.9572,main
2025-12-25,7.9361,926.415568,515.4313960004,410.9841719996,31.7444,3.96805,main
2025-12-26,2.9746,383.755668,285.5945008481,98.16116715190003,11.8984,1.4873,main
2025-12-27,1.2474,144.301663,110.2090642981,34.09259870189999,4.9896,0.6237,main
2025-12-28,1.7798,217.241005,149.4471845565,67.79382044350001,7.1192,0.8899,main
2025-12-29,1.8842999999999999,208.281321,130.3636895915,77.9176314085,7.5371999999999995,0.9421499999999999,main
2025-12-30,2.4955,309.478843,226.7492472278,82.72959577219999,9.982,1.24775,main
2025-12-31,2.8302,2163.8749430000003,254.089968122,1909.7849748780002,11.3208,1.4151,main
2026-01-01,9.2108,795.929956,137.631136464,658.2988195359999,36.8432,4.6054,main
2026-01-02,6.1299,1438.683998,161.5098999168,1277.1740980832,24.5196,3.06495,main
2026-01-03,1.272,147.91593799999998,111.3743015164,36.54163648359999,5.088,0.636,main
2026-01-04,2.8282,473.600638,274.1222469039,199.47839109609998,11.3128,1.4141,main
2026-01-05,5.107,3063.846067,716.4071262947,2347.4389407053,20.428,2.5535,main
2026-01-06,6.4671,1686.875898,753.8265233801,933.0493746199,25.8684,3.23355,main
2026-01-07,1.8722,449.963687,181.3871051895,268.5765818105,7.4888,0.9361,main
2026-01-08,4.1117,1023.888091,653.5563473628999,370.3317436371001,16.4468,2.05585,main
2026-01-09,3.4013,396.263777,247.6043465636,148.65943043640002,13.6052,1.70065,main
2026-01-10,2.6244,275.727007,193.3669151341,82.36009186590002,10.4976,1.3122,main
2026-01-11,2.9125,350.003755,277.6803045227,72.32345047730001,11.65,1.45625,main
2026-01-12,4.2619,716.65052,364.1725711442,352.47794885580004,17.0476,2.13095,main
2026-01-13,2.1430000000000002,524.005074,196.8283004809,327.17677351910004,8.572000000000001,1.0715000000000001,main
2026-01-14,1.7111,1309.386108,196.1052802006,1113.2808277994,6.8444,0.85555,main
2026-01-15,2.0515,1428.9477890000003,219.8983966543,1209.0493923457002,8.206,1.02575,main
2026-01-16,2.5295,386.177345,190.62789118030003,195.54945381969998,10.118,1.26475,main
2026-01-17,1.5114,196.46982400000002,167.0285517377,29.441272262300004,6.0456,0.7557,main
2026-01-18,2.1292,698.001298,224.3741514279,473.62714657210006,8.5168,1.0646,main
2026-01-19,2.0814,562.2496960000001,282.03837055220004,280.21132544780005,8.3256,1.0407,main
2026-01-20,3.2502,723.083753,533.9330164842,189.15073651579996,13.0008,1.6251,main
2026-01-21,1.7606,285.13363400000003,186.21967764800002,98.91395635200001,7.0424,0.8803,main
2026-01-22,3.9188,598.3896579999999,323.78401082749997,274.60564717249997,15.6752,1.9594,main
2026-01-23,2.0879,284.759077,199.2959172477,85.46315975229999,8.3516,1.04395,main
2026-01-24,2.2471,1023.430212,212.93419457759998,810.4960174224,8.9884,1.12355,main
2026-01-25,1.1716,183.3939,129.9200759856,53.47382401440001,4.6864,0.5858,main
2026-01-26,0.6671,146.467005,89.87687641469999,56.59012858530001,2.6684,0.33355,main
2026-01-27,1.2781,208.642383,148.3733151169,60.26906788310001,5.1124,0.63905,main
