strategy,chi,days,total_eur,mean_daily_eur,profit_cvar_5pct_eur,energy_eur,capacity_eur,activation_eur,recovery_cost_eur,shortfall_cost_eur,required_activation_mwh,delivered_activation_mwh,undelivered_activation_mwh,undelivered_activation_share,days_with_shortfall,committed_mw_hours,fallback_days,max_terminal_soc_deviation_mwh,max_committed_gross_power_mw,evidence_role
B2_FB0,0,211,567074.54641,2687.55709199,643.320154201,110086.295529,201580.292387,382532.464036,102364.66352,24759.8420204,1815.30356601,1581.93923252,233.364333497,0.128553889204,155,14257.202676,0,1.9999992773e-09,4,same_protocol_computation
B2_FB0_gate,0,211,563874.687769,2672.39188516,638.33531184,104465.504335,201580.292387,383065.110032,100514.006394,24722.2125914,1815.30356601,1585.74480745,229.558758561,0.126457504331,158,14257.202676,0,2.00000283002e-09,4,same_protocol_computation
B3_fb2_plus_weather_s3a,0,209,627127.476246,3000.60993419,682.478470817,37344.68535,211014.7869,445391.636342,51402.2727239,15221.3596215,1980.58630242,1769.68535977,210.900942656,0.106484096349,161,16127.610017,1,1.06581410364e-14,4,same_protocol_computation
B3_fb2_plus_weather_s3a,0.5,209,608455.032428,2911.26809774,662.490078132,50375.7296853,200351.661023,422500.667935,51739.7691711,13033.2570437,1851.14847241,1668.9303874,182.218085007,0.0984351540261,163,15134.2780287,2,1.00000629999e-09,4.0000001,same_protocol_computation
B3_fb2_s3a,0,211,658188.277232,3119.37572148,809.886245302,37390.1926205,224412.017601,468198.005717,53968.7961927,17843.1425132,2092.30195698,1870.50307053,221.798886448,0.10600711131,158,16856.292761,0,1.95399252334e-14,4,same_protocol_computation
B3_fb2_s3a,0.5,211,650073.591434,3080.91749495,788.946152978,50068.8196657,216991.700364,453687.981266,53245.1676009,17429.7422601,2033.55116349,1817.75189096,215.799272523,0.106119421236,146,16156.6341744,1,1.00000807635e-09,4.00000009999,same_protocol_computation
B3_hist_independent,0,211,636428.316229,3016.24794421,762.694529446,23621.5261668,225448.447295,451808.292298,46664.8795094,17785.0700222,1963.800358,1778.92771113,184.872646865,0.0941402450166,148,16122.2652018,1,1.7763568394e-14,4,same_protocol_computation
B3_hist_independent,0.5,211,626345.636151,2968.46273058,764.803676599,34011.0587592,216046.301206,436824.988441,44444.2766003,16092.4356544,1906.10904242,1728.96515319,177.143889227,0.0929348139508,150,15659.7148254,0,1.7763568394e-14,4.00000009999,same_protocol_computation
B3_hist_paired,0,211,635938.838488,3013.92814449,759.431045768,22002.6445196,225248.036871,449494.557858,48069.6059011,12736.79486,1947.30938266,1774.76863704,172.540745619,0.0886046907366,150,16161.7637275,2,1.00000363545e-09,4.00000009999,same_protocol_computation
B3_hist_paired,0.5,211,630710.907978,2989.15122265,766.723175625,28299.6928855,219461.352948,443738.598362,47894.5770226,12894.1591948,1936.74625884,1764.98448955,171.761769296,0.0886857369733,148,16057.8237625,1,1.7763568394e-14,4,same_protocol_computation
B3_hist_paired_shortfall,0,211,683391.243198,3238.82105781,828.220078784,12716.9583735,240122.550153,520973.649802,65563.0842718,24858.8308582,2432.04206634,2136.24796343,295.794102915,0.121623760957,154,19303.7433661,0,1.59872115546e-14,4,same_protocol_computation
B3_hist_paired_shortfall,0.5,211,675092.616881,3199.49107527,835.280467392,20876.8479124,233143.853947,514171.45346,68024.1543247,25075.3841145,2416.21444839,2120.35035741,295.86409098,0.122449433732,162,19133.0630219,0,1.7763568394e-14,4,same_protocol_computation
B3_pooled_empirical,0,211,650546.328196,3083.15795354,763.621419157,43985.464328,221569.495899,449193.879632,51326.1667591,12876.3449039,1975.04146445,1777.23605544,197.805409002,0.100152534801,149,16137.2848301,2,2.00000904726e-09,4,same_protocol_computation
B3_pooled_empirical,0.5,211,648188.971773,3071.98564822,728.976673913,59427.136946,212691.6201,444534.075258,55068.2582276,13395.6023027,1937.77097075,1743.48100153,194.289969219,0.100264671188,152,15595.5045921,4,1.99998595463e-09,4,same_protocol_computation
B3_pooled_empirical_analog,0,211,656573.279866,3111.72170553,763.881469502,46161.8675966,221811.75994,456707.563549,54536.360699,13571.5505205,1992.19128229,1792.37926898,199.812013302,0.100297604491,154,16203.1134746,1,1.99998595463e-09,4,same_protocol_computation
B3_pooled_empirical_analog,0.5,211,647788.82548,3070.08922028,757.255923817,58823.0369262,213385.839946,445058.377089,55305.1049251,14173.3235568,1944.48138979,1746.10164374,198.379746042,0.102021930929,158,15787.9917703,1,2.00000283002e-09,4,same_protocol_computation
B3_pooled_empirical_directqr,0,211,655365.524723,3105.9977475,775.074177598,43138.8131213,221768.946371,457524.093541,53532.3176146,13534.0106957,1993.475318,1794.85720629,198.61811171,0.0996340962522,150,16206.2508865,1,2.00000904726e-09,4,same_protocol_computation
B3_pooled_empirical_directqr,0.5,211,648363.990223,3072.81511954,746.583068255,59276.5171914,212691.128586,444846.3823,54599.3784377,13850.6594164,1937.12157349,1742.30006243,194.82151106,0.100572681512,157,15625.8851384,3,3.00000291276e-09,4,same_protocol_computation
B3_pooled_gaussian,0,211,661826.27801,3136.61743133,793.492442032,43444.2646304,223405.715507,467264.848811,54592.4212267,17696.1297114,2088.09197913,1869.24307272,218.848906415,0.10480807771,153,16784.5961545,2,1.42108547152e-14,4,same_protocol_computation
B3_pooled_gaussian,0.5,211,651126.115171,3085.9057591,778.760196831,55502.4746736,215012.841151,453426.728729,55156.9376415,17658.9917415,2033.17616076,1817.59887569,215.577285066,0.106029811498,158,16156.8486453,1,2.00000105366e-09,4,same_protocol_computation
B3_pooled_gaussian_directqr,0,211,661446.616093,3134.81808575,791.249913085,43100.6665738,223253.869303,467357.234352,54566.8161424,17698.3379937,2090.60622163,1870.85680973,219.749411895,0.105112770459,151,16751.2919414,2,1.00001251724e-09,4,same_protocol_computation
B3_pooled_gaussian_directqr,0.5,211,652323.029133,3091.57833712,778.896087914,55466.0637925,215416.212777,455195.40571,56032.5873616,17722.0657847,2039.28010402,1823.05419094,216.225913083,0.106030511776,159,16207.3749161,0,2.30926389122e-14,4.00000009999,same_protocol_computation
B3_pooled_gaussian_gate,0,211,660006.315559,3127.99201687,749.63408288,44800.888772,223045.768103,466111.232583,56010.7721186,17940.8017799,2078.31987675,1856.9726618,221.347214942,0.106502958192,153,16768.1372645,1,9.99995641848e-10,4.0000001,same_protocol_computation
B3_pooled_gaussian_gate,0.5,211,650896.224498,3084.81622985,786.795392254,56742.6802551,215191.603068,453476.216917,56518.7829579,17995.492785,2029.74737115,1811.70365102,218.043720122,0.107424068247,160,16050.0206407,4,1.99998595463e-09,4.00000009999,same_protocol_computation
B3_pooled_gaussian_no_cross,0,211,651001.917944,3085.31714665,789.391629809,44259.5388898,222998.234436,456956.13828,55749.838719,17462.1549426,2081.76742424,1863.83473615,217.932688092,0.104686376372,150,16731.6128162,2,2.00000904726e-09,4,same_protocol_computation
B3_pooled_gaussian_no_cross,0.5,211,641529.935749,3040.42623578,773.990734192,58819.4085724,211824.609641,440300.697114,53570.7122735,15844.0673044,1970.44012879,1772.58806416,197.852064634,0.100410086936,161,15810.4510385,0,1.68753899743e-14,4,same_protocol_computation
B3_pooled_independent,0,211,654583.665227,3102.29225226,774.141552535,44207.8028278,222980.794156,455983.886843,53771.9826121,14816.8359882,2048.61743343,1839.91904691,208.698386521,0.101872796314,154,16551.6089552,2,1.00000629999e-09,4,same_protocol_computation
B3_pooled_independent,0.5,211,650207.246043,3081.55092911,780.022000235,49115.0535367,216058.474493,453544.111932,52311.4059117,16198.9880074,2004.5495138,1798.26859592,206.280917876,0.102906371958,150,16072.4362064,1,1.68753899743e-14,4,same_protocol_computation
X06_rebuild,0,211,625290.704339,2963.46305374,751.218709111,53153.3533419,220869.859981,440232.515989,68363.9761776,20601.0487957,2036.52710208,1794.22057503,242.306527055,0.11898026145,154,16190.9174196,0,1.33226762955e-14,4,same_protocol_computation
X09_rebuild,0,211,657026.292909,3113.86868677,766.714481788,45995.2427973,221625.464731,454173.290645,51709.5500318,13058.1552318,1956.5654579,1767.65759037,188.907867525,0.0965507526272,158,15977.7633772,0,1.50990331349e-14,4,same_protocol_computation
X14_rebuild,0,211,615683.732348,2917.9323808,641.004082524,10959.0051823,224531.220241,449052.234143,47098.9338084,21759.7934097,1991.92125218,1756.92371555,234.997536633,0.117975314725,159,15149.1762379,0,1.59872115546e-14,4,same_protocol_computation
X14_rebuild,0.1,211,605341.730632,2868.91815465,664.021500629,14765.2151016,219866.911481,434326.976642,42753.1027555,20864.2698375,1893.19424916,1678.78544724,214.408801921,0.113252405038,151,14421.4160832,0,9.7699626167e-15,4,same_protocol_computation
X14_rebuild,0.5,211,523371.862931,2480.43536934,595.354169101,31727.0357727,181763.327404,347995.440676,22113.7598135,16000.1811083,1413.1158751,1270.31783902,142.79803608,0.101051894325,139,10869.3729184,0,9.7699626167e-15,4,same_protocol_computation
B0,0,211,174085.322109,825.048919948,-39.2819459056,,,,,,,,,0,,,,,,read_only_reference
