model_strategy,scenario_strategy,mean_joint_score,mean_score_difference_i_minus_self,dm_statistic,p_value_two_sided,n_days,newey_west_lags,null
B3_hist_independent,B3_hist_independent,-1.45475511014,0,0,1,211,6,candidate score minus self score >= 0
B3_hist_independent,B3_hist_paired,-1.26526245549,0.189492654651,2.19612833955,0.0280827586828,211,6,candidate score minus self score >= 0
B3_hist_independent,B3_pooled_empirical,-1.35115707949,0.103598030649,0.813369801078,0.41600606818,211,6,candidate score minus self score >= 0
B3_hist_independent,B3_pooled_gaussian,-1.03046858235,0.424286527791,3.25014050104,0.00115348004823,211,6,candidate score minus self score >= 0
B3_hist_independent,B3_pooled_gaussian_no_cross,-1.45307878429,0.00167632584839,0.0258580915046,0.979370526994,211,6,candidate score minus self score >= 0
B3_hist_independent,B3_pooled_independent,-0.569122009995,0.885633100148,4.35076226591,1.35665079633e-05,211,6,candidate score minus self score >= 0
B3_hist_paired,B3_hist_independent,-1.51981250176,-0.288944817567,-2.21467153193,0.0267826182317,211,6,candidate score minus self score >= 0
B3_hist_paired,B3_hist_paired,-1.2308676842,0,0,1,211,6,candidate score minus self score >= 0
B3_hist_paired,B3_pooled_empirical,-1.26982165767,-0.03895397347,-0.261040025295,0.794061641277,211,6,candidate score minus self score >= 0
B3_hist_paired,B3_pooled_gaussian,-1.01365422493,0.217213459265,1.41781658098,0.156244321956,211,6,candidate score minus self score >= 0
B3_hist_paired,B3_pooled_gaussian_no_cross,-1.47886700248,-0.247999318286,-2.30564305127,0.0211305856322,211,6,candidate score minus self score >= 0
B3_hist_paired,B3_pooled_independent,-0.686825025769,0.544042658428,2.8829596858,0.00393957856213,211,6,candidate score minus self score >= 0
B3_pooled_empirical,B3_hist_independent,-1.4026229845,-0.352965225104,-2.20641979502,0.0273546202956,211,6,candidate score minus self score >= 0
B3_pooled_empirical,B3_hist_paired,-1.24543904178,-0.195781282378,-1.28929827918,0.197294409011,211,6,candidate score minus self score >= 0
B3_pooled_empirical,B3_pooled_empirical,-1.0496577594,0,0,1,211,6,candidate score minus self score >= 0
B3_pooled_empirical,B3_pooled_gaussian,-0.949415236363,0.100242523034,1.00172445694,0.316476691232,211,6,candidate score minus self score >= 0
B3_pooled_empirical,B3_pooled_gaussian_no_cross,-1.38676564386,-0.33710788446,-2.75033569455,0.00595342396876,211,6,candidate score minus self score >= 0
B3_pooled_empirical,B3_pooled_independent,-0.57653773681,0.473120022587,3.42118906583,0.000623479725643,211,6,candidate score minus self score >= 0
B3_pooled_gaussian,B3_hist_independent,-1.41475383219,-0.797079185997,-3.87289169933,0.000107551627443,211,6,candidate score minus self score >= 0
B3_pooled_gaussian,B3_hist_paired,-1.21199456194,-0.594319915746,-3.45765790767,0.000544892808936,211,6,candidate score minus self score >= 0
B3_pooled_gaussian,B3_pooled_empirical,-1.04539177998,-0.427717133794,-3.47949357996,0.000502362405714,211,6,candidate score minus self score >= 0
B3_pooled_gaussian,B3_pooled_gaussian,-0.61767464619,0,0,1,211,6,candidate score minus self score >= 0
B3_pooled_gaussian,B3_pooled_gaussian_no_cross,-1.35177271734,-0.734098071147,-4.00888926659,6.1005012688e-05,211,6,candidate score minus self score >= 0
B3_pooled_gaussian,B3_pooled_independent,-0.374520493729,0.243154152461,1.6392470864,0.10116181107,211,6,candidate score minus self score >= 0
B3_pooled_gaussian_no_cross,B3_hist_independent,-1.37941218337,-0.0845391035535,-0.998670034412,0.317954561336,211,6,candidate score minus self score >= 0
B3_pooled_gaussian_no_cross,B3_hist_paired,-1.18431929508,0.110553784737,1.76019798097,0.078374244211,211,6,candidate score minus self score >= 0
B3_pooled_gaussian_no_cross,B3_pooled_empirical,-1.05855857122,0.236314508592,1.75619498843,0.0790551201398,211,6,candidate score minus self score >= 0
B3_pooled_gaussian_no_cross,B3_pooled_gaussian,-0.769326204826,0.525546874987,4.29097225697,1.77892540598e-05,211,6,candidate score minus self score >= 0
B3_pooled_gaussian_no_cross,B3_pooled_gaussian_no_cross,-1.29487307981,0,0,1,211,6,candidate score minus self score >= 0
B3_pooled_gaussian_no_cross,B3_pooled_independent,-0.421279462884,0.873593616929,4.593271879,4.36349970498e-06,211,6,candidate score minus self score >= 0
B3_pooled_independent,B3_hist_independent,-1.4104460919,-1.6403317918,-6.03477224794,1.59187040806e-09,211,6,candidate score minus self score >= 0
B3_pooled_independent,B3_hist_paired,-1.22307421702,-1.45295991691,-5.9240526627,3.14102794135e-09,211,6,candidate score minus self score >= 0
B3_pooled_independent,B3_pooled_empirical,-1.0566331738,-1.2865188737,-6.820603268,9.06589901029e-12,211,6,candidate score minus self score >= 0
B3_pooled_independent,B3_pooled_gaussian,-0.790696145995,-1.02058184589,-6.34490424496,2.22563834119e-10,211,6,candidate score minus self score >= 0
B3_pooled_independent,B3_pooled_gaussian_no_cross,-1.37685797034,-1.60674367024,-6.8671780484,6.54843205139e-12,211,6,candidate score minus self score >= 0
B3_pooled_independent,B3_pooled_independent,0.229885699899,0,0,1,211,6,candidate score minus self score >= 0
