slot_index,hour_index,day_ahead_price_eur_per_mwh,capacity_price_eur_per_mw,activation_price_eur_per_mwh,shortfall_price_eur_per_mwh,charge_mw,discharge_mw,reserve_commitment_mw,recovery_power_mw,required_activation_mwh,delivered_activation_mwh,undelivered_activation_mwh,soc_plan_start_mwh,soc_plan_end_mwh,soc_realised_start_mwh,soc_realised_end_mwh,energy_eur,capacity_eur,activation_eur,shortfall_cost_eur,recovery_cost_eur,total_eur,delivery_day,strategy,chi,fallback,timestamp_utc,timestamp_local,local_hour
0,0,97.68,0.54,176.42,75.94,-0,0,4,3.02158332512,0.8336,0.244604168719,0.588995831281,4.4,4.4,4.4,4.83113007341,0,0.54,43.1530674455,44.7283434275,57.3647594275,-58.4000354094,2026-01-28,B2_FB0_gate,0,0,2026-01-27T23:00:00Z,2026-01-28 00:00:00+01:00,0
1,0,99.989998,0.54,885.78,85.15,-0,0,4,0,1.2164,1,0.2164,4.4,4.4,4.83113007341,3.74647778432,0,0.54,885.78,18.42646,0,867.89354,2026-01-28,B2_FB0_gate,0,0,2026-01-27T23:15:00Z,2026-01-28 00:15:00+01:00,0
2,0,95.190002,0.54,109.93,109.93,-0,0,4,3.15359129412,0.2116,0.2116,0,4.4,4.4,3.74647778432,4.24383223835,0,0.54,23.261188,0,86.6685727406,-62.8673847406,2026-01-28,B2_FB0_gate,0,0,2026-01-27T23:30:00Z,2026-01-28 00:30:00+01:00,0
3,0,94.199997,0.54,0,94.68,-0,0,4,4,0,0,0,4.4,4.4,4.24383223835,5.16578668408,0,0.54,0,0,94.68,-94.14,2026-01-28,B2_FB0_gate,0,0,2026-01-27T23:45:00Z,2026-01-28 00:45:00+01:00,0
4,1,100.419998,0.67,240.35,100.42,-0,0,4,0.6208,0.8448,0.8448,0,4.4,4.4,5.16578668408,4.39255976023,0,0.67,203.04768,0,15.585184,188.132496,2026-01-28,B2_FB0_gate,0,0,2026-01-28T00:00:00Z,2026-01-28 01:00:00+01:00,1
5,1,97.849998,0.67,131.57,97.85,-0,0,4,0.4432,0.8892,0.8892,0,4.4,4.4,4.39255976023,3.53023949736,0,0.67,116.992044,0,10.84178,106.820264,2026-01-28,B2_FB0_gate,0,0,2026-01-28T00:15:00Z,2026-01-28 01:15:00+01:00,1
6,1,95.099998,0.67,89.29,100,-0,0,4,3.5072,0.1232,0.1232,0,4.4,4.4,3.53023949736,4.20497999336,0,0.67,11.000528,0,87.68,-76.009472,2026-01-28,B2_FB0_gate,0,0,2026-01-28T00:30:00Z,2026-01-28 01:30:00+01:00,1
7,1,95.68,0.67,85,95.68,-0,0,4,2.80470588235,0.0052,0.0052,0,4.4,4.4,4.20497999336,4.84579256575,0,0.67,0.442,0,67.0885647059,-65.9765647059,2026-01-28,B2_FB0_gate,0,0,2026-01-28T00:45:00Z,2026-01-28 01:45:00+01:00,1
8,2,100.089996,0.67,138.45,138.45,-0,0,4,0,0.4676,0.4676,0,4.4,4.4,4.84579256575,4.33860915537,0,0.67,64.73922,0,0,65.40922,2026-01-28,B2_FB0_gate,0,0,2026-01-28T01:00:00Z,2026-01-28 02:00:00+01:00,2
9,2,97.080002,0.67,130.02,130.02,-0,0,4,0,0.3484,0.3484,0,4.4,4.4,4.33860915537,3.96071629785,0,0.67,45.298968,0,0,45.968968,2026-01-28,B2_FB0_gate,0,0,2026-01-28T01:15:00Z,2026-01-28 02:15:00+01:00,2
10,2,95.75,0.67,115.53,83.03,-0,0,4,1.94447058824,0.0648,0.0648,0,4.4,4.4,3.96071629785,4.33860915537,0,0.67,7.486344,0,40.3623482353,-32.2060042353,2026-01-28,B2_FB0_gate,0,0,2026-01-28T01:30:00Z,2026-01-28 02:30:00+01:00,2
