slot_index,hour_index,day_ahead_price_eur_per_mwh,capacity_price_eur_per_mw,activation_price_eur_per_mwh,shortfall_price_eur_per_mwh,charge_mw,discharge_mw,reserve_commitment_mw,recovery_power_mw,required_activation_mwh,delivered_activation_mwh,undelivered_activation_mwh,soc_plan_start_mwh,soc_plan_end_mwh,soc_realised_start_mwh,soc_realised_end_mwh,energy_eur,capacity_eur,activation_eur,shortfall_cost_eur,recovery_cost_eur,total_eur,delivery_day,strategy,chi,fallback,timestamp_utc,timestamp_local,local_hour
0,0,97.68,0.54,176.42,75.94,0,0,1.79355556936,2.50489607738,0.373776980656,0.373775980656,9.99999998474e-07,4.4,4.4,4.4,4.57193304563,0,0.242130001864,65.9415585073,7.59399998841e-05,47.555452029,18.6281605401,2026-01-28,B3_hist_paired,0.5,0,2026-01-27T23:00:00Z,2026-01-28 00:00:00+01:00,0
1,0,99.989998,0.54,885.78,85.15,0,0,1.79355556936,1.81831900542,0.545420248644,0.545420248644,0,4.4,4.4,4.57193304563,4.39944354712,0,0.242130001864,483.122347844,0,38.707465828,444.657012018,2026-01-28,B3_hist_paired,0.5,0,2026-01-27T23:15:00Z,2026-01-28 00:15:00+01:00,0
2,0,95.190002,0.54,109.93,109.93,0,0,1.79355556936,0,0.0948790896194,0.0948790896194,0,4.4,4.4,4.39944354712,4.29653272538,0,0.242130001864,10.4300583219,0,0,10.6721883237,2026-01-28,B3_hist_paired,0.5,0,2026-01-27T23:30:00Z,2026-01-28 00:30:00+01:00,0
3,0,94.199997,0.54,0,94.68,0,0,1.79355556936,3.28121751638,0,0,0,4.4,4.4,4.29653272538,5.05281599454,0,0.242130001864,0,0,77.6664186127,-77.4242886108,2026-01-28,B3_hist_paired,0.5,0,2026-01-27T23:45:00Z,2026-01-28 00:45:00+01:00,0
4,1,100.419998,0.67,240.35,100.42,2.26823269542,0,1.73176730458,0,0.365749254728,0.365749254728,0,4.4,4.92280180437,5.05281599454,5.17890703253,-56.9439806843,0.290071023518,87.9078333739,0,0,31.2539237132,2026-01-28,B3_hist_paired,0.5,0,2026-01-28T00:00:00Z,2026-01-28 01:00:00+01:00,1
5,1,97.849998,0.67,131.57,97.85,0.627977593886,0,1.73176730458,0,0.384971871809,0.384971871809,0,4.92280180437,5.067543488,5.17890703253,4.90608809417,-15.3619015765,0.290071023518,50.6507491739,0,0,35.578918621,2026-01-28,B3_hist_paired,0.5,0,2026-01-28T00:15:00Z,2026-01-28 01:15:00+01:00,1
6,1,95.099998,0.67,89.29,100,0,0,1.73176730458,0,0.0533384329812,0.0533384329812,0,5.067543488,5.067543488,4.90608809417,4.84823444074,0,0.290071023518,4.76258868089,0,0,5.05265970441,2026-01-28,B3_hist_paired,0.5,0,2026-01-28T00:30:00Z,2026-01-28 01:30:00+01:00,1
7,1,95.68,0.67,85,95.68,0,0,1.73176730458,0,0.00225129749596,0.00225129749596,0,5.067543488,5.067543488,4.84823444074,4.84579256575,0,0.290071023518,0.191360287157,0,0,0.481431310675,2026-01-28,B3_hist_paired,0.5,0,2026-01-28T00:45:00Z,2026-01-28 01:45:00+01:00,1
8,2,100.089996,0.67,138.45,138.45,-0,0,4,0,0.4676,0.4676,0,5.067543488,5.067543488,4.84579256575,4.33860915537,0,0.67,64.73922,0,0,65.40922,2026-01-28,B3_hist_paired,0.5,0,2026-01-28T01:00:00Z,2026-01-28 02:00:00+01:00,2
9,2,97.080002,0.67,130.02,130.02,-0,0,4,0,0.3484,0.3484,0,5.067543488,5.067543488,4.33860915537,3.96071629785,0,0.67,45.298968,0,0,45.968968,2026-01-28,B3_hist_paired,0.5,0,2026-01-28T01:15:00Z,2026-01-28 02:15:00+01:00,2
10,2,95.75,0.67,115.53,83.03,-0,0,4,1.94447058824,0.0648,0.0648,0,5.067543488,5.067543488,3.96071629785,4.33860915537,0,0.67,7.486344,0,40.3623482353,-32.2060042353,2026-01-28,B3_hist_paired,0.5,0,2026-01-28T01:30:00Z,2026-01-28 02:30:00+01:00,2
11,2,96.099998,0.67,69.4,87.66,-0,0,4,0,0.0016,0.0016,0,5.067543488,5.067543488,4.33860915537,4.33687371171,0,0.67,0.11104,0,0,0.78104,2026-01-28,B3_hist_paired,0.5,0,2026-01-28T01:45:00Z,2026-01-28 02:45:00+01:00,2
12,3,96,0.67,0,82.83,0.886883614916,0,3.11311638508,0,0,0,0,5.067543488,5.2719600609,4.33687371171,4.54129028461,-21.285206758,0.521446994501,0,0,0,-20.7637597635,2026-01-28,B3_hist_paired,0.5,0,2026-01-28T02:00:00Z,2026-01-28 03:00:00+01:00,3
13,3,98.440002,0.67,0,98.44,0.217315376753,0,3.11311638508,0,0,0,0,5.2719600609,5.32204878033,4.54129028461,4.59137900405,-5.34813153054,0.521446994501,0,0,0,-4.82668453604,2026-01-28,B3_hist_paired,0.5,0,2026-01-28T02:15:00Z,2026-01-28 03:15:00+01:00,3
14,3,96.82,0.67,0,76.8,0.886883614916,0,3.11311638508,0,0,0,0,5.32204878033,5.52646535324,4.59137900405,4.79579557695,-21.4670178991,0.521446994501,0,0,0,-20.9455709046,2026-01-28,B3_hist_paired,0.5,0,2026-01-28T02:30:00Z,2026-01-28 03:30:00+01:00,3
