slot_index,hour_index,day_ahead_price_eur_per_mwh,capacity_price_eur_per_mw,activation_price_eur_per_mwh,shortfall_price_eur_per_mwh,charge_mw,discharge_mw,reserve_commitment_mw,recovery_power_mw,required_activation_mwh,delivered_activation_mwh,undelivered_activation_mwh,soc_plan_start_mwh,soc_plan_end_mwh,soc_realised_start_mwh,soc_realised_end_mwh,energy_eur,capacity_eur,activation_eur,shortfall_cost_eur,recovery_cost_eur,total_eur,delivery_day,strategy,chi,fallback,timestamp_utc,timestamp_local,local_hour
0,0,97.68,0.54,176.42,75.94,0.771141420362,0,3.22885857964,0.537286067652,0.672894127997,0.672893127996,1.00000000169e-06,4.4,4.5777393152,4.4,3.97172256328,-18.8312734852,0.435895908251,118.711805641,7.59400001286e-05,10.2003759944,90.1159761298,2026-01-28,X09_rebuild,0,0,2026-01-27T23:00:00Z,2026-01-28 00:00:00+01:00,0
1,0,99.989998,0.54,885.78,85.15,0,0,3.22885857964,0.0724164237287,0.981895894068,0.981895894068,0,4.5777393152,4.5777393152,3.97172256328,2.92339809507,0,0.435895908251,869.743745047,0,1.54156462012,868.638076336,2026-01-28,X09_rebuild,0,0,2026-01-27T23:15:00Z,2026-01-28 00:15:00+01:00,0
2,0,95.190002,0.54,109.93,109.93,0.488134925805,0,3.22885857964,2.0230119369,0.170806618863,0.170806618863,0,4.5777393152,4.69024885644,2.92339809507,3.31692305842,-11.6163911409,0.435895908251,18.7767716116,0,55.597425556,-48.0011491771,2026-01-28,X09_rebuild,0,0,2026-01-27T23:30:00Z,2026-01-28 00:30:00+01:00,0
3,0,94.199997,0.54,0,94.68,0.771141420362,0,3.22885857964,3.22885857964,0,0,0,4.69024885644,4.86798817163,3.31692305842,4.23887750415,-18.1603798712,0.435895908251,0,0,76.42708258,-94.1515665429,2026-01-28,X09_rebuild,0,0,2026-01-27T23:45:00Z,2026-01-28 00:45:00+01:00,0
4,1,100.419998,0.67,240.35,100.42,1.18080490617,0,2.81919509383,0,0.595414003817,0.595414003817,0,4.86798817163,5.14015025483,4.23887750415,3.86522242515,-29.644106579,0.472215178216,143.107755817,0,0,113.935864417,2026-01-28,X09_rebuild,0,0,2026-01-28T00:00:00Z,2026-01-28 01:00:00+01:00,1
5,1,97.849998,0.67,131.57,97.85,0,0,2.81919509383,0,0.626707069358,0.626707069358,0,5.14015025483,5.14015025483,3.86522242515,3.18546316778,0,0.472215178216,82.4558491154,0,0,82.9280642937,2026-01-28,X09_rebuild,0,0,2026-01-28T00:15:00Z,2026-01-28 01:15:00+01:00,1
6,1,95.099998,0.67,89.29,100,0,0,2.81919509383,0,0.0868312088899,0.0868312088899,0,5.14015025483,5.14015025483,3.18546316778,3.09128149829,0,0.472215178216,7.75315864178,0,0,8.22537382,2026-01-28,X09_rebuild,0,0,2026-01-28T00:30:00Z,2026-01-28 01:30:00+01:00,1
7,1,95.68,0.67,85,95.68,0,0,2.81919509383,3.59769891527,0.00366495362198,0.00366495362198,0,5.14015025483,5.14015025483,3.09128149829,3.91653492529,0,0.472215178216,0.311521057868,0,86.0569580533,-85.2732218172,2026-01-28,X09_rebuild,0,0,2026-01-28T00:45:00Z,2026-01-28 01:45:00+01:00,1
8,2,100.089996,0.67,138.45,138.45,0.555634744702,0,3.4443652553,0,0.402646298344,0.402646298344,0,5.14015025483,5.2682177356,3.91653492529,3.60787117686,-13.9033698437,0.576931180262,55.7463800058,0,0,42.4199413424,2026-01-28,X09_rebuild,0,0,2026-01-28T01:00:00Z,2026-01-28 02:00:00+01:00,2
9,2,97.080002,0.67,130.02,130.02,0.555634744702,0,3.4443652553,0,0.300004213736,0.300004213736,0,5.2682177356,5.39628521637,3.60787117686,3.41053840047,-13.4852555317,0.576931180262,39.00654787,0,0,26.0982235186,2026-01-28,X09_rebuild,0,0,2026-01-28T01:15:00Z,2026-01-28 02:15:00+01:00,2
10,2,95.75,0.67,115.53,83.03,0.555634744702,0,3.4443652553,0.856149790529,0.0557987171358,0.0557987171358,0,5.39628521637,5.52435269714,3.41053840047,3.67541645136,-13.3005067013,0.576931180262,6.4464257907,0,17.7715292769,-24.0486790072,2026-01-28,X09_rebuild,0,0,2026-01-28T01:30:00Z,2026-01-28 02:30:00+01:00,2
