strategy,method_name,chi,total_eur,undelivered_activation_share,dominated
B2_FB0,LightGBM point-forecast same-protocol dispatch,0,567074.54641,0.128553889204,1
B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,563874.687769,0.126457504331,1
B3_fb2_plus_weather_s3a,Weather-augmented gate-conditioned joint-scenario dispatch,0,627125.439478,0.106484572028,1
B3_fb2_plus_weather_s3a,Weather-augmented gate-conditioned joint-scenario dispatch,0.5,610561.533838,0.0981008144585,1
B3_fb2_s3a,Gate-conditioned joint-scenario stochastic dispatch,0,657863.144114,0.106239290123,1
B3_fb2_s3a,Gate-conditioned joint-scenario stochastic dispatch,0.5,650059.660321,0.106122489101,1
B3_hist_independent,Historical independent-scenario stochastic dispatch,0,636421.518118,0.0941441337118,1
B3_hist_independent,Historical independent-scenario stochastic dispatch,0.5,626336.609888,0.0929389164951,1
B3_hist_paired,Historical paired-scenario stochastic dispatch,0,636840.689856,0.088262387686,0
B3_hist_paired,Historical paired-scenario stochastic dispatch,0.5,631503.173404,0.0884194592685,1
B3_hist_paired_shortfall,Historical paired-scenario economic-shortfall dispatch,0,683390.79984,0.121623625695,0
B3_hist_paired_shortfall,Historical paired-scenario economic-shortfall dispatch,0.5,675093.503904,0.122449923919,1
B3_pooled_empirical,Pooled empirical-copula stochastic dispatch,0,647241.347602,0.100471396242,1
B3_pooled_empirical,Pooled empirical-copula stochastic dispatch,0.5,648185.346376,0.100263195927,1
B3_pooled_empirical_analog,Pooled empirical-copula analog-updated dispatch,0,656567.091422,0.100297945242,1
B3_pooled_empirical_analog,Pooled empirical-copula analog-updated dispatch,0.5,649243.729728,0.102049825869,1
B3_pooled_empirical_directqr,Pooled empirical-copula direct-quantile-updated dispatch,0,654335.762879,0.0998954611054,1
B3_pooled_empirical_directqr,Pooled empirical-copula direct-quantile-updated dispatch,0.5,649271.317444,0.100412465726,1
B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,661239.511541,0.105168957823,0
B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0.5,651075.921066,0.106069587252,1
B3_pooled_gaussian_directqr,Pooled Gaussian-copula direct-quantile-updated dispatch,0,661287.291621,0.10519754719,0
B3_pooled_gaussian_directqr,Pooled Gaussian-copula direct-quantile-updated dispatch,0.5,652325.862864,0.106086614305,1
B3_pooled_gaussian_gate,Pooled Gaussian-copula gate-conditioned dispatch,0,660043.025041,0.106615714371,1
B3_pooled_gaussian_gate,Pooled Gaussian-copula gate-conditioned dispatch,0.5,650871.467781,0.107480763765,1
B3_pooled_gaussian_no_cross,Pooled Gaussian-copula dispatch without cross-target dependence,0,651000.518295,0.104687262142,1
B3_pooled_gaussian_no_cross,Pooled Gaussian-copula dispatch without cross-target dependence,0.5,640450.450281,0.100571703873,1
B3_pooled_independent,Pooled independent-scenario stochastic dispatch,0,654562.259103,0.101876161453,1
B3_pooled_independent,Pooled independent-scenario stochastic dispatch,0.5,650159.725035,0.102877883109,1
X06_rebuild,Data-driven deterministic-scenario reserve reconstruction,0,625290.704339,0.11898026145,1
X09_rebuild,Sequential block-copula stochastic reconstruction,0,657026.292909,0.0965507526273,0
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0,615683.732348,0.117975314725,1
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0.1,605341.730632,0.113252405038,1
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0.5,523371.862931,0.101051894325,1
