gate,scope,hours,wind_mae_mwh,solar_mae_mwh,load_mae_mwh,proxy_mae_mwh,proxy_rmse_mwh,observed_positive_hours,forecast_positive_hours,positive_precision,positive_recall,observed_proxy_mwh,forecast_proxy_mwh
gate_0730,2026-01,96,879.30939782,30.6044739751,154.347873405,298.473033261,439.275459217,58,23,1,0.396551724138,33164.889893,4552.65340832
gate_0730,2026-02,672,384.810353522,58.9492596364,201.998582756,80.9690469299,205.795454338,171,114,0.859649122807,0.573099415205,78731.556019,30192.2164704
gate_0730,2026-03,720,403.468741518,173.643838142,223.576449396,142.779471921,325.717605458,168,151,0.754966887417,0.678571428571,126431.346509,105557.531985
gate_0730,2026-04,718,399.449652736,312.823660759,282.669877239,198.481878799,511.388799957,139,193,0.632124352332,0.877697841727,122116.96104,183618.155115
gate_0730,2026-05,744,390.518820145,269.900204238,313.267099637,118.343890482,308.836086558,147,114,0.728070175439,0.56462585034,101339.226944,55373.1348228
gate_0730,2026-06,696,412.300817324,361.443465605,210.97640161,140.280446801,351.122293388,169,73,0.602739726027,0.260355029586,104512.960016,25156.4456297
gate_0730,2026-07,744,393.114952852,302.266559135,194.045968435,273.10994987,491.384111364,324,246,0.886178861789,0.672839506173,303320.169025,152213.018268
gate_0730,2026-08,600,416.212259845,203.84207581,137.767320226,305.020053417,566.171129557,237,191,0.905759162304,0.729957805907,273526.131269,113300.435057
gate_1200,2026-01,96,611.330610413,29.2440540387,143.196236773,240.043607318,366.406757807,58,37,1,0.637931034483,33164.889893,10637.7521965
gate_1200,2026-02,672,318.46679674,55.024889527,198.138038169,56.3379072566,142.266451566,171,154,0.863636363636,0.777777777778,78731.556019,60721.4486632
gate_1200,2026-03,720,394.263608286,168.835344394,216.851130161,155.199010739,354.493525933,168,172,0.726744186047,0.744047619048,126431.346509,121549.165438
gate_1200,2026-04,718,384.083548475,313.334327341,282.303485,190.8182722,497.781093872,139,195,0.641025641026,0.89928057554,122116.96104,201549.827853
gate_1200,2026-05,744,345.439365044,261.772663279,312.540756604,122.155751029,319.550022466,147,112,0.767857142857,0.585034013605,101339.226944,42719.8722809
gate_1200,2026-06,696,379.50495273,338.132490905,205.432025709,140.442886252,355.064940191,169,60,0.683333333333,0.242603550296,104512.960016,19109.068864
gate_1200,2026-07,744,409.674035078,287.058012159,190.838429254,276.740494316,496.780891465,324,234,0.888888888889,0.641975308642,303320.169025,142819.771675
gate_1200,2026-08,600,377.444921958,208.18234285,137.115969674,280.922742682,534.220814283,237,194,0.922680412371,0.755274261603,273526.131269,125258.34822
