delivery_day,strategy,method_name,chi,fallback,midday_charge_mwh,midday_discharge_mwh,midday_negative_price_charge_mwh,midday_charge_on_proxy_positive_hours_mwh,midday_proxy_overlap_mwh,midday_forecast_proxy_overlap_mwh,midday_proxy_surplus_mwh,midday_forecast_proxy_surplus_mwh,midday_alignment_share,midday_forecast_alignment_share,midday_proxy_absorption_ratio,midday_forecast_proxy_absorption_ratio,soc_at_16_mwh,soc_at_17_mwh,soc_at_22_mwh,evening_reserve_mw_hours,evening_required_activation_mwh,evening_delivered_activation_mwh,evening_undelivered_activation_mwh,evening_delivery_rate,recovery_grid_mwh,recovery_cost_eur,midday_total_eur,evening_total_eur,total_eur
2026-01-28,B2_FB0,LightGBM point-forecast same-protocol dispatch,0,0,0,0,0,0,0,0,0,0,,,,,4.66790959034,4.58460829454,4.41344968838,20,0.2268,0.2268,0,1,10.482607603,883.865331153,4562.21727553,1541.22945526,7930.87515598
2026-01-28,B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,0,0,0,0,0,0,0,0,0,,,,,4.66790959034,4.58460829454,4.41344968838,20,0.2268,0.2268,0,1,10.482607603,883.865331153,4562.21727553,1541.22945526,7930.87515598
2026-01-28,B3_hist_paired,Historical paired-scenario stochastic dispatch,0,0,0,0,0,0,0,0,0,0,,,,,5.2395888739,5.18412979819,4.54070038998,18.4033709047,0.181483554281,0.181483554281,0,1,8.22261265322,491.901349704,4113.10050852,1500.47239832,6932.24837361
2026-01-28,B3_hist_paired,Historical paired-scenario stochastic dispatch,0.5,0,0,0,0,0,0,0,0,0,,,,,5.53171415974,5.47344435747,4.62464817299,17.5509255489,0.181483554281,0.181483554281,0,1,8.16473973105,488.696204013,4104.8186129,1491.7886423,6906.18744244
2026-01-28,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,0,0,0,0,0,0,0,0,0,,,,,4.53977799151,4.45647669571,5.10243133835,17.9165520779,0.108668502816,0.108668502816,0,1,9.36978005151,612.822490632,4497.77374015,1318.73796833,7682.46956204
2026-01-28,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0.5,0,0,0,0,0,0,0,0,0,,,,,4.5817812471,4.4984799513,5.30256684314,17.9165520779,0.108668502816,0.108668502816,0,1,9.36861985888,597.024599636,4537.67369344,1309.89790586,7705.59599559
2026-01-28,B3_proxy_rho100,Proxy-aligned pooled Gaussian-copula dispatch (rho=100 EUR/MWh),0,0,0,0,0,0,0,0,0,0,,,,,4.53977799151,4.45647669571,5.10243133835,17.9165520779,0.108668502816,0.108668502816,0,1,9.36978005151,612.822490632,4497.77374015,1318.73796833,7682.46956204
2026-01-28,B3_proxy_rho25,Proxy-aligned pooled Gaussian-copula dispatch (rho=25 EUR/MWh),0,0,0,0,0,0,0,0,0,0,,,,,4.53977799151,4.45647669571,5.10243133835,17.9165520779,0.108668502816,0.108668502816,0,1,9.36978005151,612.822490632,4497.77374015,1318.73796833,7682.46956204
2026-01-28,B3_proxy_rho50,Proxy-aligned pooled Gaussian-copula dispatch (rho=50 EUR/MWh),0,0,0,0,0,0,0,0,0,0,,,,,4.53977799151,4.45647669571,5.10243133835,17.9165520779,0.108668502816,0.108668502816,0,1,9.36978005151,612.822490632,4497.77374015,1318.73796833,7682.46956204
2026-01-28,X06_rebuild,Data-driven deterministic-scenario reserve reconstruction,0,0,0,3,0,0,0,0,0,0,,,,,4.99433207744,4.91103078163,4.41344968838,19.6809639954,0.208710658538,0.208710658538,0,1,5.90213886115,364.109129296,1419.05473407,1564.75331425,4469.22404882
2026-01-28,X09_rebuild,Sequential block-copula stochastic reconstruction,0,0,0,0,0,0,0,0,0,0,,,,,4.724950045,4.64164874919,5.44573565459,17.9165520779,0.108668502816,0.108668502816,0,1,9.32779946588,593.611929456,4457.9375378,1309.89790376,7639.7652027
