strategy,chi,days,fallback_days,midday_charge_mwh,mean_daily_midday_charge_mwh,midday_charge_on_proxy_positive_hours_mwh,midday_proxy_overlap_mwh,midday_forecast_proxy_overlap_mwh,midday_alignment_share,midday_forecast_alignment_share,midday_proxy_absorption_ratio,midday_forecast_proxy_absorption_ratio,mean_soc_at_17_mwh,evening_reserve_mw_hours,evening_required_activation_mwh,evening_delivered_activation_mwh,evening_undelivered_activation_mwh,evening_delivery_rate,recovery_grid_mwh,recovery_cost_eur,total_eur
B2_FB0,0,206,0,1279.6868163,6.21207192381,455.038846275,449.479378243,357.145184612,0.351241704233,0.279087961258,0.00140921707514,0.00150141926648,6.88070586,3803.3070564,315.254264765,306.983149224,8.27111554106,0.973763668044,1772.04370366,99198.4469659,555174.460766
B2_FB0_gate,0,206,0,1258.30359442,6.10826987585,438.98773601,433.428267978,334.918116967,0.344454446366,0.266166383415,0.00135889330112,0.00140797786215,6.84955674742,3803.3070564,315.254264765,306.983151224,8.27111354106,0.973763674388,1774.35854379,97152.3305024,551767.601509
B3_hist_paired,0,206,1,213.200292174,1.03495287463,92.2439005539,92.2439005539,62.9595690982,0.432663105726,0.295307142669,0.000289204991442,0.000264678663262,6.51969718226,3953.22344735,320.216239459,313.330428225,6.88581123405,0.978496370935,1997.72534844,45695.4908056,618647.948471
B3_hist_paired,0.5,206,0,230.306293104,1.1179917141,101.950676269,101.950676269,67.7189824112,0.442674296455,0.29403878417,0.000319637876119,0.000284686982436,6.62900215019,3853.51203009,313.374937673,306.49674573,6.87819194313,0.978051237938,1989.15959203,44762.8416838,613232.093954
B3_pooled_gaussian,0,206,3,395.572644578,1.92025555621,159.933023413,159.695788815,126.714203182,0.403707867579,0.320331056556,0.000500681551413,0.000532699737228,6.72179158642,3721.2245824,304.808064791,299.407081602,5.40098318864,0.982280707722,2098.72739228,52672.8064163,645613.55386
B3_pooled_gaussian,0.5,206,1,495.196566364,2.40386682701,203.351883725,202.242527263,155.213344574,0.408408581562,0.313437844923,0.000634074968808,0.000652508604342,6.87248053855,3643.08326852,298.050371257,292.697485534,5.35288572217,0.982040331976,2046.9655791,53253.6735545,637343.103966
B3_proxy_rho100,0,206,0,1077.7485125,5.23178889561,614.102474782,607.98347194,831.727242123,0.564123693877,0.771726643534,0.00190616239929,0.00349653686956,6.96660436194,3698.80366958,303.889193769,298.528861161,5.3603326075,0.982360897599,1912.63333848,59043.5537747,630890.24554
B3_proxy_rho25,0,206,1,502.905318348,2.44128795315,246.035505844,245.917349282,235.079561223,0.488993335941,0.467442981108,0.000771005177225,0.000988261910239,6.78386363815,3710.97600614,304.748131641,299.387804034,5.3603276075,0.982410630121,2088.65749503,54548.0857071,648374.720066
B3_proxy_rho50,0,206,2,704.17367809,3.41831882568,374.01160354,373.955358766,435.068631204,0.531055576772,0.61784279183,0.00117243260185,0.0018290052709,6.86887614005,3697.23951981,303.842315084,298.481982477,5.3603326075,0.982358176128,2034.93804156,57895.6817303,641901.815195
X06_rebuild,0,206,0,555.0720966,2.69452474078,224.107305752,222.655535635,153.389536581,0.401129037109,0.276341645563,0.000698074256307,0.000644841413021,6.88384014571,3841.39613361,319.050685326,311.634185426,7.41649990072,0.976754477449,2022.45644735,66255.9168615,611645.340107
X09_rebuild,0,206,0,412.696362197,2.00338039901,144.418648662,144.418648662,123.041959461,0.349939233516,0.298141613864,0.000452784344544,0.000517261820908,6.76747038141,3763.89604115,304.626165786,300.243196212,4.38296957359,0.985611972753,1979.73073916,48264.6895546,639399.682173
X14_rebuild,0,206,0,105.77328345,0.51346254102,37.1514642186,37.1514642186,28.3707905896,0.351236749081,0.268222651923,0.000116478041658,0.000119269287203,5.97144352522,4040.16241044,331.562534925,323.313180135,8.24935478961,0.975119761973,1973.32168615,44480.4882954,598518.792984
