strategy,method_name,chi,month,days,total_eur,required_activation_mwh,undelivered_activation_mwh,undelivered_activation_share
B2_FB0,LightGBM point-forecast same-protocol dispatch,0,2026-01,4,17590.9620484,27.7500148184,0.805398831281,0.029023365809
B2_FB0,LightGBM point-forecast same-protocol dispatch,0,2026-02,28,83225.2184219,335.844856371,43.7638906545,0.130309843442
B2_FB0,LightGBM point-forecast same-protocol dispatch,0,2026-03,31,111109.430873,454.133266492,84.5029333346,0.18607518887
B2_FB0,LightGBM point-forecast same-protocol dispatch,0,2026-04,30,87150.8464068,335.892636956,63.4128922109,0.188789170211
B2_FB0,LightGBM point-forecast same-protocol dispatch,0,2026-05,31,88261.3160309,270.285727116,14.4988356314,0.053642623997
B2_FB0,LightGBM point-forecast same-protocol dispatch,0,2026-06,30,78918.5126225,172.043549054,15.8594618632,0.0921828336514
B2_FB0,LightGBM point-forecast same-protocol dispatch,0,2026-07,31,57691.6502774,129.996518035,9.48018019457,0.0729264163216
B2_FB0,LightGBM point-forecast same-protocol dispatch,0,2026-08,26,43126.6097299,89.3569971715,1.04074077663,0.011646998104
B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,2026-01,4,17599.3380959,27.7500148184,0.805398831281,0.029023365809
B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,2026-02,28,83739.4709408,335.844856371,43.4268582122,0.129306307327
B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,2026-03,31,112223.333893,454.133266492,82.7454710113,0.182205262456
B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,2026-04,30,87451.2039671,335.892636956,61.5304795346,0.183184960802
B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,2026-05,31,88157.8069188,270.285727116,14.1431118867,0.0523265214099
B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,2026-06,30,76538.7742436,172.043549054,16.0420662566,0.093244218367
B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,2026-07,31,55825.5219528,129.996518035,9.78018019457,0.075234170441
B2_FB0_gate,Gate-updated LightGBM point-forecast dispatch,0,2026-08,26,42339.237757,89.3569971715,1.08519263422,0.0121444617497
B3_fb2_plus_weather_s3a,Weather-augmented gate-conditioned joint-scenario dispatch,0,2026-01,4,16870.7832961,23.6903987661,0.0126675619128,0.000534712903648
B3_fb2_plus_weather_s3a,Weather-augmented gate-conditioned joint-scenario dispatch,0,2026-02,28,88517.308576,325.789136241,29.3021883122,0.0899421897556
B3_fb2_plus_weather_s3a,Weather-augmented gate-conditioned joint-scenario dispatch,0,2026-03,31,113749.186509,415.821223037,70.043807958,0.168446928818
B3_fb2_plus_weather_s3a,Weather-augmented gate-conditioned joint-scenario dispatch,0,2026-04,30,94712.7854417,370.53525483,62.9423067419,0.169868604732
B3_fb2_plus_weather_s3a,Weather-augmented gate-conditioned joint-scenario dispatch,0,2026-05,29,93427.8430495,297.782959908,16.1502925026,0.0542351130757
B3_fb2_plus_weather_s3a,Weather-augmented gate-conditioned joint-scenario dispatch,0,2026-06,30,106010.71014,216.655240106,12.4196340763,0.0573244112175
B3_fb2_plus_weather_s3a,Weather-augmented gate-conditioned joint-scenario dispatch,0,2026-07,31,59365.0068302,167.008321251,7.02176542899,0.0420444045926
B3_fb2_plus_weather_s3a,Weather-augmented gate-conditioned joint-scenario dispatch,0,2026-08,26,54471.8156358,163.29492079,13.0082800739,0.0796612657085
B3_fb2_plus_weather_s3a,Weather-augmented gate-conditioned joint-scenario dispatch,0.5,2026-01,4,16605.8515962,23.5443776675,0.0702685468123,0.00298451493621
