local_hour,valid_hours,proxy_positive_hours,proxy_positive_mwh,net_export_mwh_on_positive_hours,conventional_mwh_on_positive_hours,power_to_heat_mwh_on_positive_hours,export_coverage_share,conventional_share_of_export,power_to_heat_counterfactual_share,maximum_absolute_balance_residual_mwh
0,330,76,54969.027266,98573.661856,43604.634591,27080.466293,1,0.44235583593,0.330050377136,1.00000033854e-06
1,330,74,53177.663375,92358.537761,39180.874384,24385.637345,1,0.424225798002,0.314396591154,1.00000079328e-06
2,330,76,55260.339242,94514.396723,39254.057482,25939.067859,1,0.415323578661,0.319448981034,1.00000079328e-06
3,330,83,57869.578267,101372.239504,43502.661236,30944.312591,1,0.429137813753,0.348417486184,1.00000079328e-06
4,330,87,62825.363365,107948.182388,45122.819022,32676.596237,1,0.418004435312,0.342156290543,1.00000079328e-06
5,330,90,65711.996665,113926.321188,48214.324521,31922.432841,1,0.42320619167,0.326958768567,1.00000079328e-06
6,330,89,59570.672792,110126.22001,50555.547223,27009.326219,1,0.459069122852,0.311958033351,1.99999976758e-06
7,330,76,52735.834623,97182.719422,44446.884799,18174.647683,1,0.457353787416,0.256304104724,3.99999953515e-06
8,330,73,57728.874432,98852.228865,41123.354436,15383.344874,1,0.416008368331,0.210407302911,4.00000044465e-06
9,330,80,68883.275825,115199.193927,46315.918075,19594.620277,1,0.40205071317,0.22146345178,1.1999999515e-05
10,330,88,73796.088639,126485.765083,52689.676473,28478.399646,1,0.416566057362,0.278450668623,1.59999999596e-05
11,330,98,74344.026848,134574.397061,60230.370196,37772.162117,1,0.447561880353,0.336901944899,1.29999998535e-05
12,330,97,70513.310448,130488.275689,59974.965204,41097.834362,1,0.45961957032,0.368223392314,1.50000005306e-05
13,330,92,66135.214426,122350.666466,56215.452001,41340.63435,1,0.459461755499,0.384650457017,1.30000003082e-05
14,330,91,66446.564497,122179.799164,55733.234651,40320.151599,1,0.456157523849,0.377647201987,1.50000005306e-05
15,330,99,76410.860684,137385.800075,60974.939369,38796.518763,1,0.443822719202,0.336753764813,1.09999996312e-05
16,330,103,80667.338159,143099.48134,62432.143197,33044.758446,1,0.43628490203,0.290600203783,8.00000043455e-06
17,330,103,77698.159189,137511.848944,59813.689738,24383.307554,1,0.434971169374,0.238861257895,6.99999918652e-06
18,330,93,72732.313718,129576.778866,56844.465146,21352.708172,1,0.438693303256,0.226951195239,3.9999999899e-06
19,330,86,69102.066141,123421.092066,54319.025923,18712.953318,1,0.440111370056,0.213095133763,4.99999941894e-06
20,330,83,63212.282028,115040.279356,51827.997327,21319.844109,1,0.450520440468,0.252209959495,1.00000033854e-06
21,330,85,61810.487984,115194.841261,53384.353277,23917.081702,1,0.463426596995,0.278989382174,1.00000079328e-06
22,330,88,67366.737999,121029.741832,53663.003833,26640.939924,1,0.443386914825,0.283391107116,1.00000124803e-06
23,330,87,72001.945114,123169.410094,51167.46498,28762.998194,1,0.415423480075,0.285446478207,1.00000124803e-06
