month,valid_hours,proxy_positive_hours,proxy_positive_mwh,net_export_mwh_on_positive_hours,conventional_mwh_on_positive_hours,power_to_heat_mwh_on_positive_hours,export_coverage_share,conventional_share_of_export,power_to_heat_counterfactual_share,maximum_absolute_balance_residual_mwh
2025-10,745,181,144098.937691,232903.828291,88804.890589,51487.929398,1,0.381294250252,0.263248397831,3.9999999899e-06
2025-11,720,172,96731.65665,206455.699691,109724.043043,65860.86808,1,0.531465312933,0.405067011472,4.00000044465e-06
2025-12,744,202,134240.797299,263550.225412,129309.428122,74671.533976,1,0.490644346518,0.357429997168,4.00000044465e-06
2026-01,744,169,82188.290556,242446.306901,160258.016347,78478.045935,1,0.661004155499,0.488453571849,3.00000101561e-06
2026-02,672,171,78731.556019,244491.08069,165759.52467,75319.321013,1,0.677977798626,0.488924973776,7.00000055076e-06
2026-03,743,177,137010.550515,249362.097215,112351.54662,90135.266034,1,0.450555829754,0.396816755877,1.59999999596e-05
2026-04,720,141,123505.778157,198006.443983,74500.66584,67874.295582,1,0.376253743774,0.354657066726,9.00000031834e-06
2026-05,744,147,101339.226944,184587.847774,83248.62083,37459.432539,1,0.450997299302,0.269883244395,1.30000003082e-05
2026-06,720,169,104512.960016,161666.434084,57153.474058,37485.900344,1,0.353527152262,0.263987332356,1.30000003082e-05
2026-07,744,324,303320.169025,438603.570482,135283.401409,56406.16849,1,0.308441176756,0.156802998856,1.00000002021e-05
2026-08,624,244,275290.098854,389488.344418,114198.245556,43871.983084,1,0.293200675175,0.137459885014,1.09999996312e-05
