local_hour,valid_hours,positive_hours,positive_hour_share,proxy_surplus_mwh,observed_days,days_with_proxy_surplus
0,330,76,0.230303030303,54969.027266,330,76
1,330,74,0.224242424242,53177.663375,330,74
2,330,76,0.230303030303,55260.339242,329,76
3,330,83,0.251515151515,57869.578267,330,83
4,330,87,0.263636363636,62825.363365,330,87
5,330,90,0.272727272727,65711.996665,330,90
6,330,89,0.269696969697,59570.672792,330,89
7,330,76,0.230303030303,52735.834623,330,76
8,330,73,0.221212121212,57728.874432,330,73
9,330,80,0.242424242424,68883.275825,330,80
10,330,88,0.266666666667,73796.088639,330,88
11,330,98,0.29696969697,74344.026848,330,98
12,330,97,0.293939393939,70513.310448,330,97
13,330,92,0.278787878788,66135.214426,330,92
14,330,91,0.275757575758,66446.564497,330,91
15,330,99,0.3,76410.860684,330,99
16,330,103,0.312121212121,80667.338159,330,103
17,330,103,0.312121212121,77698.159189,330,103
18,330,93,0.281818181818,72732.313718,330,93
19,330,86,0.260606060606,69102.066141,330,86
20,330,83,0.251515151515,63212.282028,330,83
21,330,85,0.257575757576,61810.487984,330,85
22,330,88,0.266666666667,67366.737999,330,88
23,330,87,0.263636363636,72001.945114,330,87
