month,local_hour,valid_hours,positive_hours,positive_hour_share,proxy_surplus_mwh,observed_days,days_with_proxy_surplus
2025-10,0,31,7,0.225806451613,5482.928185,31,7
2025-10,1,31,6,0.193548387097,5069.028644,31,6
2025-10,2,32,6,0.1875,5666.595904,31,6
2025-10,3,31,5,0.161290322581,5572.240477,31,5
2025-10,4,31,5,0.161290322581,5720.510559,31,5
2025-10,5,31,6,0.193548387097,6002.562735,31,6
2025-10,6,31,6,0.193548387097,5158.960452,31,6
2025-10,7,31,4,0.129032258065,3197.707012,31,4
2025-10,8,31,5,0.161290322581,3216.612114,31,5
2025-10,9,31,6,0.193548387097,4310.213259,31,6
2025-10,10,31,7,0.225806451613,5722.133463,31,7
2025-10,11,31,10,0.322580645161,7509.437756,31,10
2025-10,12,31,11,0.354838709677,9469.010085,31,11
2025-10,13,31,11,0.354838709677,9496.576194,31,11
2025-10,14,31,10,0.322580645161,9309.76775,31,10
2025-10,15,31,11,0.354838709677,8374.168614,31,11
2025-10,16,31,10,0.322580645161,5847.951202,31,10
2025-10,17,31,7,0.225806451613,3476.093275,31,7
2025-10,18,31,6,0.193548387097,3338.373588,31,6
2025-10,19,31,7,0.225806451613,4062.301984,31,7
2025-10,20,31,9,0.290322580645,5941.972105,31,9
2025-10,21,31,9,0.290322580645,6683.102431,31,9
2025-10,22,31,9,0.290322580645,7738.289499,31,9
2025-10,23,31,8,0.258064516129,7732.400404,31,8
2025-11,0,30,5,0.166666666667,3665.52979,30,5
2025-11,1,30,5,0.166666666667,2976.651339,30,5
2025-11,2,30,4,0.133333333333,2621.777847,30,4
2025-11,3,30,6,0.2,3099.27338,30,6
2025-11,4,30,9,0.3,4041.063132,30,9
2025-11,5,30,8,0.266666666667,4857.887231,30,8
2025-11,6,30,7,0.233333333333,4279.393924,30,7
2025-11,7,30,7,0.233333333333,4138.758369,30,7
2025-11,8,30,6,0.2,3753.478668,30,6
2025-11,9,30,8,0.266666666667,3943.880741,30,8
2025-11,10,30,9,0.3,3564.492543,30,9
2025-11,11,30,8,0.266666666667,4050.434241,30,8
2025-11,12,30,8,0.266666666667,4611.122015,30,8
2025-11,13,30,9,0.3,4516.900022,30,9
2025-11,14,30,9,0.3,4088.901028,30,9
2025-11,15,30,7,0.233333333333,3092.510838,30,7
2025-11,16,30,5,0.166666666667,2732.099436,30,5
2025-11,17,30,5,0.166666666667,2360.472417,30,5
2025-11,18,30,7,0.233333333333,2730.943109,30,7
2025-11,19,30,9,0.3,4666.429418,30,9
2025-11,20,30,9,0.3,5095.038696,30,9
2025-11,21,30,8,0.266666666667,5754.874855,30,8
2025-11,22,30,8,0.266666666667,6207.005339,30,8
2025-11,23,30,6,0.2,5882.738272,30,6
2025-12,0,31,10,0.322580645161,7872.100875,31,10
2025-12,1,31,9,0.290322580645,7310.123661,31,9
2025-12,2,31,12,0.387096774194,7371.850566,31,12
2025-12,3,31,12,0.387096774194,7379.12688,31,12
2025-12,4,31,14,0.451612903226,8874.423554,31,14
2025-12,5,31,13,0.41935483871,10086.360985,31,13
2025-12,6,31,13,0.41935483871,9240.765431,31,13
2025-12,7,31,10,0.322580645161,6849.07318,31,10
2025-12,8,31,7,0.225806451613,4846.209253,31,7
2025-12,9,31,7,0.225806451613,4624.162953,31,7
2025-12,10,31,7,0.225806451613,4296.187926,31,7
2025-12,11,31,7,0.225806451613,4929.416887,31,7
2025-12,12,31,8,0.258064516129,5197.688177,31,8
2025-12,13,31,6,0.193548387097,3690.867315,31,6
2025-12,14,31,5,0.161290322581,2681.432229,31,5
2025-12,15,31,4,0.129032258065,2144.945393,31,4
2025-12,16,31,4,0.129032258065,1758.571568,31,4
2025-12,17,31,5,0.161290322581,1511.104337,31,5
2025-12,18,31,4,0.129032258065,2496.429035,31,4
2025-12,19,31,6,0.193548387097,4093.020365,31,6
2025-12,20,31,6,0.193548387097,5050.824891,31,6
2025-12,21,31,10,0.322580645161,5923.247743,31,10
2025-12,22,31,11,0.354838709677,7372.2452,31,11
2025-12,23,31,12,0.387096774194,8640.618895,31,12
2026-01,0,31,9,0.290322580645,4266.075259,31,9
2026-01,1,31,7,0.225806451613,4324.356279,31,7
2026-01,2,31,7,0.225806451613,4231.025285,31,7
2026-01,3,31,9,0.290322580645,4029.111196,31,9
2026-01,4,31,8,0.258064516129,3994.855064,31,8
2026-01,5,31,10,0.322580645161,4178.662303,31,10
2026-01,6,31,9,0.290322580645,3553.042307,31,9
2026-01,7,31,8,0.258064516129,1852.140424,31,8
2026-01,8,31,5,0.161290322581,1809.379947,31,5
2026-01,9,31,3,0.0967741935484,1851.913346,31,3
2026-01,10,31,4,0.129032258065,2384.165606,31,4
2026-01,11,31,6,0.193548387097,2683.485757,31,6
2026-01,12,31,6,0.193548387097,3622.771971,31,6
2026-01,13,31,5,0.161290322581,3291.696508,31,5
2026-01,14,31,5,0.161290322581,3415.804625,31,5
2026-01,15,31,5,0.161290322581,3032.166229,31,5
2026-01,16,31,6,0.193548387097,2997.334178,31,6
2026-01,17,31,5,0.161290322581,2225.08994,31,5
2026-01,18,31,7,0.225806451613,2582.247261,31,7
2026-01,19,31,7,0.225806451613,3399.91693,31,7
2026-01,20,31,8,0.258064516129,3511.09217,31,8
2026-01,21,31,10,0.322580645161,4131.436546,31,10
2026-01,22,31,10,0.322580645161,4515.695216,31,10
2026-01,23,31,10,0.322580645161,6304.826209,31,10
2026-02,0,28,8,0.285714285714,3223.02114,28,8
2026-02,1,28,7,0.25,3216.083395,28,7
2026-02,2,28,6,0.214285714286,2629.453579,28,6
2026-02,3,28,7,0.25,2279.353701,28,7
2026-02,4,28,8,0.285714285714,3001.042149,28,8
2026-02,5,28,9,0.321428571429,3466.13123,28,9
2026-02,6,28,9,0.321428571429,2972.371615,28,9
2026-02,7,28,4,0.142857142857,1663.031073,28,4
2026-02,8,28,3,0.107142857143,1467.459612,28,3
2026-02,9,28,6,0.214285714286,2037.58884,28,6
2026-02,10,28,6,0.214285714286,3160.381126,28,6
2026-02,11,28,7,0.25,4639.241775,28,7
2026-02,12,28,8,0.285714285714,5879.524478,28,8
2026-02,13,28,8,0.285714285714,5763.575948,28,8
2026-02,14,28,8,0.285714285714,5034.067348,28,8
2026-02,15,28,9,0.321428571429,4665.763042,28,9
2026-02,16,28,8,0.285714285714,2256.203534,28,8
2026-02,17,28,5,0.178571428571,1247.354914,28,5
2026-02,18,28,5,0.178571428571,1252.440322,28,5
2026-02,19,28,6,0.214285714286,2191.832631,28,6
2026-02,20,28,7,0.25,3631.727893,28,7
2026-02,21,28,8,0.285714285714,4103.796172,28,8
2026-02,22,28,9,0.321428571429,4257.703798,28,9
2026-02,23,28,10,0.357142857143,4692.406704,28,10
2026-03,0,31,9,0.290322580645,4206.717111,31,9
2026-03,1,31,6,0.193548387097,4710.61441,31,6
2026-03,2,30,6,0.2,4961.283901,30,6
2026-03,3,31,7,0.225806451613,5371.694382,31,7
2026-03,4,31,6,0.193548387097,5199.817403,31,6
2026-03,5,31,6,0.193548387097,4709.308705,31,6
2026-03,6,31,6,0.193548387097,4439.810774,31,6
2026-03,7,31,7,0.225806451613,4478.009238,31,7
2026-03,8,31,5,0.161290322581,4034.241451,31,5
2026-03,9,31,6,0.193548387097,5701.759206,31,6
2026-03,10,31,9,0.290322580645,6138.683702,31,9
2026-03,11,31,8,0.258064516129,5056.554873,31,8
2026-03,12,31,7,0.225806451613,3800.709955,31,7
2026-03,13,31,8,0.258064516129,4016.953728,31,8
2026-03,14,31,7,0.225806451613,4440.645031,31,7
2026-03,15,31,10,0.322580645161,7275.702997,31,10
2026-03,16,31,10,0.322580645161,7601.709252,31,10
2026-03,17,31,7,0.225806451613,5732.258173,31,7
2026-03,18,31,7,0.225806451613,5400.660714,31,7
2026-03,19,31,7,0.225806451613,6012.134579,31,7
2026-03,20,31,7,0.225806451613,6976.67509,31,7
2026-03,21,31,8,0.258064516129,8162.863056,31,8
2026-03,22,31,9,0.290322580645,9235.117298,31,9
2026-03,23,31,9,0.290322580645,9346.625486,31,9
2026-04,0,30,6,0.2,6480.075172,30,6
2026-04,1,30,6,0.2,5614.298815,30,6
2026-04,2,30,7,0.233333333333,6045.925088,30,7
2026-04,3,30,8,0.266666666667,6000.806382,30,8
2026-04,4,30,5,0.166666666667,5341.694448,30,5
2026-04,5,30,5,0.166666666667,5395.755271,30,5
2026-04,6,30,5,0.166666666667,4419.359239,30,5
2026-04,7,30,4,0.133333333333,3876.717169,30,4
2026-04,8,30,2,0.0666666666667,3105.500957,30,2
2026-04,9,30,3,0.1,2293.129361,30,3
2026-04,10,30,3,0.1,1333.660255,30,3
2026-04,11,30,4,0.133333333333,1257.671021,30,4
2026-04,12,30,4,0.133333333333,2208.549024,30,4
2026-04,13,30,4,0.133333333333,2023.940094,30,4
2026-04,14,30,5,0.166666666667,2604.154818,30,5
2026-04,15,30,4,0.133333333333,3039.066081,30,4
2026-04,16,30,4,0.133333333333,4604.568955,30,4
2026-04,17,30,9,0.3,5733.933932,30,9
2026-04,18,30,10,0.333333333333,8235.834475,30,10
2026-04,19,30,9,0.3,9255.30307,30,9
2026-04,20,30,9,0.3,8827.005605,30,9
2026-04,21,30,9,0.3,8464.347046,30,9
2026-04,22,30,8,0.266666666667,8971.581037,30,8
2026-04,23,30,8,0.266666666667,8372.900842,30,8
2026-05,0,31,4,0.129032258065,1904.644139,31,4
2026-05,1,31,4,0.129032258065,2115.423541,31,4
2026-05,2,31,5,0.161290322581,2736.366035,31,5
2026-05,3,31,5,0.161290322581,3185.274305,31,5
2026-05,4,31,4,0.129032258065,3502.894038,31,4
2026-05,5,31,4,0.129032258065,3196.248312,31,4
2026-05,6,31,5,0.161290322581,2940.022653,31,5
2026-05,7,31,5,0.161290322581,3596.053708,31,5
2026-05,8,31,7,0.225806451613,4987.454755,31,7
2026-05,9,31,7,0.225806451613,5929.691005,31,7
2026-05,10,31,7,0.225806451613,5579.914416,31,7
2026-05,11,31,7,0.225806451613,4554.169765,31,7
2026-05,12,31,7,0.225806451613,4511.41194,31,7
2026-05,13,31,7,0.225806451613,5018.072001,31,7
2026-05,14,31,8,0.258064516129,5868.987119,31,8
2026-05,15,31,9,0.290322580645,7507.673649,31,9
2026-05,16,31,11,0.354838709677,7395.896439,31,11
2026-05,17,31,12,0.387096774194,9158.387223,31,12
2026-05,18,31,8,0.258064516129,6400.773655,31,8
2026-05,19,31,6,0.193548387097,3741.872155,31,6
2026-05,20,31,5,0.161290322581,2338.920601,31,5
2026-05,21,31,3,0.0967741935484,1586.249069,31,3
2026-05,22,31,3,0.0967741935484,1682.430825,31,3
2026-05,23,31,4,0.129032258065,1900.395596,31,4
2026-06,0,30,2,0.0666666666667,1975.587861,30,2
2026-06,1,30,4,0.133333333333,2293.567018,30,4
2026-06,2,30,5,0.166666666667,2466.823127,30,5
2026-06,3,30,5,0.166666666667,2810.508246,30,5
2026-06,4,30,6,0.2,3367.798358,30,6
2026-06,5,30,7,0.233333333333,3785.637955,30,7
2026-06,6,30,6,0.2,3199.144681,30,6
2026-06,7,30,5,0.166666666667,2682.120314,30,5
2026-06,8,30,7,0.233333333333,3290.777411,30,7
2026-06,9,30,8,0.266666666667,5113.380317,30,8
2026-06,10,30,8,0.266666666667,6593.450827,30,8
2026-06,11,30,11,0.366666666667,8009.832315,30,11
2026-06,12,30,11,0.366666666667,7088.852391,30,11
2026-06,13,30,10,0.333333333333,6114.561472,30,10
2026-06,14,30,9,0.3,5867.996061,30,9
2026-06,15,30,12,0.4,7436.418831,30,12
2026-06,16,30,15,0.5,9191.836666,30,15
2026-06,17,30,15,0.5,7437.018949,30,15
2026-06,18,30,8,0.266666666667,3740.587986,30,8
2026-06,19,30,4,0.133333333333,4284.036481,30,4
2026-06,20,30,4,0.133333333333,2861.389211,30,4
2026-06,21,30,2,0.0666666666667,1695.000143,30,2
2026-06,22,30,3,0.1,1554.157094,30,3
