month,valid_hours,positive_hours,positive_hour_share,proxy_surplus_mwh,observed_days,days_with_proxy_surplus
2025-10,745,181,0.242953020134,144098.937691,31,17
2025-11,720,172,0.238888888889,96731.65665,30,13
2025-12,744,202,0.271505376344,134240.797299,31,18
2026-01,744,169,0.227150537634,82188.290556,31,17
2026-02,672,171,0.254464285714,78731.556019,28,16
2026-03,743,177,0.238223418573,137010.550515,31,18
2026-04,720,141,0.195833333333,123505.778157,30,14
2026-05,744,147,0.197580645161,101339.226944,31,17
2026-06,720,169,0.234722222222,104512.960016,30,20
2026-07,744,324,0.435483870968,303320.169025,31,23
2026-08,624,244,0.391025641026,275290.098854,26,20
