scope,path,delivery_day,period,activation_state,information_set,activation_representation,delivery_days,evaluated_days,scenarios,valid_n,missing_n,availability_ok
premium_pool,,2026-01-28,0,0,gate_0730,,81,,,88,0,True
premium_pool,,2026-01-28,0,1,gate_0730,,81,,,1208,0,True
premium_pool,,2026-01-28,1,0,gate_0730,,81,,,72,0,True
premium_pool,,2026-01-28,1,1,gate_0730,,81,,,1224,0,True
premium_pool,,2026-01-28,2,0,gate_0730,,81,,,48,0,True
premium_pool,,2026-01-28,2,1,gate_0730,,81,,,1248,0,True
premium_pool,,2026-01-28,3,0,gate_0730,,81,,,76,0,True
premium_pool,,2026-01-28,3,1,gate_0730,,81,,,1220,0,True
premium_pool,,2026-01-28,4,0,gate_0730,,81,,,140,0,True
premium_pool,,2026-01-28,4,1,gate_0730,,81,,,1156,0,True
premium_pool,,2026-01-28,5,0,gate_0730,,81,,,228,0,True
premium_pool,,2026-01-28,5,1,gate_0730,,81,,,1068,0,True
premium_pool,,2026-01-29,0,0,gate_0730,,81,,,92,0,True
premium_pool,,2026-01-29,0,1,gate_0730,,81,,,1204,0,True
premium_pool,,2026-01-29,1,0,gate_0730,,81,,,72,0,True
premium_pool,,2026-01-29,1,1,gate_0730,,81,,,1224,0,True
premium_pool,,2026-01-29,2,0,gate_0730,,81,,,44,0,True
premium_pool,,2026-01-29,2,1,gate_0730,,81,,,1252,0,True
premium_pool,,2026-01-29,3,0,gate_0730,,81,,,76,0,True
premium_pool,,2026-01-29,3,1,gate_0730,,81,,,1220,0,True
premium_pool,,2026-01-29,4,0,gate_0730,,81,,,136,0,True
premium_pool,,2026-01-29,4,1,gate_0730,,81,,,1160,0,True
premium_pool,,2026-01-29,5,0,gate_0730,,81,,,216,0,True
premium_pool,,2026-01-29,5,1,gate_0730,,81,,,1080,0,True
premium_pool,,2026-01-30,0,0,gate_0730,,81,,,92,0,True
premium_pool,,2026-01-30,0,1,gate_0730,,81,,,1204,0,True
premium_pool,,2026-01-30,1,0,gate_0730,,81,,,72,0,True
premium_pool,,2026-01-30,1,1,gate_0730,,81,,,1224,0,True
premium_pool,,2026-01-30,2,0,gate_0730,,81,,,44,0,True
premium_pool,,2026-01-30,2,1,gate_0730,,81,,,1252,0,True
premium_pool,,2026-01-30,3,0,gate_0730,,81,,,76,0,True
premium_pool,,2026-01-30,3,1,gate_0730,,81,,,1220,0,True
premium_pool,,2026-01-30,4,0,gate_0730,,81,,,132,0,True
premium_pool,,2026-01-30,4,1,gate_0730,,81,,,1164,0,True
premium_pool,,2026-01-30,5,0,gate_0730,,81,,,212,0,True
premium_pool,,2026-01-30,5,1,gate_0730,,81,,,1084,0,True
premium_pool,,2026-01-31,0,0,gate_0730,,81,,,92,0,True
premium_pool,,2026-01-31,0,1,gate_0730,,81,,,1204,0,True
premium_pool,,2026-01-31,1,0,gate_0730,,81,,,72,0,True
