strategy,chi,stress_hours,stress_required_activation_mwh,stress_delivered_activation_mwh,stress_undelivered_activation_mwh,stress_undelivered_activation_share
B2_FB0,0,363,155.119589702,125.707285473,29.4123042298,0.189610508165
B2_FB0_gate,0,363,155.119589702,126.910330725,28.209258977,0.181854909693
B3_fb2_plus_weather_s3a,0,357,155.481525339,127.588638582,27.8928867572,0.179396791331
B3_fb2_plus_weather_s3a,0.5,357,143.331771826,120.366465778,22.9653060477,0.160224810976
B3_fb2_s3a,0,363,163.003023759,135.223481741,27.7795420184,0.17042347668
B3_fb2_s3a,0.5,363,158.855887297,131.574425437,27.2814618604,0.171737178424
B3_hist_independent,0,363,157.297513999,137.089507097,20.2080069021,0.128469969985
B3_hist_independent,0.5,363,153.889175678,131.857909111,22.0312665669,0.143163198255
B3_hist_paired,0,363,161.834678985,139.083361466,22.751317519,0.140583697275
B3_hist_paired,0.5,363,156.314946085,134.514402413,21.8005436717,0.13946550997
B3_hist_paired_shortfall,0,363,171.183729163,139.717417172,31.4663119905,0.183816021209
B3_hist_paired_shortfall,0.5,363,165.235302088,135.278701641,29.9566004479,0.181296611979
B3_pooled_empirical,0,363,164.650258875,135.193252928,29.4570059475,0.178906526772
B3_pooled_empirical,0.5,363,157.577155035,129.815664721,27.7614903143,0.176177126108
B3_pooled_empirical_analog,0,363,164.650258875,134.956923757,29.6933351185,0.180341867188
B3_pooled_empirical_analog,0.5,363,157.652022334,129.127663311,28.5243590231,0.180932401632
B3_pooled_empirical_directqr,0,363,164.650258875,135.159208793,29.4910500827,0.179113293135
B3_pooled_empirical_directqr,0.5,363,157.396680009,129.635190694,27.7614893143,0.176379128917
B3_pooled_gaussian,0,363,163.087324919,135.413126014,27.6741989047,0.169689452682
B3_pooled_gaussian,0.5,363,160.317172586,131.753154329,28.5640182578,0.178171918809
B3_pooled_gaussian_directqr,0,363,163.078792837,135.404592932,27.6741999047,0.169698336757
B3_pooled_gaussian_directqr,0.5,363,160.227915712,131.60096149,28.6269542222,0.178663961863
B3_pooled_gaussian_gate,0,363,162.966792837,135.012804229,27.9539886075,0.171531807927
B3_pooled_gaussian_gate,0.5,363,160.290908625,131.606738167,28.6841704576,0.178950700971
B3_pooled_gaussian_no_cross,0,363,165.301417331,135.15309406,30.1483232708,0.182383936917
B3_pooled_gaussian_no_cross,0.5,363,158.67010679,128.702505997,29.9676007932,0.188867338653
B3_pooled_independent,0,363,159.614462732,133.98785308,25.6266096522,0.160553180543
B3_pooled_independent,0.5,363,161.759694972,132.711300961,29.0483940104,0.179577452934
X06_rebuild,0,363,164.865890724,134.470942564,30.3949481597,0.184361653137
X09_rebuild,0,363,162.706795011,134.559752243,28.1470427679,0.172992423372
X14_rebuild,0,363,163.6600977,136.317414301,27.3426833993,0.167069944254
X14_rebuild,0.1,363,163.00521702,135.662532621,27.3426843993,0.16774116129
X14_rebuild,0.5,363,140.506765485,115.24091672,25.2658487656,0.179819446262
