arm,spec,product,n_days,sample_crps,median_mae,interval_level,coverage,average_width,conditioning_saturated_share,mean_pinball
cross_hourly__analog,cross_hourly,analog,211,23.54656169546262,29.511891337238957,0.9,0.6848341232227488,100.92034675390596,0.1769352290679305,
cross_hourly__direct_quantile_regression,cross_hourly,direct_quantile_regression,211,22.414730885104273,28.222052545476018,0.9,0.6848341232227488,97.10246736011015,0.1769352290679305,8.329942029764146
cross_hourly__gaussian_24_hour,cross_hourly,gaussian_24_hour,211,27.473945540535528,35.79812726959194,0.9,0.5851105845181674,77.94122473107844,0.1769352290679305,
cross_hourly__gaussian_daily_mean_score,cross_hourly,gaussian_daily_mean_score,211,24.708943466168115,31.650656852568194,0.9,0.6595576619273302,92.74772403858235,0.1769352290679305,
cross_hourly__unconditional,cross_hourly,unconditional,211,22.43769103281046,28.449280551047593,0.9,0.7555292259083729,113.10401402973069,0.1769352290679305,8.14923063678958
cross_pooled__analog,cross_pooled,analog,211,21.65393679125426,27.922340978148483,0.9,0.7187993680884674,95.97047011918276,0.06773301737756714,
cross_pooled__direct_quantile_regression,cross_pooled,direct_quantile_regression,211,19.811619738762367,26.186879234566128,0.9,0.8112164296998421,111.63887292792091,0.06773301737756714,6.947352580176366
cross_pooled__gaussian_24_hour,cross_pooled,gaussian_24_hour,211,24.021671771587325,31.173656873517146,0.9,0.6583728278041076,80.72102787032296,0.06773301737756714,
cross_pooled__gaussian_daily_mean_score,cross_pooled,gaussian_daily_mean_score,211,22.262023760879345,28.93630033617358,0.9,0.7146524486571878,93.15795592144156,0.06773301737756714,
cross_pooled__unconditional,cross_pooled,unconditional,211,20.922164283364403,27.306012465605185,0.9,0.8240521327014217,116.96210211100818,0.06773301737756714,7.367178866185954
own_hourly__analog,own_hourly,analog,211,22.662930067940014,28.818831308676234,0.9,0.6915481832543443,94.58369204378104,0.1188783570300158,
own_hourly__direct_quantile_regression,own_hourly,direct_quantile_regression,211,22.409344945005,28.498040216993328,0.9,0.6917456556082148,99.50070667924005,0.1188783570300158,8.25872229044815
own_hourly__gaussian_24_hour,own_hourly,gaussian_24_hour,211,27.38350058920427,35.25211353224043,0.9,0.589652448657188,71.77734413291711,0.1188783570300158,
own_hourly__gaussian_daily_mean_score,own_hourly,gaussian_daily_mean_score,211,23.037033383824117,29.951781747303524,0.9,0.6706161137440758,87.08275242983964,0.1188783570300158,
own_hourly__unconditional,own_hourly,unconditional,211,21.494305974964764,27.575718952614295,0.9,0.7685624012638231,107.46292100754509,0.1188783570300158,7.762403717599757
own_pooled__analog,own_pooled,analog,211,21.344025303441263,27.578645580394124,0.9,0.7158372827804107,95.32008024677037,0.059044233807266984,
own_pooled__direct_quantile_regression,own_pooled,direct_quantile_regression,211,20.19847436853368,26.7637708809698,0.9,0.7932464454976303,110.473148825216,0.059044233807266984,7.059992234820088
own_pooled__gaussian_24_hour,own_pooled,gaussian_24_hour,211,23.40429444827841,30.379286892764867,0.9,0.6567930489731437,76.05169322578611,0.059044233807266984,
own_pooled__gaussian_daily_mean_score,own_pooled,gaussian_daily_mean_score,211,21.467590476647004,28.23527490994242,0.9,0.7146524486571879,90.24269682341314,0.059044233807266984,
own_pooled__unconditional,own_pooled,unconditional,211,20.57806362105124,26.998101920396095,0.9,0.8145734597156398,114.3253909513238,0.059044233807266984,7.246697302795493
