arm,metric,target_x,target_y,lag_hours_y_after_x,observed_value,scenario_value,difference,n_observed_pairs,n_scenario_pairs
own_hourly__independent,spearman_rho,day_ahead_price,capacity_price,0,0.40412428709866505,0.23507259331909805,-0.169051693779567,5064,506400
own_hourly__independent,spearman_rho,day_ahead_price,capacity_price,1,0.37191554000304194,0.22113545806040183,-0.15078008194264012,4853,485300
own_hourly__independent,spearman_rho,day_ahead_price,activation_volume,0,-0.14447317533750653,-0.1002009338327993,0.04427224150470724,5064,506400
own_hourly__independent,spearman_rho,day_ahead_price,activation_volume,1,-0.18818550289917593,-0.13619922949382157,0.05198627340535436,4853,485300
own_hourly__independent,spearman_rho,capacity_price,activation_volume,0,-0.04987933514061485,-0.05345762176068436,-0.0035782866200695096,5064,506400
own_hourly__independent,spearman_rho,capacity_price,activation_volume,1,-0.04571657867105762,-0.06891149165044418,-0.023194912979386556,4853,485300
own_hourly__independent,spearman_rho,day_ahead_price,day_ahead_price,1,0.9363844099384151,0.4820150279502756,-0.4543693819881395,4853,485300
own_hourly__independent,spearman_rho,capacity_price,capacity_price,1,0.7832781047571382,0.41051651825001534,-0.3727615865071229,4853,485300
own_hourly__independent,spearman_rho,activation_volume,activation_volume,1,0.46886524499604004,0.11421319905455521,-0.3546520459414848,4853,485300
own_hourly__independent,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2583826429980276,0.25872827804107423,0.0003456350430466326,507,50640
own_hourly__gaussian,spearman_rho,day_ahead_price,capacity_price,0,0.40412428709866505,0.37991487964136095,-0.0242094074573041,5064,506400
own_hourly__gaussian,spearman_rho,day_ahead_price,capacity_price,1,0.37191554000304194,0.37243731955372916,0.000521779550687218,4853,485300
own_hourly__gaussian,spearman_rho,day_ahead_price,activation_volume,0,-0.14447317533750653,-0.0802235634894076,0.06424961184809894,5064,506400
own_hourly__gaussian,spearman_rho,day_ahead_price,activation_volume,1,-0.18818550289917593,-0.11702352628131851,0.07116197661785742,4853,485300
own_hourly__gaussian,spearman_rho,capacity_price,activation_volume,0,-0.04987933514061485,-0.042962712794363325,0.006916622346251525,5064,506400
own_hourly__gaussian,spearman_rho,capacity_price,activation_volume,1,-0.04571657867105762,-0.05500031305886438,-0.00928373438780676,4853,485300
own_hourly__gaussian,spearman_rho,day_ahead_price,day_ahead_price,1,0.9363844099384151,0.7618951447684386,-0.17448926516997654,4853,485300
own_hourly__gaussian,spearman_rho,capacity_price,capacity_price,1,0.7832781047571382,0.591879694192616,-0.19139841056452223,4853,485300
