arm,block,energy_score,variogram_score,n_days
cross_hourly__empirical,activation,3.1003683065832726,140.3362161419092,211
cross_hourly__empirical,all,5.3935515996184415,1087.3779959058445,211
cross_hourly__empirical,prices,4.156150944000042,436.2677609413008,211
cross_hourly__gaussian,activation,3.1123604469424415,141.83785268908323,211
cross_hourly__gaussian,all,5.3490757600842285,1085.9808613454381,211
cross_hourly__gaussian,prices,4.126442670864519,438.017435103663,211
cross_hourly__independent,activation,3.126916945054619,142.71478083452865,211
cross_hourly__independent,all,5.3951641208292545,1109.4570953320438,211
cross_hourly__independent,prices,4.191522740128449,458.6384123192696,211
cross_pooled__empirical,activation,3.1003683065832726,140.3362161419092,211
cross_pooled__empirical,all,5.127563899864048,1004.4582285180246,211
cross_pooled__empirical,prices,3.8380132551699924,378.13845618883647,211
cross_pooled__gaussian,activation,3.1148218376291203,141.95765233112772,211
cross_pooled__gaussian,all,5.1051486017012895,1009.0793587955802,211
cross_pooled__gaussian,prices,3.813732970257195,382.8136090962194,211
cross_pooled__independent,activation,3.126916945054619,142.71478083452865,211
cross_pooled__independent,all,5.142502868425341,1034.509101180292,211
cross_pooled__independent,prices,3.8740105762273087,406.2471636903252,211
own_hourly__empirical,activation,3.1003683065832726,140.3362161419092,211
own_hourly__empirical,all,5.293170672423051,1050.1240133733684,211
own_hourly__empirical,prices,4.0320519275269335,407.6720492444524,211
own_hourly__gaussian,activation,3.1109466425695973,141.78791515604362,211
own_hourly__gaussian,all,5.259680078852911,1049.5577343538232,211
own_hourly__gaussian,prices,4.014595604068918,409.75162573555656,211
own_hourly__independent,activation,3.126916945054619,142.71478083452865,211
own_hourly__independent,all,5.295561813571712,1070.0019044407818,211
own_hourly__independent,prices,4.066456580116277,428.1429803958689,211
own_pooled__empirical,activation,3.1003683065832726,140.3362161419092,211
own_pooled__empirical,all,5.111514644662206,998.2359742364046,211
own_pooled__empirical,prices,3.826245077289508,374.1074547805883,211
own_pooled__gaussian,activation,3.1152493998561317,142.1471616682787,211
own_pooled__gaussian,all,5.092406657342914,1002.5249286286275,211
own_pooled__gaussian,prices,3.8068940906046134,378.254693515546,211
own_pooled__independent,activation,3.126916945054619,142.71478083452865,211
own_pooled__independent,all,5.132698339523507,1027.0793326922103,211
own_pooled__independent,prices,3.8716909252458986,401.19216826647397,211
