family,target,arm,comparator,metric,mean_loss_difference_a_minus_b,dm_statistic,p_value,newey_west_lags,n_valid_days,confidence_lower,confidence_upper,confidence_level,block_days,bootstrap_repetitions,bootstrap_seed,block
marginal_pinball,capacity_price,cross_hourly,own_hourly,mean_pinball,0.13637022395719653,2.0667241239283936,0.038760156674050646,6,211,-0.006175933835896113,0.25481453474876214,0.95,7,2000,1,
marginal_pinball,capacity_price,cross_pooled,own_pooled,mean_pinball,-0.03283786180230295,-0.7431326869814026,0.4574013516737335,6,211,-0.12979771515845723,0.04093216296422684,0.95,7,2000,1,
marginal_pinball,capacity_price,own_pooled,own_hourly,mean_pinball,-0.25811870523425556,-5.038383192081043,4.6948079592210793e-07,6,211,-0.3782039772171272,-0.17628990112530304,0.95,7,2000,1,
marginal_pinball,capacity_price,cross_pooled,cross_hourly,mean_pinball,-0.42732679099375503,-5.554255997057873,2.7879664927842022e-08,6,211,-0.6039805229792515,-0.2936329513015762,0.95,7,2000,1,
marginal_pinball,day_ahead_price,cross_hourly,own_hourly,mean_pinball,0.3868269191898222,5.160607442282242,2.461498442438202e-07,6,211,0.23132882016131573,0.5239815288143322,0.95,7,2000,1,
marginal_pinball,day_ahead_price,cross_pooled,own_pooled,mean_pinball,0.12048156339046144,1.7788674859442275,0.07526148980924403,6,211,-0.003415846370612667,0.27253058569956784,0.95,7,2000,1,
marginal_pinball,day_ahead_price,own_pooled,own_hourly,mean_pinball,-0.5157064148042653,-3.8876188876303233,0.0001012324079114225,6,211,-0.8014564975987978,-0.282452407430687,0.95,7,2000,1,
marginal_pinball,day_ahead_price,cross_pooled,cross_hourly,mean_pinball,-0.782051770603626,-4.392559575441008,1.1202391882105954e-05,6,211,-1.1501290997110334,-0.4483272069628049,0.95,7,2000,1,
joint,,cross_hourly__gaussian,own_hourly__gaussian,energy_score,0.08939568123131784,2.4588755986635964,0.013937290270887132,6,211,0.01199787500004978,0.15767922549455796,0.95,7,2000,1,all
joint,,cross_hourly__gaussian,own_hourly__gaussian,variogram_score,36.42312699161475,3.9232654057416183,8.735682528576874e-05,6,211,18.22766244880604,55.144454000912546,0.95,7,2000,1,all
joint,,cross_pooled__gaussian,own_hourly__gaussian,energy_score,-0.15453147715162122,-3.8546765640833027,0.00011588272680646241,6,211,-0.23731651844456755,-0.08214306316391964,0.95,7,2000,1,all
joint,,cross_pooled__gaussian,own_hourly__gaussian,variogram_score,-40.478375558243044,-3.3439011005914825,0.0008260918111748512,6,211,-66.17748047597394,-18.675432017959036,0.95,7,2000,1,all
joint,,own_pooled__gaussian,own_hourly__gaussian,energy_score,-0.1672734215099958,-4.506592160704743,6.587707976814652e-06,6,211,-0.24782506247888075,-0.104996941281071,0.95,7,2000,1,all
joint,,own_pooled__gaussian,own_hourly__gaussian,variogram_score,-47.0328057251957,-4.243839250276883,2.1972777933920595e-05,6,211,-70.99626675289531,-28.21591448792986,0.95,7,2000,1,all
joint,,cross_hourly__empirical,own_hourly__empirical,energy_score,0.10038092719539052,2.7159105886126684,0.0066093765042952125,6,211,0.02494956974017241,0.17244566974245654,0.95,7,2000,1,all
joint,,cross_hourly__empirical,own_hourly__empirical,variogram_score,37.2539825324761,4.144367478855602,3.4075294101569095e-05,6,211,19.631896017379262,55.941807703346115,0.95,7,2000,1,all
joint,,cross_pooled__empirical,own_hourly__empirical,energy_score,-0.16560677255900338,-4.126724242990643,3.679671860642868e-05,6,211,-0.24790871919490765,-0.09163227664371007,0.95,7,2000,1,all
joint,,cross_pooled__empirical,own_hourly__empirical,variogram_score,-45.66578485534391,-3.7609273226535023,0.0001692846140576167,6,211,-71.0718856600818,-23.644576038488363,0.95,7,2000,1,all
joint,,own_pooled__empirical,own_hourly__empirical,energy_score,-0.181656027760845,-4.975950541373069,6.492822541859818e-07,6,211,-0.25938610835482784,-0.1169136242136507,0.95,7,2000,1,all
joint,,own_pooled__empirical,own_hourly__empirical,variogram_score,-51.88803913696389,-4.732370476855914,2.219129068396043e-06,6,211,-75.3994682783021,-33.43823165711929,0.95,7,2000,1,all
joint,,cross_hourly__gaussian,own_hourly__gaussian,energy_score,0.1118470667956015,2.289737695364035,0.02203652683810416,6,211,0.008551619848931519,0.2017308293669623,0.95,7,2000,1,prices
joint,,cross_hourly__gaussian,own_hourly__gaussian,variogram_score,28.2658093681064,4.613243286321869,3.964338185843044e-06,6,211,16.808358912428865,40.93839226178753,0.95,7,2000,1,prices
joint,,cross_pooled__gaussian,own_hourly__gaussian,energy_score,-0.20086263381172326,-4.011484849040852,6.03380498934049e-05,6,211,-0.30832373335297986,-0.11116089473690235,0.95,7,2000,1,prices
joint,,cross_pooled__gaussian,own_hourly__gaussian,variogram_score,-26.93801663933714,-3.271172191149586,0.0010710267636167812,6,211,-44.904351786154685,-12.471430152141819,0.95,7,2000,1,prices
joint,,own_pooled__gaussian,own_hourly__gaussian,energy_score,-0.2077015134643046,-4.405811181376144,1.0538873713176364e-05,6,211,-0.3102661834920451,-0.12599240932260594,0.95,7,2000,1,prices
joint,,own_pooled__gaussian,own_hourly__gaussian,variogram_score,-31.49693222001057,-4.214518693047373,2.5031142099750367e-05,6,211,-47.58766890962423,-18.837537503145278,0.95,7,2000,1,prices
joint,,cross_hourly__empirical,own_hourly__empirical,energy_score,0.12409901647310852,2.490664825940455,0.012750433948380739,6,211,0.023462451131397107,0.21880436777167073,0.95,7,2000,1,prices
joint,,cross_hourly__empirical,own_hourly__empirical,variogram_score,28.595711696848436,4.865161112792459,1.1436360855570178e-06,6,211,17.60932710053471,41.15491858582323,0.95,7,2000,1,prices
joint,,cross_pooled__empirical,own_hourly__empirical,energy_score,-0.19403867235694097,-3.8808928541438132,0.00010407368672529465,6,211,-0.2984396731475834,-0.1014753241465495,0.95,7,2000,1,prices
joint,,cross_pooled__empirical,own_hourly__empirical,variogram_score,-29.53359305561593,-3.6492521634499124,0.00026300484045982647,6,211,-46.63302865159362,-14.641259234029153,0.95,7,2000,1,prices
joint,,own_pooled__empirical,own_hourly__empirical,energy_score,-0.20580685023742565,-4.384043371873861,1.1649656369924592e-05,6,211,-0.3057136630586807,-0.1225029508275424,0.95,7,2000,1,prices
joint,,own_pooled__empirical,own_hourly__empirical,variogram_score,-33.56459446386407,-4.6162762529687935,3.906868112388939e-06,6,211,-48.95518731587389,-20.9871695774673,0.95,7,2000,1,prices
conditional_1200,day_ahead_price,cross_hourly__analog,own_hourly__unconditional,sample_crps,2.052255720497863,3.787355329305915,0.00015225928396257854,6,211,0.9508675611117825,3.1264699972520726,0.95,7,2000,1,
conditional_1200,day_ahead_price,cross_hourly__analog,own_hourly__gaussian_24_hour,sample_crps,-3.8369388937416447,-2.769750450216199,0.005609925602159273,6,211,-6.85632754112677,-1.1073544156395985,0.95,7,2000,1,
conditional_1200,day_ahead_price,cross_hourly__analog,cross_hourly__unconditional,sample_crps,1.1088706626521636,2.3035065343273655,0.021250359935403102,6,211,0.11733983432363716,2.066711640051344,0.95,7,2000,1,
conditional_1200,day_ahead_price,cross_hourly__direct_quantile_regression,own_hourly__unconditional,sample_crps,0.9204249101395142,1.7246787817938907,0.08458537694374942,6,211,-0.1350691714876703,2.0384041648979503,0.95,7,2000,1,
conditional_1200,day_ahead_price,cross_hourly__direct_quantile_regression,own_hourly__gaussian_24_hour,sample_crps,-4.968769704099993,-3.3695884096447535,0.0007528053727389445,6,211,-8.23474813824372,-2.1922574162719783,0.95,7,2000,1,
conditional_1200,day_ahead_price,cross_hourly__direct_quantile_regression,cross_hourly__unconditional,sample_crps,-0.02296014770618505,-0.05032865999178989,0.9598604853328316,6,211,-0.8937287067072256,0.9019805483164229,0.95,7,2000,1,
conditional_1200,day_ahead_price,cross_hourly__gaussian_24_hour,own_hourly__unconditional,sample_crps,5.979639565570762,5.504278747448188,3.706826577252077e-08,6,211,3.866374059655332,7.971770039187688,0.95,7,2000,1,
