target_x,target_y,lag_hours_y_after_x,n_valid_pairs,spearman_rho,lower_tail_quantile,n_x_lower_tail,lower_tail_dependence,upper_tail_quantile,n_x_upper_tail,upper_tail_dependence
day_ahead_price,capacity_price,0,2785,0.437118187021,0.1,279,0.247311827957,0.9,279,0.465949820789
day_ahead_price,capacity_price,1,2783,0.426462987976,0.1,279,0.232974910394,0.9,279,0.462365591398
day_ahead_price,capacity_price,24,2737,0.328014982129,0.1,274,0.197080291971,0.9,274,0.423357664234
day_ahead_price,capacity_price,168,2545,0.246491155705,0.1,255,0.152941176471,0.9,255,0.313725490196
day_ahead_price,activation_volume,0,2785,-0.024821031992,0.1,279,0.0967741935484,0.9,279,0.0430107526882
day_ahead_price,activation_volume,1,2783,-0.0566874131112,0.1,279,0.0752688172043,0.9,279,0.0430107526882
day_ahead_price,activation_volume,24,2737,-0.0767598314493,0.1,274,0.105839416058,0.9,274,0.0766423357664
day_ahead_price,activation_volume,168,2545,-0.0784797674678,0.1,255,0.0627450980392,0.9,255,0.0666666666667
capacity_price,activation_volume,0,2785,-0.0888028829208,0.1,383,0.120104438642,0.9,279,0.010752688172
capacity_price,activation_volume,1,2783,-0.0890029863391,0.1,383,0.109660574413,0.9,279,0.00358422939068
capacity_price,activation_volume,24,2737,-0.104105849932,0.1,373,0.12600536193,0.9,274,0.036496350365
capacity_price,activation_volume,168,2545,-0.0349448870255,0.1,337,0.100890207715,0.9,255,0.0823529411765
