target,statistic,group,lag,n_valid,value
day_ahead_price,intraday_lag_1_hour_spearman,hour_00,1,0,
day_ahead_price,intraday_lag_1_hour_spearman,hour_01,1,116,0.986499058163
day_ahead_price,intraday_lag_1_hour_spearman,hour_02,1,117,0.980832921219
day_ahead_price,intraday_lag_1_hour_spearman,hour_03,1,116,0.980617383616
day_ahead_price,intraday_lag_1_hour_spearman,hour_04,1,116,0.989997309038
day_ahead_price,intraday_lag_1_hour_spearman,hour_05,1,116,0.986237650406
day_ahead_price,intraday_lag_1_hour_spearman,hour_06,1,116,0.963049244608
day_ahead_price,intraday_lag_1_hour_spearman,hour_07,1,116,0.956644754546
day_ahead_price,intraday_lag_1_hour_spearman,hour_08,1,116,0.976480990274
day_ahead_price,intraday_lag_1_hour_spearman,hour_09,1,116,0.96014300542
day_ahead_price,intraday_lag_1_hour_spearman,hour_10,1,116,0.973590128013
day_ahead_price,intraday_lag_1_hour_spearman,hour_11,1,116,0.983831161342
day_ahead_price,intraday_lag_1_hour_spearman,hour_12,1,116,0.980632760543
day_ahead_price,intraday_lag_1_hour_spearman,hour_13,1,116,0.986199208088
day_ahead_price,intraday_lag_1_hour_spearman,hour_14,1,116,0.983954176758
day_ahead_price,intraday_lag_1_hour_spearman,hour_15,1,116,0.973367162573
day_ahead_price,intraday_lag_1_hour_spearman,hour_16,1,116,0.976273401761
day_ahead_price,intraday_lag_1_hour_spearman,hour_17,1,116,0.954482286709
day_ahead_price,intraday_lag_1_hour_spearman,hour_18,1,116,0.944521863151
day_ahead_price,intraday_lag_1_hour_spearman,hour_19,1,116,0.982347287895
day_ahead_price,intraday_lag_1_hour_spearman,hour_20,1,116,0.98107100296
day_ahead_price,intraday_lag_1_hour_spearman,hour_21,1,116,0.983331411217
day_ahead_price,intraday_lag_1_hour_spearman,hour_22,1,116,0.976788528813
day_ahead_price,intraday_lag_1_hour_spearman,hour_23,1,116,0.975581440049
day_ahead_price,same_civil_hour_spearman,all,1,2738,0.568214366893
day_ahead_price,same_civil_hour_spearman,all,7,2546,0.287999289259
day_ahead_price,level_mean,weekday,,2016,94.0949044995
day_ahead_price,level_mean,weekend,,769,75.6840441915
capacity_price,intraday_lag_1_hour_spearman,hour_00,1,0,
capacity_price,intraday_lag_1_hour_spearman,hour_01,1,116,0.713557941354
capacity_price,intraday_lag_1_hour_spearman,hour_02,1,117,0.806350053413
capacity_price,intraday_lag_1_hour_spearman,hour_03,1,116,0.68912738957
capacity_price,intraday_lag_1_hour_spearman,hour_04,1,116,0.663626285842
capacity_price,intraday_lag_1_hour_spearman,hour_05,1,116,0.713278622847
capacity_price,intraday_lag_1_hour_spearman,hour_06,1,116,0.613729886994
capacity_price,intraday_lag_1_hour_spearman,hour_07,1,116,0.800413884156
capacity_price,intraday_lag_1_hour_spearman,hour_08,1,116,0.843700024233
capacity_price,intraday_lag_1_hour_spearman,hour_09,1,116,0.860092783883
capacity_price,intraday_lag_1_hour_spearman,hour_10,1,116,0.85167930233
capacity_price,intraday_lag_1_hour_spearman,hour_11,1,116,0.909516695604
capacity_price,intraday_lag_1_hour_spearman,hour_12,1,116,0.899974771476
capacity_price,intraday_lag_1_hour_spearman,hour_13,1,116,0.923770769239
capacity_price,intraday_lag_1_hour_spearman,hour_14,1,116,0.915065172489
capacity_price,intraday_lag_1_hour_spearman,hour_15,1,116,0.890219212631
capacity_price,intraday_lag_1_hour_spearman,hour_16,1,116,0.831148435174
capacity_price,intraday_lag_1_hour_spearman,hour_17,1,116,0.915602815839
capacity_price,intraday_lag_1_hour_spearman,hour_18,1,116,0.963983450386
capacity_price,intraday_lag_1_hour_spearman,hour_19,1,116,0.943587963585
capacity_price,intraday_lag_1_hour_spearman,hour_20,1,116,0.936115928257
capacity_price,intraday_lag_1_hour_spearman,hour_21,1,116,0.891967229702
capacity_price,intraday_lag_1_hour_spearman,hour_22,1,116,0.848711029524
capacity_price,intraday_lag_1_hour_spearman,hour_23,1,116,0.815806038801
capacity_price,same_civil_hour_spearman,all,1,2738,0.692896066463
capacity_price,same_civil_hour_spearman,all,7,2546,0.434771445303
capacity_price,level_mean,weekday,,2016,22.0950049603
capacity_price,level_mean,weekend,,769,15.2447984395
activation_volume,intraday_lag_1_hour_spearman,hour_00,1,0,
activation_volume,intraday_lag_1_hour_spearman,hour_01,1,116,0.245351722901
activation_volume,intraday_lag_1_hour_spearman,hour_02,1,117,0.453793567738
activation_volume,intraday_lag_1_hour_spearman,hour_03,1,116,0.452313817289
activation_volume,intraday_lag_1_hour_spearman,hour_04,1,116,0.348982677638
activation_volume,intraday_lag_1_hour_spearman,hour_05,1,116,0.462958376252
activation_volume,intraday_lag_1_hour_spearman,hour_06,1,116,0.294039389328
activation_volume,intraday_lag_1_hour_spearman,hour_07,1,116,0.453327976771
activation_volume,intraday_lag_1_hour_spearman,hour_08,1,116,0.499202300542
activation_volume,intraday_lag_1_hour_spearman,hour_09,1,116,0.271635502522
activation_volume,intraday_lag_1_hour_spearman,hour_10,1,116,0.562314844389
activation_volume,intraday_lag_1_hour_spearman,hour_11,1,116,0.492491481792
activation_volume,intraday_lag_1_hour_spearman,hour_12,1,116,0.526023510802
activation_volume,intraday_lag_1_hour_spearman,hour_13,1,116,0.418294250534
activation_volume,intraday_lag_1_hour_spearman,hour_14,1,116,0.266772776533
activation_volume,intraday_lag_1_hour_spearman,hour_15,1,116,0.571352780996
activation_volume,intraday_lag_1_hour_spearman,hour_16,1,116,0.35671920663
activation_volume,intraday_lag_1_hour_spearman,hour_17,1,116,0.310567750454
activation_volume,intraday_lag_1_hour_spearman,hour_18,1,116,0.535822278336
activation_volume,intraday_lag_1_hour_spearman,hour_19,1,116,0.493822991423
activation_volume,intraday_lag_1_hour_spearman,hour_20,1,116,0.503500736596
activation_volume,intraday_lag_1_hour_spearman,hour_21,1,116,0.599265729143
activation_volume,intraday_lag_1_hour_spearman,hour_22,1,116,0.483716885548
activation_volume,intraday_lag_1_hour_spearman,hour_23,1,116,0.39226635182
activation_volume,same_civil_hour_spearman,all,1,2738,0.25361384144
activation_volume,same_civil_hour_spearman,all,7,2546,0.180280655865
activation_volume,level_mean,weekday,,2016,15.1331845238
activation_volume,level_mean,weekend,,769,14.9683355007
activation_price,intraday_lag_1_hour_spearman,hour_00,1,0,
activation_price,intraday_lag_1_hour_spearman,hour_01,1,116,0.298052824368
activation_price,intraday_lag_1_hour_spearman,hour_02,1,117,0.512857034258
activation_price,intraday_lag_1_hour_spearman,hour_03,1,116,0.612558467651
activation_price,intraday_lag_1_hour_spearman,hour_04,1,116,0.546310478595
activation_price,intraday_lag_1_hour_spearman,hour_05,1,116,0.51486299922
activation_price,intraday_lag_1_hour_spearman,hour_06,1,116,0.356570669301
activation_price,intraday_lag_1_hour_spearman,hour_07,1,116,0.549904274474
activation_price,intraday_lag_1_hour_spearman,hour_08,1,116,0.444074540377
activation_price,intraday_lag_1_hour_spearman,hour_09,1,116,0.286207446676
activation_price,intraday_lag_1_hour_spearman,hour_10,1,116,0.513641543408
activation_price,intraday_lag_1_hour_spearman,hour_11,1,116,0.576536184793
activation_price,intraday_lag_1_hour_spearman,hour_12,1,116,0.517057602841
activation_price,intraday_lag_1_hour_spearman,hour_13,1,116,0.507314365087
activation_price,intraday_lag_1_hour_spearman,hour_14,1,116,0.580807004209
activation_price,intraday_lag_1_hour_spearman,hour_15,1,116,0.529471027386
activation_price,intraday_lag_1_hour_spearman,hour_16,1,116,0.497545019511
activation_price,intraday_lag_1_hour_spearman,hour_17,1,116,0.481819339394
activation_price,intraday_lag_1_hour_spearman,hour_18,1,116,0.623669819583
activation_price,intraday_lag_1_hour_spearman,hour_19,1,116,0.566097558382
activation_price,intraday_lag_1_hour_spearman,hour_20,1,116,0.640130460654
activation_price,intraday_lag_1_hour_spearman,hour_21,1,116,0.674101936501
activation_price,intraday_lag_1_hour_spearman,hour_22,1,116,0.658167263364
activation_price,intraday_lag_1_hour_spearman,hour_23,1,116,0.522415617949
activation_price,same_civil_hour_spearman,all,1,2738,0.247668602812
activation_price,same_civil_hour_spearman,all,7,2546,0.188365976128
activation_price,level_mean,weekday,,2016,111.517719494
activation_price,level_mean,weekend,,769,77.5550617685
