target,model,n_valid,n_predictors,r2
day_ahead_price,previous_same_slot,2760,1,0.337776068556
day_ahead_price,previous_7_mean,2616,1,0.178335292438
day_ahead_price,combined,2616,2,0.345664314369
capacity_price,previous_same_slot,2760,1,0.283677137269
capacity_price,previous_7_mean,2616,1,0.2140699769
capacity_price,combined,2616,2,0.305230226691
activation_volume,previous_same_slot,2744,1,0.0345650326216
activation_volume,previous_7_mean,2600,1,0.0585673813076
activation_volume,combined,2600,2,0.0623724331709
activation_price,previous_same_slot,2744,1,0.00676417624715
activation_price,previous_7_mean,2600,1,0.0141902039852
activation_price,combined,2600,2,0.016010409074
