arm,method_name,seed,sample_crps,median_mae,n_days,conditioning_saturated_hours,conditioning_saturated_share,conditioning_saturation_note
fb2_gate_conditional,Capacity-conditioned Gaussian-copula update,1,27.38350058920427,35.25211353224043,211,602,0.1188783570300158,"realized capacity price outside the 0.005-0.995 forecast grid, so the conditioning normal score sits on the clip"
empirical_copula_conditional,Capacity-conditioned empirical-copula update,1,22.66293006794001,28.818831308676238,211,602,0.1188783570300158,"realized capacity price outside the 0.005-0.995 forecast grid, so the conditioning normal score sits on the clip"
fb2_gate_unconditional,Unconditional Gaussian-copula forecast,1,21.494305974964764,27.57571895261429,211,602,0.1188783570300158,"realized capacity price outside the 0.005-0.995 forecast grid, so the conditioning normal score sits on the clip"
fb1_qr,Independent quantile-regression scenarios,1,21.577570730052184,27.698730364603072,211,602,0.1188783570300158,"realized capacity price outside the 0.005-0.995 forecast grid, so the conditioning normal score sits on the clip"
fb0_lgbm_cap1200,Gate-updated LightGBM point forecast,1,31.84109566197585,31.84109566197585,211,602,0.1188783570300158,"realized capacity price outside the 0.005-0.995 forecast grid, so the conditioning normal score sits on the clip"
f08_lightgbm,LightGBM point forecast,1,24.842061502441915,24.842061502441915,211,602,0.1188783570300158,"realized capacity price outside the 0.005-0.995 forecast grid, so the conditioning normal score sits on the clip"
fb2_gate_conditional,Capacity-conditioned Gaussian-copula update,2,27.346745099634703,35.10388278756397,211,602,0.1188783570300158,"realized capacity price outside the 0.005-0.995 forecast grid, so the conditioning normal score sits on the clip"
empirical_copula_conditional,Capacity-conditioned empirical-copula update,2,22.920458167257,29.32194382025125,211,602,0.1188783570300158,"realized capacity price outside the 0.005-0.995 forecast grid, so the conditioning normal score sits on the clip"
fb2_gate_unconditional,Unconditional Gaussian-copula forecast,2,21.44636592760924,27.557312729172477,211,602,0.1188783570300158,"realized capacity price outside the 0.005-0.995 forecast grid, so the conditioning normal score sits on the clip"
fb1_qr,Independent quantile-regression scenarios,2,21.55509619516554,27.753225130737523,211,602,0.1188783570300158,"realized capacity price outside the 0.005-0.995 forecast grid, so the conditioning normal score sits on the clip"
fb0_lgbm_cap1200,Gate-updated LightGBM point forecast,2,31.84109566197585,31.84109566197585,211,602,0.1188783570300158,"realized capacity price outside the 0.005-0.995 forecast grid, so the conditioning normal score sits on the clip"
f08_lightgbm,LightGBM point forecast,2,24.842061502441915,24.842061502441915,211,602,0.1188783570300158,"realized capacity price outside the 0.005-0.995 forecast grid, so the conditioning normal score sits on the clip"
fb2_gate_conditional,Capacity-conditioned Gaussian-copula update,3,27.323435163279377,35.135200518926,211,602,0.1188783570300158,"realized capacity price outside the 0.005-0.995 forecast grid, so the conditioning normal score sits on the clip"
empirical_copula_conditional,Capacity-conditioned empirical-copula update,3,22.808339086883517,29.10170040874402,211,602,0.1188783570300158,"realized capacity price outside the 0.005-0.995 forecast grid, so the conditioning normal score sits on the clip"
fb2_gate_unconditional,Unconditional Gaussian-copula forecast,3,21.55506768877512,27.62470796539081,211,602,0.1188783570300158,"realized capacity price outside the 0.005-0.995 forecast grid, so the conditioning normal score sits on the clip"
fb1_qr,Independent quantile-regression scenarios,3,21.535159975124927,27.675920196507008,211,602,0.1188783570300158,"realized capacity price outside the 0.005-0.995 forecast grid, so the conditioning normal score sits on the clip"
fb0_lgbm_cap1200,Gate-updated LightGBM point forecast,3,31.84109566197585,31.84109566197585,211,602,0.1188783570300158,"realized capacity price outside the 0.005-0.995 forecast grid, so the conditioning normal score sits on the clip"
f08_lightgbm,LightGBM point forecast,3,24.842061502441915,24.842061502441915,211,602,0.1188783570300158,"realized capacity price outside the 0.005-0.995 forecast grid, so the conditioning normal score sits on the clip"
