arm,seed,block,evaluation_set,n_days,energy_score_mean,variogram_score_mean
climatology,1,activation,main_211,211,3.067019774140074,139.69926748559246
climatology,1,all,main_211,211,5.917217811653563,1257.3046955166312
climatology,1,prices,main_211,211,4.895902415232393,553.6376576229954
climatology,2,activation,main_211,211,3.0656401284335972,139.54889730079884
climatology,2,all,main_211,211,5.9153874580254255,1256.731445493885
climatology,2,prices,main_211,211,4.8944042337823035,553.7145272647095
climatology,3,activation,main_211,211,3.0667871935547026,139.6442192816129
climatology,3,all,main_211,211,5.916719732124011,1257.8991072102874
climatology,3,prices,main_211,211,4.8970958282018975,553.9043257026325
climatology,1,activation,common_209,209,3.079802884538118,140.39883590336788
climatology,1,all,common_209,209,5.930158868237791,1262.2714320173366
climatology,1,prices,common_209,209,4.902283018237936,555.6004500785209
climatology,2,activation,common_209,209,3.078924107219767,140.26070211815738
climatology,2,all,common_209,209,5.92884864236861,1261.7802948782607
climatology,2,prices,common_209,209,4.901072703175416,555.7215204367866
climatology,3,activation,common_209,209,3.0799324557396206,140.35732860022017
climatology,3,all,common_209,209,5.930444227544209,1263.0224965550115
climatology,3,prices,common_209,209,4.904034086936106,555.9581091807287
empirical_copula,1,activation,main_211,211,3.100368306583273,140.3362161419092
empirical_copula,1,all,main_211,211,5.293170672423051,1050.1240133733684
empirical_copula,1,prices,main_211,211,4.0320519275269335,407.6720492444524
empirical_copula,2,activation,main_211,211,3.0940884550045245,139.94350221891884
empirical_copula,2,all,main_211,211,5.291362966894417,1047.2230760549821
empirical_copula,2,prices,main_211,211,4.026464536592525,407.2880386244709
empirical_copula,3,activation,main_211,211,3.1095079745281864,140.86106332363534
empirical_copula,3,all,main_211,211,5.31150465826024,1053.1386946552423
empirical_copula,3,prices,main_211,211,4.048181441480456,409.0006984083208
empirical_copula,1,activation,common_209,209,3.110489878460525,140.82345904676438
empirical_copula,1,all,common_209,209,5.301660518710465,1053.3420746745778
empirical_copula,1,prices,common_209,209,4.03464999772446,408.6002724929367
empirical_copula,2,activation,common_209,209,3.103943868720254,140.38878631990391
empirical_copula,2,all,common_209,209,5.299115453623557,1050.4024827483722
empirical_copula,2,prices,common_209,209,4.027955091821441,408.2020045074565
empirical_copula,3,activation,common_209,209,3.116958839309698,141.1558903755372
empirical_copula,3,all,common_209,209,5.317857930510562,1055.867715077304
empirical_copula,3,prices,common_209,209,4.049908157186772,409.9596075601659
fb1_qr,1,activation,main_211,211,3.126916945054619,142.71478083452868
fb1_qr,1,all,main_211,211,5.295561813571712,1070.0019044407816
fb1_qr,1,prices,main_211,211,4.066456580116277,428.14298039586896
fb1_qr,2,activation,main_211,211,3.1139786394224966,141.96194866149418
fb1_qr,2,all,main_211,211,5.288341100130244,1069.0569164045833
fb1_qr,2,prices,main_211,211,4.065566687450389,428.51541219037057
fb1_qr,3,activation,main_211,211,3.11630901666127,141.9715817694429
fb1_qr,3,all,main_211,211,5.290927497661895,1067.8514774669377
fb1_qr,3,prices,main_211,211,4.064459210274105,427.76350964662043
fb1_qr,1,activation,common_209,209,3.1336466548396698,143.00144897008
fb1_qr,1,all,common_209,209,5.301965721030697,1072.604212907807
fb1_qr,1,prices,common_209,209,4.068622736938106,428.8294802774449
fb1_qr,2,activation,common_209,209,3.1213930070311755,142.26276542819156
