delivery_day,target,hour,forecast,actual
2026-01-28,day_ahead_price,0,76.49126,96.76499925
2026-01-28,day_ahead_price,1,72.597496,97.2624985
2026-01-28,day_ahead_price,2,68.801254,97.254999
2026-01-28,day_ahead_price,3,62.665,97.675001
2026-01-28,day_ahead_price,4,62.44,97.21749875
2026-01-28,day_ahead_price,5,61.926247,98.28999925
2026-01-28,day_ahead_price,6,77.1475,109.03249749999999
2026-01-28,day_ahead_price,7,94.89375,138.39249974999998
2026-01-28,day_ahead_price,8,93.99,171.02000049999998
2026-01-28,day_ahead_price,9,96.91499,172.5600015
2026-01-28,day_ahead_price,10,85.1575,171.1174965
2026-01-28,day_ahead_price,11,79.536255,162.42750174999998
2026-01-28,day_ahead_price,12,69.64,152.1375005
2026-01-28,day_ahead_price,13,81.5275,142.012497
2026-01-28,day_ahead_price,14,79.963745,134.42000175
2026-01-28,day_ahead_price,15,90.23125,137.02749649999998
2026-01-28,day_ahead_price,16,96.46125,146.47999950000002
2026-01-28,day_ahead_price,17,105.9,162.0374985
2026-01-28,day_ahead_price,18,97.245,170.0550005
2026-01-28,day_ahead_price,19,103.72749,153.82000324999998
2026-01-28,day_ahead_price,20,85.28999,133.8449955
2026-01-28,day_ahead_price,21,81.9975,117.35000025000001
2026-01-28,day_ahead_price,22,77.6575,111.27249900000001
2026-01-28,day_ahead_price,23,78.02625,105.73499874999999
2026-01-28,capacity_price,0,1.21,0.54
2026-01-28,capacity_price,1,1.21,0.67
2026-01-28,capacity_price,2,1.21,0.67
2026-01-28,capacity_price,3,1.21,0.67
2026-01-28,capacity_price,4,1.21,0.67
2026-01-28,capacity_price,5,3.93,3.35
2026-01-28,capacity_price,6,6.69,13.26
2026-01-28,capacity_price,7,11.34,13.32
2026-01-28,capacity_price,8,24.9,46.59
2026-01-28,capacity_price,9,10.9,39.23
2026-01-28,capacity_price,10,8.7,80.35
2026-01-28,capacity_price,11,9.5,71.36
2026-01-28,capacity_price,12,10.02,46.59
2026-01-28,capacity_price,13,11.755,60.92
2026-01-28,capacity_price,14,10.275,46.59
2026-01-28,capacity_price,15,24.9,46.59
2026-01-28,capacity_price,16,27.83,80.35
2026-01-28,capacity_price,17,51.67,80.35
2026-01-28,capacity_price,18,51.765,80.35
2026-01-28,capacity_price,19,46.215,80.35
2026-01-28,capacity_price,20,29.564999,74.58
2026-01-28,capacity_price,21,18.73,62.77
2026-01-28,capacity_price,22,9.755,13.39
2026-01-28,capacity_price,23,6.7,1.21
2026-01-28,activation_volume,0,25.42,56.54
2026-01-28,activation_volume,1,19.27,46.56
