delivery_day,target,hour,forecast,actual
2026-01-28,day_ahead_price,0,103.75839605515976,96.76499925
2026-01-28,day_ahead_price,1,103.59316847380256,97.2624985
2026-01-28,day_ahead_price,2,103.51968283550492,97.254999
2026-01-28,day_ahead_price,3,106.92032596512053,97.675001
2026-01-28,day_ahead_price,4,106.4875130238194,97.21749875
2026-01-28,day_ahead_price,5,109.40032320661874,98.28999925
2026-01-28,day_ahead_price,6,114.31362609018626,109.03249749999999
2026-01-28,day_ahead_price,7,141.74863431850588,138.39249974999998
2026-01-28,day_ahead_price,8,170.40523220220484,171.02000049999998
2026-01-28,day_ahead_price,9,172.9304163120384,172.5600015
2026-01-28,day_ahead_price,10,146.6477687191,171.1174965
2026-01-28,day_ahead_price,11,126.20907333707024,162.42750174999998
2026-01-28,day_ahead_price,12,122.49362342930708,152.1375005
2026-01-28,day_ahead_price,13,132.34610782238352,142.012497
2026-01-28,day_ahead_price,14,143.06818418044958,134.42000175
2026-01-28,day_ahead_price,15,154.8643977820594,137.02749649999998
2026-01-28,day_ahead_price,16,160.96639046473257,146.47999950000002
2026-01-28,day_ahead_price,17,168.7404365192514,162.0374985
2026-01-28,day_ahead_price,18,160.36360916170506,170.0550005
2026-01-28,day_ahead_price,19,154.6882545163671,153.82000324999998
2026-01-28,day_ahead_price,20,132.50773914739858,133.8449955
2026-01-28,day_ahead_price,21,116.84766803369736,117.35000025000001
2026-01-28,day_ahead_price,22,107.32320424073224,111.27249900000001
2026-01-28,day_ahead_price,23,100.44716386238382,105.73499874999999
2026-01-28,capacity_price,0,0.5579148364145914,0.54
2026-01-28,capacity_price,1,0.400646937874572,0.67
2026-01-28,capacity_price,2,0.8550879328045047,0.67
2026-01-28,capacity_price,3,1.944656031849521,0.67
2026-01-28,capacity_price,4,1.4026787272539394,0.67
2026-01-28,capacity_price,5,4.742650671196072,3.35
2026-01-28,capacity_price,6,15.840690820741235,13.26
2026-01-28,capacity_price,7,19.71747594404514,13.32
2026-01-28,capacity_price,8,56.12227320215296,46.59
2026-01-28,capacity_price,9,50.33509972693316,39.23
2026-01-28,capacity_price,10,50.36152789022426,80.35
2026-01-28,capacity_price,11,71.61096819897575,71.36
2026-01-28,capacity_price,12,42.89221126682419,46.59
2026-01-28,capacity_price,13,31.363834255499285,60.92
2026-01-28,capacity_price,14,39.95574017918852,46.59
2026-01-28,capacity_price,15,63.6887179242456,46.59
2026-01-28,capacity_price,16,49.86911678499466,80.35
2026-01-28,capacity_price,17,42.65353224904446,80.35
2026-01-28,capacity_price,18,35.38638860289171,80.35
2026-01-28,capacity_price,19,35.660175251642386,80.35
2026-01-28,capacity_price,20,29.55597602163073,74.58
2026-01-28,capacity_price,21,22.308674266876192,62.77
2026-01-28,capacity_price,22,25.770909906753538,13.39
2026-01-28,capacity_price,23,-0.7826145789482428,1.21
2026-01-28,activation_volume,0,,56.54
2026-01-28,activation_volume,1,,46.56
2026-01-28,activation_volume,2,,22.06
2026-01-28,activation_volume,3,,0.0
2026-01-28,activation_volume,4,,4.54
2026-01-28,activation_volume,5,,2.45
2026-01-28,activation_volume,6,,17.599999999999998
2026-01-28,activation_volume,7,,13.910000000000002
2026-01-28,activation_volume,8,,3.3499999999999996
2026-01-28,activation_volume,9,,2.17
2026-01-28,activation_volume,10,,39.44
2026-01-28,activation_volume,11,,9.26
2026-01-28,activation_volume,12,,0.44
2026-01-28,activation_volume,13,,7.1899999999999995
2026-01-28,activation_volume,14,,7.989999999999999
2026-01-28,activation_volume,15,,4.27
2026-01-28,activation_volume,16,,1.92
2026-01-28,activation_volume,17,,5.67
2026-01-28,activation_volume,18,,0.0
2026-01-28,activation_volume,19,,0.0
2026-01-28,activation_volume,20,,0.0
2026-01-28,activation_volume,21,,0.0
2026-01-28,activation_volume,22,,0.0
2026-01-28,activation_volume,23,,0.31
2026-01-28,activation_price,0,,551.7278440042447
2026-01-28,activation_price,1,,177.9866043814433
2026-01-28,activation_price,2,,133.3132048957389
2026-01-28,activation_price,3,,
2026-01-28,activation_price,4,,116.74504405286345
2026-01-28,activation_price,5,,122.02085714285714
2026-01-28,activation_price,6,,221.6976931818182
2026-01-28,activation_price,7,,313.99523364485975
2026-01-28,activation_price,8,,160.1754328358209
2026-01-28,activation_price,9,,174.31700460829492
2026-01-28,activation_price,10,,1880.7294320486817
2026-01-28,activation_price,11,,178.51993520518357
2026-01-28,activation_price,12,,156.3
2026-01-28,activation_price,13,,224.0597218358832
2026-01-28,activation_price,14,,208.758760951189
2026-01-28,activation_price,15,,435.6332552693209
2026-01-28,activation_price,16,,146.32729166666667
2026-01-28,activation_price,17,,140.27012345679012
2026-01-28,activation_price,18,,
2026-01-28,activation_price,19,,
2026-01-28,activation_price,20,,
2026-01-28,activation_price,21,,
2026-01-28,activation_price,22,,
2026-01-28,activation_price,23,,118.76
2026-01-29,day_ahead_price,0,107.54221479986866,104.55000125
2026-01-29,day_ahead_price,1,102.16891136575784,104.0
2026-01-29,day_ahead_price,2,99.8695021538908,101.88000075000001
2026-01-29,day_ahead_price,3,97.31810311666018,100.02250099999999
2026-01-29,day_ahead_price,4,95.0782540890431,100.93250075
2026-01-29,day_ahead_price,5,96.5876767277786,104.3900015
2026-01-29,day_ahead_price,6,106.79362969500195,111.62499975
2026-01-29,day_ahead_price,7,120.3583375608517,133.86750025
2026-01-29,day_ahead_price,8,142.3684748929078,157.29000100000002
2026-01-29,day_ahead_price,9,128.17423296191788,158.31000125
2026-01-29,day_ahead_price,10,124.9171604696187,147.699997
2026-01-29,day_ahead_price,11,110.84320532361274,138.4124985
2026-01-29,day_ahead_price,12,104.97540878117266,130.24500075
2026-01-29,day_ahead_price,13,94.85501108440788,128.4550015
2026-01-29,day_ahead_price,14,108.62001169952184,129.2525005
2026-01-29,day_ahead_price,15,116.88881418966392,129.994999
2026-01-29,day_ahead_price,16,138.6088183148721,142.49249675000002
2026-01-29,day_ahead_price,17,157.0696887475346,130.249996
2026-01-29,day_ahead_price,18,145.27943360471832,138.0
2026-01-29,day_ahead_price,19,139.3667206593511,126.91000000000001
2026-01-29,day_ahead_price,20,122.43307449739687,117.2800005
2026-01-29,day_ahead_price,21,109.58603095672127,111.08499900000001
2026-01-29,day_ahead_price,22,103.12754606188896,106.5925005
2026-01-29,day_ahead_price,23,90.63173813939711,98.77750025
2026-01-29,capacity_price,0,1.329953572072862,0.67
2026-01-29,capacity_price,1,1.0093191340637266,0.54
2026-01-29,capacity_price,2,-0.2448355470064036,0.54
2026-01-29,capacity_price,3,-0.4479616461622016,0.67
2026-01-29,capacity_price,4,0.2481021766240123,0.67
2026-01-29,capacity_price,5,3.0523589875098818,1.21
2026-01-29,capacity_price,6,11.806213399471986,10.0
2026-01-29,capacity_price,7,14.518209542858742,10.0
2026-01-29,capacity_price,8,22.49048073827947,13.32
2026-01-29,capacity_price,9,38.0793269509395,13.39
2026-01-29,capacity_price,10,41.75054684821018,16.25
2026-01-29,capacity_price,11,25.409180522367453,13.39
2026-01-29,capacity_price,12,21.14840680462723,13.32
2026-01-29,capacity_price,13,23.15261858374089,13.39
2026-01-29,capacity_price,14,15.770793408388975,13.32
2026-01-29,capacity_price,15,22.98682764619631,13.32
2026-01-29,capacity_price,16,25.66257690323136,13.39
2026-01-29,capacity_price,17,47.842349245511386,74.33
2026-01-29,capacity_price,18,52.19813901158616,80.36
2026-01-29,capacity_price,19,53.58059601064495,80.36
2026-01-29,capacity_price,20,29.849730148846827,62.12
2026-01-29,capacity_price,21,27.709496358998724,13.39
2026-01-29,capacity_price,22,5.185750340755537,6.7
2026-01-29,capacity_price,23,6.904398763741426,1.21
2026-01-29,activation_volume,0,,3.5
2026-01-29,activation_volume,1,,20.23
2026-01-29,activation_volume,2,,5.960000000000001
2026-01-29,activation_volume,3,,18.310000000000002
2026-01-29,activation_volume,4,,1.01
2026-01-29,activation_volume,5,,0.07
2026-01-29,activation_volume,6,,30.740000000000002
2026-01-29,activation_volume,7,,12.36
2026-01-29,activation_volume,8,,14.290000000000001
2026-01-29,activation_volume,9,,20.810000000000002
2026-01-29,activation_volume,10,,55.879999999999995
2026-01-29,activation_volume,11,,5.300000000000001
2026-01-29,activation_volume,12,,8.1
2026-01-29,activation_volume,13,,11.02
2026-01-29,activation_volume,14,,0.16
2026-01-29,activation_volume,15,,5.26
2026-01-29,activation_volume,16,,0.44
2026-01-29,activation_volume,17,,0.0
2026-01-29,activation_volume,18,,3.57
2026-01-29,activation_volume,19,,0.0
2026-01-29,activation_volume,20,,0.0
2026-01-29,activation_volume,21,,0.0
2026-01-29,activation_volume,22,,0.0
2026-01-29,activation_volume,23,,0.22
2026-01-29,activation_price,0,,85.52148571428572
2026-01-29,activation_price,1,,119.37872960949088
2026-01-29,activation_price,2,,126.1844798657718
2026-01-29,activation_price,3,,141.82878208629162
2026-01-29,activation_price,4,,124.12514851485149
2026-01-29,activation_price,5,,98.84
2026-01-29,activation_price,6,,352.9000878334417
2026-01-29,activation_price,7,,176.1413430420712
2026-01-29,activation_price,8,,202.61379286214134
2026-01-29,activation_price,9,,329.3980345987506
2026-01-29,activation_price,10,,2032.433502147459
2026-01-29,activation_price,11,,166.89205660377357
2026-01-29,activation_price,12,,259.0048888888889
2026-01-29,activation_price,13,,663.4976225045373
2026-01-29,activation_price,14,,126.05999999999999
2026-01-29,activation_price,15,,183.54057034220534
2026-01-29,activation_price,16,,125.03
2026-01-29,activation_price,17,,
2026-01-29,activation_price,18,,169.40789915966388
2026-01-29,activation_price,19,,
2026-01-29,activation_price,20,,
2026-01-29,activation_price,21,,
2026-01-29,activation_price,22,,
2026-01-29,activation_price,23,,93.25545454545455
2026-01-30,day_ahead_price,0,98.8022303225727,98.66999975
