delivery_day,target,hour,forecast,actual
2026-01-28,day_ahead_price,0,98.22564295247292,96.76499925
2026-01-28,day_ahead_price,1,95.35084362545636,97.2624985
2026-01-28,day_ahead_price,2,92.88168878193996,97.254999
2026-01-28,day_ahead_price,3,91.9869288429444,97.675001
2026-01-28,day_ahead_price,4,91.04131969406784,97.21749875
2026-01-28,day_ahead_price,5,94.714281762187,98.28999925
2026-01-28,day_ahead_price,6,99.94321946330588,109.03249749999999
2026-01-28,day_ahead_price,7,116.95418636868308,138.39249974999998
2026-01-28,day_ahead_price,8,143.9839554361747,171.02000049999998
2026-01-28,day_ahead_price,9,135.93288444090015,172.5600015
2026-01-28,day_ahead_price,10,119.41846360471884,171.1174965
2026-01-28,day_ahead_price,11,108.83045711369084,162.42750174999998
2026-01-28,day_ahead_price,12,105.11192070329186,152.1375005
2026-01-28,day_ahead_price,13,101.99867978641038,142.012497
2026-01-28,day_ahead_price,14,106.71088144464277,134.42000175
2026-01-28,day_ahead_price,15,111.0834747268443,137.02749649999998
2026-01-28,day_ahead_price,16,116.89582148873215,146.47999950000002
2026-01-28,day_ahead_price,17,128.16959352162183,162.0374985
2026-01-28,day_ahead_price,18,136.64660125897888,170.0550005
2026-01-28,day_ahead_price,19,128.5235736840854,153.82000324999998
2026-01-28,day_ahead_price,20,117.52188950089231,133.8449955
2026-01-28,day_ahead_price,21,105.18348057696502,117.35000025000001
2026-01-28,day_ahead_price,22,100.43289973351456,111.27249900000001
2026-01-28,day_ahead_price,23,90.67641752583408,105.73499874999999
2026-01-28,capacity_price,0,0.5766848398152392,0.54
2026-01-28,capacity_price,1,0.8842986020190104,0.67
2026-01-28,capacity_price,2,0.8038645779441258,0.67
2026-01-28,capacity_price,3,0.7678452969087809,0.67
2026-01-28,capacity_price,4,1.3234082984321849,0.67
2026-01-28,capacity_price,5,4.086660701106929,3.35
2026-01-28,capacity_price,6,11.933227988623454,13.26
2026-01-28,capacity_price,7,12.63214261654087,13.32
2026-01-28,capacity_price,8,27.64364021555884,46.59
2026-01-28,capacity_price,9,22.586144373817927,39.23
2026-01-28,capacity_price,10,18.949909811505872,80.35
2026-01-28,capacity_price,11,10.139312886866197,71.36
2026-01-28,capacity_price,12,17.64064454870938,46.59
2026-01-28,capacity_price,13,19.000703175267347,60.92
2026-01-28,capacity_price,14,13.643963249900434,46.59
2026-01-28,capacity_price,15,27.108765949221603,46.59
2026-01-28,capacity_price,16,40.02303685856903,80.35
2026-01-28,capacity_price,17,46.67461858871497,80.35
2026-01-28,capacity_price,18,36.87313015777568,80.35
2026-01-28,capacity_price,19,24.21766757024335,80.35
2026-01-28,capacity_price,20,20.97752858157112,74.58
2026-01-28,capacity_price,21,26.64818881506168,62.77
2026-01-28,capacity_price,22,17.996234479020966,13.39
2026-01-28,capacity_price,23,4.15837207337745,1.21
2026-01-28,activation_volume,0,,56.54
2026-01-28,activation_volume,1,,46.56
2026-01-28,activation_volume,2,,22.06
2026-01-28,activation_volume,3,,0.0
2026-01-28,activation_volume,4,,4.54
2026-01-28,activation_volume,5,,2.45
2026-01-28,activation_volume,6,,17.599999999999998
2026-01-28,activation_volume,7,,13.910000000000002
2026-01-28,activation_volume,8,,3.3499999999999996
2026-01-28,activation_volume,9,,2.17
2026-01-28,activation_volume,10,,39.44
2026-01-28,activation_volume,11,,9.26
2026-01-28,activation_volume,12,,0.44
2026-01-28,activation_volume,13,,7.1899999999999995
2026-01-28,activation_volume,14,,7.989999999999999
2026-01-28,activation_volume,15,,4.27
2026-01-28,activation_volume,16,,1.92
2026-01-28,activation_volume,17,,5.67
2026-01-28,activation_volume,18,,0.0
2026-01-28,activation_volume,19,,0.0
2026-01-28,activation_volume,20,,0.0
2026-01-28,activation_volume,21,,0.0
2026-01-28,activation_volume,22,,0.0
2026-01-28,activation_volume,23,,0.31
2026-01-28,activation_price,0,,551.7278440042447
2026-01-28,activation_price,1,,177.9866043814433
2026-01-28,activation_price,2,,133.3132048957389
2026-01-28,activation_price,3,,
2026-01-28,activation_price,4,,116.74504405286345
2026-01-28,activation_price,5,,122.02085714285714
2026-01-28,activation_price,6,,221.6976931818182
2026-01-28,activation_price,7,,313.99523364485975
2026-01-28,activation_price,8,,160.1754328358209
2026-01-28,activation_price,9,,174.31700460829492
2026-01-28,activation_price,10,,1880.7294320486817
2026-01-28,activation_price,11,,178.51993520518357
2026-01-28,activation_price,12,,156.3
2026-01-28,activation_price,13,,224.0597218358832
2026-01-28,activation_price,14,,208.758760951189
2026-01-28,activation_price,15,,435.6332552693209
2026-01-28,activation_price,16,,146.32729166666667
2026-01-28,activation_price,17,,140.27012345679012
2026-01-28,activation_price,18,,
2026-01-28,activation_price,19,,
2026-01-28,activation_price,20,,
2026-01-28,activation_price,21,,
2026-01-28,activation_price,22,,
2026-01-28,activation_price,23,,118.76
2026-01-29,day_ahead_price,0,98.61502419567972,104.55000125
2026-01-29,day_ahead_price,1,95.60512250319914,104.0
2026-01-29,day_ahead_price,2,92.41270746478808,101.88000075000001
2026-01-29,day_ahead_price,3,90.43045595739748,100.02250099999999
2026-01-29,day_ahead_price,4,89.23209682989004,100.93250075
2026-01-29,day_ahead_price,5,95.0765111456408,104.3900015
2026-01-29,day_ahead_price,6,98.56371330416924,111.62499975
2026-01-29,day_ahead_price,7,114.95991141898648,133.86750025
2026-01-29,day_ahead_price,8,126.23816073009684,157.29000100000002
2026-01-29,day_ahead_price,9,133.31409740987996,158.31000125
2026-01-29,day_ahead_price,10,118.44943197549384,147.699997
2026-01-29,day_ahead_price,11,106.03737329665924,138.4124985
2026-01-29,day_ahead_price,12,101.34651868906096,130.24500075
2026-01-29,day_ahead_price,13,96.80415899810792,128.4550015
2026-01-29,day_ahead_price,14,99.7885352660663,129.2525005
2026-01-29,day_ahead_price,15,101.9418334780273,129.994999
2026-01-29,day_ahead_price,16,117.45398590053048,142.49249675000002
2026-01-29,day_ahead_price,17,129.75187718139065,130.249996
2026-01-29,day_ahead_price,18,139.89499509464332,138.0
2026-01-29,day_ahead_price,19,136.477019041085,126.91000000000001
2026-01-29,day_ahead_price,20,120.36204986752232,117.2800005
2026-01-29,day_ahead_price,21,100.806447475705,111.08499900000001
2026-01-29,day_ahead_price,22,97.1466759657489,106.5925005
2026-01-29,day_ahead_price,23,87.97250770508411,98.77750025
2026-01-29,capacity_price,0,0.8662098774436747,0.67
2026-01-29,capacity_price,1,0.7510266942032169,0.54
2026-01-29,capacity_price,2,0.6321445674357276,0.54
2026-01-29,capacity_price,3,0.7250317589480794,0.67
2026-01-29,capacity_price,4,0.7163766413955535,0.67
2026-01-29,capacity_price,5,2.423846833657355,1.21
2026-01-29,capacity_price,6,13.932597462758324,10.0
2026-01-29,capacity_price,7,10.894818250439624,10.0
2026-01-29,capacity_price,8,28.33775711199438,13.32
2026-01-29,capacity_price,9,36.32013858709809,13.39
2026-01-29,capacity_price,10,36.394225354388894,16.25
2026-01-29,capacity_price,11,17.327308071841173,13.39
2026-01-29,capacity_price,12,23.387794047885684,13.32
2026-01-29,capacity_price,13,22.79623907931255,13.39
2026-01-29,capacity_price,14,23.798665701348003,13.32
2026-01-29,capacity_price,15,27.25470837313146,13.32
2026-01-29,capacity_price,16,50.47297210756215,13.39
2026-01-29,capacity_price,17,62.27115681239822,74.33
2026-01-29,capacity_price,18,67.39562780022797,80.36
2026-01-29,capacity_price,19,56.592948682890864,80.36
2026-01-29,capacity_price,20,39.42322913880969,62.12
2026-01-29,capacity_price,21,28.713711151822885,13.39
2026-01-29,capacity_price,22,13.481556245363103,6.7
2026-01-29,capacity_price,23,7.43444546652807,1.21
2026-01-29,activation_volume,0,,3.5
2026-01-29,activation_volume,1,,20.23
2026-01-29,activation_volume,2,,5.960000000000001
2026-01-29,activation_volume,3,,18.310000000000002
2026-01-29,activation_volume,4,,1.01
2026-01-29,activation_volume,5,,0.07
2026-01-29,activation_volume,6,,30.740000000000002
2026-01-29,activation_volume,7,,12.36
2026-01-29,activation_volume,8,,14.290000000000001
2026-01-29,activation_volume,9,,20.810000000000002
2026-01-29,activation_volume,10,,55.879999999999995
2026-01-29,activation_volume,11,,5.300000000000001
2026-01-29,activation_volume,12,,8.1
2026-01-29,activation_volume,13,,11.02
2026-01-29,activation_volume,14,,0.16
2026-01-29,activation_volume,15,,5.26
2026-01-29,activation_volume,16,,0.44
2026-01-29,activation_volume,17,,0.0
2026-01-29,activation_volume,18,,3.57
2026-01-29,activation_volume,19,,0.0
2026-01-29,activation_volume,20,,0.0
2026-01-29,activation_volume,21,,0.0
2026-01-29,activation_volume,22,,0.0
2026-01-29,activation_volume,23,,0.22
2026-01-29,activation_price,0,,85.52148571428572
2026-01-29,activation_price,1,,119.37872960949088
2026-01-29,activation_price,2,,126.1844798657718
2026-01-29,activation_price,3,,141.82878208629162
2026-01-29,activation_price,4,,124.12514851485149
2026-01-29,activation_price,5,,98.84
2026-01-29,activation_price,6,,352.9000878334417
2026-01-29,activation_price,7,,176.1413430420712
2026-01-29,activation_price,8,,202.61379286214134
2026-01-29,activation_price,9,,329.3980345987506
2026-01-29,activation_price,10,,2032.433502147459
2026-01-29,activation_price,11,,166.89205660377357
2026-01-29,activation_price,12,,259.0048888888889
2026-01-29,activation_price,13,,663.4976225045373
2026-01-29,activation_price,14,,126.05999999999999
2026-01-29,activation_price,15,,183.54057034220534
2026-01-29,activation_price,16,,125.03
2026-01-29,activation_price,17,,
2026-01-29,activation_price,18,,169.40789915966388
2026-01-29,activation_price,19,,
2026-01-29,activation_price,20,,
2026-01-29,activation_price,21,,
2026-01-29,activation_price,22,,
2026-01-29,activation_price,23,,93.25545454545455
2026-01-30,day_ahead_price,0,100.84840161840005,98.66999975
2026-01-30,day_ahead_price,1,97.40198749477612,95.51749975000001
2026-01-30,day_ahead_price,2,96.16665982784684,94.45000050000002
2026-01-30,day_ahead_price,3,94.75406167889648,89.8150005
2026-01-30,day_ahead_price,4,92.27618932947205,86.98999975
2026-01-30,day_ahead_price,5,94.80298471617616,85.16250025
2026-01-30,day_ahead_price,6,103.53236623478011,92.397501
2026-01-30,day_ahead_price,7,122.65673325093394,109.9000015
2026-01-30,day_ahead_price,8,145.43962546454398,126.99499875000001
2026-01-30,day_ahead_price,9,140.96586504750746,124.78000275
2026-01-30,day_ahead_price,10,122.47019469699651,121.5699995
2026-01-30,day_ahead_price,11,113.7824779030944,107.99499899999999
2026-01-30,day_ahead_price,12,106.33097878795844,101.94749825
2026-01-30,day_ahead_price,13,105.65480119891758,100.722498
2026-01-30,day_ahead_price,14,110.53422092427202,98.02000025
2026-01-30,day_ahead_price,15,118.95945765602022,98.28249925
2026-01-30,day_ahead_price,16,125.81935436488516,102.892502
2026-01-30,day_ahead_price,17,135.5914043453783,107.00749975
2026-01-30,day_ahead_price,18,136.72485469049766,105.3600005
2026-01-30,day_ahead_price,19,133.44929771781148,86.14999974999999
2026-01-30,day_ahead_price,20,123.06105742724174,87.68249875000001
2026-01-30,day_ahead_price,21,111.20054861936036,85.9300005
2026-01-30,day_ahead_price,22,101.69060249511786,80.17249875
2026-01-30,day_ahead_price,23,90.41038460561492,83.460003
2026-01-30,capacity_price,0,0.7927130087750046,0.67
2026-01-30,capacity_price,1,0.6706237210711511,0.67
2026-01-30,capacity_price,2,0.5838109944393752,0.67
2026-01-30,capacity_price,3,0.6992520937238047,0.67
2026-01-30,capacity_price,4,1.0782840197954675,0.67
2026-01-30,capacity_price,5,1.631133073306824,1.21
2026-01-30,capacity_price,6,9.925187274194109,1.21
2026-01-30,capacity_price,7,12.267234326526786,1.21
2026-01-30,capacity_price,8,8.954137783389228,10.0
2026-01-30,capacity_price,9,21.79145851995479,13.26
2026-01-30,capacity_price,10,17.199147813919033,13.26
2026-01-30,capacity_price,11,10.416139855371808,13.26
2026-01-30,capacity_price,12,14.016840036036673,13.39
2026-01-30,capacity_price,13,13.332446767868698,22.49
2026-01-30,capacity_price,14,12.97931639210382,20.88
2026-01-30,capacity_price,15,20.60516811493216,13.33
2026-01-30,capacity_price,16,26.20814382790117,13.33
2026-01-30,capacity_price,17,54.144244163109,51.97
