delivery_day,target,hour,forecast,actual
2026-01-28,day_ahead_price,0,101.218216,96.76499925
2026-01-28,day_ahead_price,1,98.41135,97.2624985
2026-01-28,day_ahead_price,2,96.70877,97.254999
2026-01-28,day_ahead_price,3,94.37279,97.675001
2026-01-28,day_ahead_price,4,88.51883,97.21749875
2026-01-28,day_ahead_price,5,97.8655,98.28999925
2026-01-28,day_ahead_price,6,112.969574,109.03249749999999
2026-01-28,day_ahead_price,7,135.61346,138.39249974999998
2026-01-28,day_ahead_price,8,143.83124,171.02000049999998
2026-01-28,day_ahead_price,9,133.76987,172.5600015
2026-01-28,day_ahead_price,10,131.68365,171.1174965
2026-01-28,day_ahead_price,11,110.916954,162.42750174999998
2026-01-28,day_ahead_price,12,106.542915,152.1375005
2026-01-28,day_ahead_price,13,107.54031,142.012497
2026-01-28,day_ahead_price,14,115.20785,134.42000175
2026-01-28,day_ahead_price,15,120.298,137.02749649999998
2026-01-28,day_ahead_price,16,118.7621,146.47999950000002
2026-01-28,day_ahead_price,17,125.870544,162.0374985
2026-01-28,day_ahead_price,18,132.86935,170.0550005
2026-01-28,day_ahead_price,19,125.5369,153.82000324999998
2026-01-28,day_ahead_price,20,111.716324,133.8449955
2026-01-28,day_ahead_price,21,100.08438,117.35000025000001
2026-01-28,day_ahead_price,22,102.49964,111.27249900000001
2026-01-28,day_ahead_price,23,93.58982,105.73499874999999
2026-01-28,capacity_price,0,0.6788854,0.54
2026-01-28,capacity_price,1,0.7266882,0.67
2026-01-28,capacity_price,2,0.7811898,0.67
2026-01-28,capacity_price,3,0.90923196,0.67
2026-01-28,capacity_price,4,1.2316647,0.67
2026-01-28,capacity_price,5,4.37856,3.35
2026-01-28,capacity_price,6,12.679651,13.26
2026-01-28,capacity_price,7,10.46286,13.32
2026-01-28,capacity_price,8,37.082672,46.59
2026-01-28,capacity_price,9,30.81961,39.23
2026-01-28,capacity_price,10,30.52861,80.35
2026-01-28,capacity_price,11,23.128193,71.36
2026-01-28,capacity_price,12,23.35015,46.59
2026-01-28,capacity_price,13,22.808838,60.92
2026-01-28,capacity_price,14,21.325584,46.59
2026-01-28,capacity_price,15,28.973696,46.59
2026-01-28,capacity_price,16,41.08309,80.35
2026-01-28,capacity_price,17,36.87361,80.35
2026-01-28,capacity_price,18,36.774582,80.35
2026-01-28,capacity_price,19,54.674477,80.35
2026-01-28,capacity_price,20,60.10519,74.58
2026-01-28,capacity_price,21,46.97341,62.77
2026-01-28,capacity_price,22,18.192665,13.39
2026-01-28,capacity_price,23,5.278942,1.21
2026-01-28,activation_volume,0,24.12493,56.54
2026-01-28,activation_volume,1,4.8382883,46.56
2026-01-28,activation_volume,2,4.04592,22.06
2026-01-28,activation_volume,3,3.6118507,0.0
2026-01-28,activation_volume,4,1.8028775,4.54
2026-01-28,activation_volume,5,8.397955,2.45
2026-01-28,activation_volume,6,17.131388,17.599999999999998
2026-01-28,activation_volume,7,10.3012905,13.910000000000002
2026-01-28,activation_volume,8,16.81236,3.3499999999999996
2026-01-28,activation_volume,9,7.2102213,2.17
2026-01-28,activation_volume,10,6.9226217,39.44
2026-01-28,activation_volume,11,3.4247894,9.26
2026-01-28,activation_volume,12,6.862847,0.44
2026-01-28,activation_volume,13,8.942813,7.1899999999999995
2026-01-28,activation_volume,14,6.838666,7.989999999999999
2026-01-28,activation_volume,15,5.5626736,4.27
2026-01-28,activation_volume,16,12.92091,1.92
2026-01-28,activation_volume,17,7.1265736,5.67
2026-01-28,activation_volume,18,0.94778514,0.0
2026-01-28,activation_volume,19,4.3692436,0.0
2026-01-28,activation_volume,20,1.5093725,0.0
2026-01-28,activation_volume,21,4.1118484,0.0
2026-01-28,activation_volume,22,3.1464267,0.0
2026-01-28,activation_volume,23,3.7815557,0.31
2026-01-28,activation_price,0,98.2045,551.7278440042447
2026-01-28,activation_price,1,106.85796,177.9866043814433
2026-01-28,activation_price,2,89.50185,133.3132048957389
2026-01-28,activation_price,3,101.913055,
2026-01-28,activation_price,4,116.69505,116.74504405286345
2026-01-28,activation_price,5,116.12341,122.02085714285714
2026-01-28,activation_price,6,110.665955,221.6976931818182
2026-01-28,activation_price,7,110.81225,313.99523364485975
2026-01-28,activation_price,8,142.24602,160.1754328358209
2026-01-28,activation_price,9,146.60776,174.31700460829492
2026-01-28,activation_price,10,151.78911,1880.7294320486817
2026-01-28,activation_price,11,147.27243,178.51993520518357
2026-01-28,activation_price,12,136.13214,156.3
2026-01-28,activation_price,13,136.07886,224.0597218358832
2026-01-28,activation_price,14,139.56473,208.758760951189
2026-01-28,activation_price,15,141.19069,435.6332552693209
2026-01-28,activation_price,16,143.29645,146.32729166666667
2026-01-28,activation_price,17,137.30731,140.27012345679012
