delivery_day,target,hour,forecast,actual
2026-01-28,day_ahead_price,0,101.238525,96.76499925
2026-01-28,day_ahead_price,1,98.118,97.2624985
2026-01-28,day_ahead_price,2,96.306015,97.254999
2026-01-28,day_ahead_price,3,94.440315,97.675001
2026-01-28,day_ahead_price,4,94.284,97.21749875
2026-01-28,day_ahead_price,5,97.411354,98.28999925
2026-01-28,day_ahead_price,6,114.0932,109.03249749999999
2026-01-28,day_ahead_price,7,139.34694,138.39249974999998
2026-01-28,day_ahead_price,8,154.94963,171.02000049999998
2026-01-28,day_ahead_price,9,145.72543,172.5600015
2026-01-28,day_ahead_price,10,131.18483,171.1174965
2026-01-28,day_ahead_price,11,111.889206,162.42750174999998
2026-01-28,day_ahead_price,12,105.408905,152.1375005
2026-01-28,day_ahead_price,13,108.7704,142.012497
2026-01-28,day_ahead_price,14,114.90202,134.42000175
2026-01-28,day_ahead_price,15,121.727325,137.02749649999998
2026-01-28,day_ahead_price,16,127.311325,146.47999950000002
2026-01-28,day_ahead_price,17,129.52388,162.0374985
2026-01-28,day_ahead_price,18,140.31517,170.0550005
2026-01-28,day_ahead_price,19,123.18067,153.82000324999998
2026-01-28,day_ahead_price,20,112.092026,133.8449955
2026-01-28,day_ahead_price,21,100.87256,117.35000025000001
2026-01-28,day_ahead_price,22,102.52474,111.27249900000001
2026-01-28,day_ahead_price,23,97.1965,105.73499874999999
2026-01-28,capacity_price,0,0.67715865,0.54
2026-01-28,capacity_price,1,0.83065146,0.67
2026-01-28,capacity_price,2,0.603938,0.67
2026-01-28,capacity_price,3,0.98571634,0.67
2026-01-28,capacity_price,4,1.717421,0.67
2026-01-28,capacity_price,5,2.8661628,3.35
2026-01-28,capacity_price,6,15.558257,13.26
2026-01-28,capacity_price,7,13.3403225,13.32
2026-01-28,capacity_price,8,48.778114,46.59
2026-01-28,capacity_price,9,30.158546,39.23
2026-01-28,capacity_price,10,39.008255,80.35
2026-01-28,capacity_price,11,41.11769,71.36
2026-01-28,capacity_price,12,25.682047,46.59
2026-01-28,capacity_price,13,23.901903,60.92
2026-01-28,capacity_price,14,24.962238,46.59
2026-01-28,capacity_price,15,36.5534,46.59
2026-01-28,capacity_price,16,42.56903,80.35
2026-01-28,capacity_price,17,61.74582,80.35
2026-01-28,capacity_price,18,62.854492,80.35
2026-01-28,capacity_price,19,80.4422,80.35
2026-01-28,capacity_price,20,61.48226,74.58
2026-01-28,capacity_price,21,42.62793,62.77
2026-01-28,capacity_price,22,17.788708,13.39
2026-01-28,capacity_price,23,5.222481,1.21
2026-01-28,activation_volume,0,17.278065,56.54
2026-01-28,activation_volume,1,5.001343,46.56
2026-01-28,activation_volume,2,3.7992287,22.06
