delivery_day,target,hour,forecast,actual
2026-01-28,day_ahead_price,0,101.25768,96.76499925
2026-01-28,day_ahead_price,1,97.390175,97.2624985
2026-01-28,day_ahead_price,2,96.52745,97.254999
2026-01-28,day_ahead_price,3,93.763336,97.675001
2026-01-28,day_ahead_price,4,93.806526,97.21749875
2026-01-28,day_ahead_price,5,97.01871,98.28999925
2026-01-28,day_ahead_price,6,113.24725,109.03249749999999
2026-01-28,day_ahead_price,7,136.55466,138.39249974999998
2026-01-28,day_ahead_price,8,139.77188,171.02000049999998
2026-01-28,day_ahead_price,9,139.61346,172.5600015
2026-01-28,day_ahead_price,10,127.96348,171.1174965
2026-01-28,day_ahead_price,11,108.20163,162.42750174999998
2026-01-28,day_ahead_price,12,102.65352,152.1375005
2026-01-28,day_ahead_price,13,107.34331,142.012497
2026-01-28,day_ahead_price,14,111.27544,134.42000175
2026-01-28,day_ahead_price,15,117.3504,137.02749649999998
2026-01-28,day_ahead_price,16,114.94392,146.47999950000002
2026-01-28,day_ahead_price,17,126.07544,162.0374985
2026-01-28,day_ahead_price,18,119.82793,170.0550005
2026-01-28,day_ahead_price,19,119.04019,153.82000324999998
2026-01-28,day_ahead_price,20,110.77295,133.8449955
2026-01-28,day_ahead_price,21,100.34077,117.35000025000001
2026-01-28,day_ahead_price,22,100.494865,111.27249900000001
2026-01-28,day_ahead_price,23,93.7012,105.73499874999999
2026-01-28,capacity_price,0,0.6586618,0.54
2026-01-28,capacity_price,1,0.67299545,0.67
2026-01-28,capacity_price,2,0.88289756,0.67
2026-01-28,capacity_price,3,1.0421379,0.67
2026-01-28,capacity_price,4,1.2074704,0.67
2026-01-28,capacity_price,5,4.269782,3.35
2026-01-28,capacity_price,6,10.568125,13.26
2026-01-28,capacity_price,7,10.619486,13.32
2026-01-28,capacity_price,8,33.558147,46.59
2026-01-28,capacity_price,9,29.690933,39.23
2026-01-28,capacity_price,10,24.234589,80.35
2026-01-28,capacity_price,11,31.088158,71.36
2026-01-28,capacity_price,12,21.438305,46.59
2026-01-28,capacity_price,13,19.423912,60.92
2026-01-28,capacity_price,14,25.050001,46.59
2026-01-28,capacity_price,15,27.2484,46.59
2026-01-28,capacity_price,16,28.324371,80.35
2026-01-28,capacity_price,17,38.970783,80.35
2026-01-28,capacity_price,18,41.639854,80.35
2026-01-28,capacity_price,19,36.694336,80.35
2026-01-28,capacity_price,20,59.163834,74.58
2026-01-28,capacity_price,21,38.279472,62.77
2026-01-28,capacity_price,22,17.527905,13.39
2026-01-28,capacity_price,23,3.6740594,1.21
2026-01-28,activation_volume,0,32.56173,56.54
2026-01-28,activation_volume,1,5.455474,46.56
2026-01-28,activation_volume,2,4.183624,22.06
2026-01-28,activation_volume,3,2.4522989,0.0
2026-01-28,activation_volume,4,2.3641357,4.54
2026-01-28,activation_volume,5,9.448623,2.45
2026-01-28,activation_volume,6,19.725521,17.599999999999998
2026-01-28,activation_volume,7,14.594562,13.910000000000002
2026-01-28,activation_volume,8,15.606906,3.3499999999999996
2026-01-28,activation_volume,9,9.724007,2.17
2026-01-28,activation_volume,10,10.133873,39.44
2026-01-28,activation_volume,11,5.1631627,9.26
2026-01-28,activation_volume,12,6.759498,0.44
2026-01-28,activation_volume,13,6.688943,7.1899999999999995
2026-01-28,activation_volume,14,12.723627,7.989999999999999
2026-01-28,activation_volume,15,7.607874,4.27
2026-01-28,activation_volume,16,7.067104,1.92
2026-01-28,activation_volume,17,12.714767,5.67
2026-01-28,activation_volume,18,3.1909838,0.0
2026-01-28,activation_volume,19,4.1651745,0.0
2026-01-28,activation_volume,20,0.6888292,0.0
2026-01-28,activation_volume,21,4.3094254,0.0
2026-01-28,activation_volume,22,2.1273887,0.0
2026-01-28,activation_volume,23,2.524928,0.31
2026-01-28,activation_price,0,109.94325,551.7278440042447
2026-01-28,activation_price,1,110.184845,177.9866043814433
2026-01-28,activation_price,2,102.59683,133.3132048957389
2026-01-28,activation_price,3,109.46402,
2026-01-28,activation_price,4,109.615005,116.74504405286345
2026-01-28,activation_price,5,120.861084,122.02085714285714
2026-01-28,activation_price,6,113.84114,221.6976931818182
2026-01-28,activation_price,7,114.49307,313.99523364485975
2026-01-28,activation_price,8,144.59625,160.1754328358209
2026-01-28,activation_price,9,143.44374,174.31700460829492
2026-01-28,activation_price,10,149.05301,1880.7294320486817
2026-01-28,activation_price,11,160.76663,178.51993520518357
2026-01-28,activation_price,12,147.36983,156.3
2026-01-28,activation_price,13,146.32956,224.0597218358832
2026-01-28,activation_price,14,148.72752,208.758760951189
2026-01-28,activation_price,15,143.15631,435.6332552693209
2026-01-28,activation_price,16,144.96432,146.32729166666667
2026-01-28,activation_price,17,141.2428,140.27012345679012
2026-01-28,activation_price,18,135.72696,
2026-01-28,activation_price,19,141.98999,
2026-01-28,activation_price,20,109.24779,
2026-01-28,activation_price,21,121.971176,
2026-01-28,activation_price,22,108.61766,
2026-01-28,activation_price,23,110.88597,118.76
2026-01-29,day_ahead_price,0,93.415436,104.55000125
2026-01-29,day_ahead_price,1,90.626335,104.0
2026-01-29,day_ahead_price,2,92.30919,101.88000075000001
2026-01-29,day_ahead_price,3,91.84507,100.02250099999999
2026-01-29,day_ahead_price,4,89.91113,100.93250075
2026-01-29,day_ahead_price,5,93.99113,104.3900015
2026-01-29,day_ahead_price,6,106.29269,111.62499975
2026-01-29,day_ahead_price,7,127.237564,133.86750025
2026-01-29,day_ahead_price,8,149.49992,157.29000100000002
