delivery_day,target,hour,forecast,actual
2026-01-28,day_ahead_price,0,100.70786,96.76499925
2026-01-28,day_ahead_price,1,96.41121,97.2624985
2026-01-28,day_ahead_price,2,96.28757,97.254999
2026-01-28,day_ahead_price,3,89.19235,97.675001
2026-01-28,day_ahead_price,4,79.04523,97.21749875
2026-01-28,day_ahead_price,5,96.91249,98.28999925
2026-01-28,day_ahead_price,6,107.19133,109.03249749999999
2026-01-28,day_ahead_price,7,136.22862,138.39249974999998
2026-01-28,day_ahead_price,8,146.00056,171.02000049999998
2026-01-28,day_ahead_price,9,140.83418,172.5600015
2026-01-28,day_ahead_price,10,125.93259,171.1174965
2026-01-28,day_ahead_price,11,113.468994,162.42750174999998
2026-01-28,day_ahead_price,12,101.16208,152.1375005
2026-01-28,day_ahead_price,13,105.17531,142.012497
2026-01-28,day_ahead_price,14,112.84024,134.42000175
2026-01-28,day_ahead_price,15,116.15846,137.02749649999998
2026-01-28,day_ahead_price,16,123.97927,146.47999950000002
2026-01-28,day_ahead_price,17,122.11304,162.0374985
2026-01-28,day_ahead_price,18,124.93658,170.0550005
2026-01-28,day_ahead_price,19,130.76892,153.82000324999998
2026-01-28,day_ahead_price,20,108.59349,133.8449955
2026-01-28,day_ahead_price,21,103.18283,117.35000025000001
2026-01-28,day_ahead_price,22,101.65767,111.27249900000001
2026-01-28,day_ahead_price,23,96.452576,105.73499874999999
2026-01-28,capacity_price,0,0.6613766,0.54
2026-01-28,capacity_price,1,0.65732616,0.67
2026-01-28,capacity_price,2,0.5801166,0.67
2026-01-28,capacity_price,3,1.0587311,0.67
2026-01-28,capacity_price,4,1.1978743,0.67
2026-01-28,capacity_price,5,1.542769,3.35
2026-01-28,capacity_price,6,17.337389,13.26
2026-01-28,capacity_price,7,10.143966,13.32
2026-01-28,capacity_price,8,32.1143,46.59
2026-01-28,capacity_price,9,30.568718,39.23
2026-01-28,capacity_price,10,21.272419,80.35
2026-01-28,capacity_price,11,26.12237,71.36
2026-01-28,capacity_price,12,22.082285,46.59
2026-01-28,capacity_price,13,21.474258,60.92
2026-01-28,capacity_price,14,16.838213,46.59
2026-01-28,capacity_price,15,29.640823,46.59
2026-01-28,capacity_price,16,32.09867,80.35
2026-01-28,capacity_price,17,35.976513,80.35
2026-01-28,capacity_price,18,39.922527,80.35
2026-01-28,capacity_price,19,52.936695,80.35
2026-01-28,capacity_price,20,37.941643,74.58
2026-01-28,capacity_price,21,38.557964,62.77
2026-01-28,capacity_price,22,16.071737,13.39
2026-01-28,capacity_price,23,3.4054453,1.21
2026-01-28,activation_volume,0,23.06293,56.54
2026-01-28,activation_volume,1,7.457945,46.56
2026-01-28,activation_volume,2,5.502797,22.06
2026-01-28,activation_volume,3,3.7544546,0.0
2026-01-28,activation_volume,4,2.4232702,4.54
2026-01-28,activation_volume,5,7.8099833,2.45
2026-01-28,activation_volume,6,23.196976,17.599999999999998
2026-01-28,activation_volume,7,11.456078,13.910000000000002
2026-01-28,activation_volume,8,15.693866,3.3499999999999996
2026-01-28,activation_volume,9,9.613292,2.17
2026-01-28,activation_volume,10,7.2211437,39.44
2026-01-28,activation_volume,11,10.206049,9.26
2026-01-28,activation_volume,12,8.485672,0.44
2026-01-28,activation_volume,13,9.327885,7.1899999999999995
2026-01-28,activation_volume,14,9.053032,7.989999999999999
2026-01-28,activation_volume,15,6.8259563,4.27
2026-01-28,activation_volume,16,12.913889,1.92
2026-01-28,activation_volume,17,7.0096884,5.67
2026-01-28,activation_volume,18,0.5858159,0.0
2026-01-28,activation_volume,19,2.023404,0.0
2026-01-28,activation_volume,20,0.61422455,0.0
2026-01-28,activation_volume,21,2.4775934,0.0
2026-01-28,activation_volume,22,1.8934584,0.0
2026-01-28,activation_volume,23,4.0211377,0.31
2026-01-28,activation_price,0,106.22035,551.7278440042447
2026-01-28,activation_price,1,96.23721,177.9866043814433
2026-01-28,activation_price,2,104.918945,133.3132048957389
2026-01-28,activation_price,3,97.05803,
2026-01-28,activation_price,4,116.53838,116.74504405286345
2026-01-28,activation_price,5,104.667656,122.02085714285714
2026-01-28,activation_price,6,110.301926,221.6976931818182
2026-01-28,activation_price,7,103.74816,313.99523364485975
