delivery_day,target,hour,forecast,actual
2026-01-28,day_ahead_price,0,75.98967,96.76499925
2026-01-28,day_ahead_price,1,72.20371,97.2624985
2026-01-28,day_ahead_price,2,68.59133,97.254999
2026-01-28,day_ahead_price,3,61.065346,97.675001
2026-01-28,day_ahead_price,4,58.788963,97.21749875
2026-01-28,day_ahead_price,5,64.38688,98.28999925
2026-01-28,day_ahead_price,6,80.63939,109.03249749999999
2026-01-28,day_ahead_price,7,99.181564,138.39249974999998
2026-01-28,day_ahead_price,8,100.12367,171.02000049999998
2026-01-28,day_ahead_price,9,107.61333,172.5600015
2026-01-28,day_ahead_price,10,105.80667,171.1174965
2026-01-28,day_ahead_price,11,93.21977,162.42750174999998
2026-01-28,day_ahead_price,12,91.752914,152.1375005
2026-01-28,day_ahead_price,13,90.96655,142.012497
2026-01-28,day_ahead_price,14,94.12718,134.42000175
2026-01-28,day_ahead_price,15,93.95152,137.02749649999998
2026-01-28,day_ahead_price,16,99.94318,146.47999950000002
2026-01-28,day_ahead_price,17,105.86401,162.0374985
2026-01-28,day_ahead_price,18,93.519714,170.0550005
2026-01-28,day_ahead_price,19,110.5417,153.82000324999998
2026-01-28,day_ahead_price,20,92.69622,133.8449955
2026-01-28,day_ahead_price,21,84.2263,117.35000025000001
2026-01-28,day_ahead_price,22,82.081726,111.27249900000001
2026-01-28,day_ahead_price,23,76.20171,105.73499874999999
2026-01-28,capacity_price,0,0.55983436,0.54
2026-01-28,capacity_price,1,0.6054497,0.67
2026-01-28,capacity_price,2,0.5741332,0.67
2026-01-28,capacity_price,3,0.7760818,0.67
2026-01-28,capacity_price,4,1.0810559,0.67
2026-01-28,capacity_price,5,1.4486239,3.35
2026-01-28,capacity_price,6,5.528415,13.26
2026-01-28,capacity_price,7,5.4984574,13.32
2026-01-28,capacity_price,8,26.265194,46.59
2026-01-28,capacity_price,9,16.190409,39.23
2026-01-28,capacity_price,10,21.960472,80.35
2026-01-28,capacity_price,11,20.750309,71.36
2026-01-28,capacity_price,12,16.59019,46.59
2026-01-28,capacity_price,13,16.820456,60.92
2026-01-28,capacity_price,14,16.422329,46.59
2026-01-28,capacity_price,15,21.115753,46.59
2026-01-28,capacity_price,16,16.723305,80.35
2026-01-28,capacity_price,17,27.74076,80.35
2026-01-28,capacity_price,18,26.49473,80.35
2026-01-28,capacity_price,19,32.826836,80.35
2026-01-28,capacity_price,20,20.757523,74.58
2026-01-28,capacity_price,21,18.28067,62.77
2026-01-28,capacity_price,22,6.5891037,13.39
2026-01-28,capacity_price,23,0.989427,1.21
2026-01-28,activation_volume,0,22.095392,56.54
2026-01-28,activation_volume,1,5.219698,46.56
2026-01-28,activation_volume,2,2.9357243,22.06
2026-01-28,activation_volume,3,2.216651,0.0
2026-01-28,activation_volume,4,0.44684047,4.54
2026-01-28,activation_volume,5,10.661547,2.45
2026-01-28,activation_volume,6,14.005663,17.599999999999998
2026-01-28,activation_volume,7,7.455133,13.910000000000002
2026-01-28,activation_volume,8,17.50901,3.3499999999999996
2026-01-28,activation_volume,9,6.9351344,2.17
2026-01-28,activation_volume,10,8.643063,39.44
2026-01-28,activation_volume,11,3.4352875,9.26
2026-01-28,activation_volume,12,7.614884,0.44
2026-01-28,activation_volume,13,7.545331,7.1899999999999995
2026-01-28,activation_volume,14,4.6102915,7.989999999999999
2026-01-28,activation_volume,15,5.795329,4.27
2026-01-28,activation_volume,16,14.146195,1.92
2026-01-28,activation_volume,17,3.774952,5.67
2026-01-28,activation_volume,18,0.0,0.0
2026-01-28,activation_volume,19,0.45153224,0.0
2026-01-28,activation_volume,20,0.0,0.0
