delivery_day,target,hour,forecast,actual
2026-01-28,day_ahead_price,0,68.15875,96.76499925
2026-01-28,day_ahead_price,1,61.127502,97.2624985
2026-01-28,day_ahead_price,2,59.4225,97.254999
2026-01-28,day_ahead_price,3,58.56,97.675001
2026-01-28,day_ahead_price,4,61.739998,97.21749875
2026-01-28,day_ahead_price,5,62.004997,98.28999925
2026-01-28,day_ahead_price,6,65.534996,109.03249749999999
2026-01-28,day_ahead_price,7,80.03375,138.39249974999998
2026-01-28,day_ahead_price,8,89.395,171.02000049999998
2026-01-28,day_ahead_price,9,85.555,172.5600015
2026-01-28,day_ahead_price,10,81.0025,171.1174965
2026-01-28,day_ahead_price,11,75.415,162.42750174999998
2026-01-28,day_ahead_price,12,76.05,152.1375005
2026-01-28,day_ahead_price,13,77.409996,142.012497
2026-01-28,day_ahead_price,14,85.8475,134.42000175
2026-01-28,day_ahead_price,15,90.807495,137.02749649999998
2026-01-28,day_ahead_price,16,96.917496,146.47999950000002
2026-01-28,day_ahead_price,17,103.0,162.0374985
2026-01-28,day_ahead_price,18,108.395004,170.0550005
2026-01-28,day_ahead_price,19,97.49875,153.82000324999998
2026-01-28,day_ahead_price,20,89.9,133.8449955
2026-01-28,day_ahead_price,21,80.8375,117.35000025000001
2026-01-28,day_ahead_price,22,79.58,111.27249900000001
2026-01-28,day_ahead_price,23,73.222496,105.73499874999999
2026-01-28,capacity_price,0,1.21,0.54
2026-01-28,capacity_price,1,1.21,0.67
2026-01-28,capacity_price,2,1.21,0.67
2026-01-28,capacity_price,3,1.21,0.67
2026-01-28,capacity_price,4,1.34,0.67
2026-01-28,capacity_price,5,3.93,3.35
2026-01-28,capacity_price,6,6.7,13.26
2026-01-28,capacity_price,7,14.46,13.32
2026-01-28,capacity_price,8,22.275,46.59
2026-01-28,capacity_price,9,13.155001,39.23
2026-01-28,capacity_price,10,12.56,80.35
2026-01-28,capacity_price,11,9.5,71.36
2026-01-28,capacity_price,12,9.45,46.59
2026-01-28,capacity_price,13,6.7,60.92
2026-01-28,capacity_price,14,7.36,46.59
2026-01-28,capacity_price,15,8.78,46.59
2026-01-28,capacity_price,16,21.5,80.35
2026-01-28,capacity_price,17,43.45,80.35
2026-01-28,capacity_price,18,41.84,80.35
2026-01-28,capacity_price,19,43.65,80.35
2026-01-28,capacity_price,20,30.26,74.58
2026-01-28,capacity_price,21,19.875,62.77
2026-01-28,capacity_price,22,7.77,13.39
2026-01-28,capacity_price,23,6.7,1.21
2026-01-28,activation_volume,0,19.785,56.54
2026-01-28,activation_volume,1,13.45,46.56
2026-01-28,activation_volume,2,9.89,22.06
2026-01-28,activation_volume,3,4.25,0.0
2026-01-28,activation_volume,4,3.275,4.54
2026-01-28,activation_volume,5,5.285,2.45
2026-01-28,activation_volume,6,11.82,17.599999999999998
2026-01-28,activation_volume,7,7.54,13.910000000000002
2026-01-28,activation_volume,8,14.5,3.3499999999999996
2026-01-28,activation_volume,9,11.53,2.17
2026-01-28,activation_volume,10,11.01,39.44
2026-01-28,activation_volume,11,14.14,9.26
2026-01-28,activation_volume,12,13.06,0.44
2026-01-28,activation_volume,13,11.93,7.1899999999999995
2026-01-28,activation_volume,14,9.76,7.989999999999999
2026-01-28,activation_volume,15,10.65,4.27
2026-01-28,activation_volume,16,12.06,1.92
2026-01-28,activation_volume,17,8.54,5.67
2026-01-28,activation_volume,18,2.9250002,0.0
2026-01-28,activation_volume,19,2.68,0.0
2026-01-28,activation_volume,20,3.685,0.0
2026-01-28,activation_volume,21,1.78,0.0
2026-01-28,activation_volume,22,4.9,0.0
2026-01-28,activation_volume,23,3.135,0.31
2026-01-28,activation_price,0,101.101,551.7278440042447
2026-01-28,activation_price,1,84.61,177.9866043814433
2026-01-28,activation_price,2,86.578064,133.3132048957389
2026-01-28,activation_price,3,65.161446,
2026-01-28,activation_price,4,66.251305,116.74504405286345
2026-01-28,activation_price,5,86.478386,122.02085714285714
2026-01-28,activation_price,6,106.941696,221.6976931818182
2026-01-28,activation_price,7,115.01867,313.99523364485975
2026-01-28,activation_price,8,123.895546,160.1754328358209
2026-01-28,activation_price,9,124.229164,174.31700460829492
