delivery_day,target,hour,forecast,actual
2026-01-28,day_ahead_price,0,78.87875,96.76499925
2026-01-28,day_ahead_price,1,77.036255,97.2624985
2026-01-28,day_ahead_price,2,72.805,97.254999
2026-01-28,day_ahead_price,3,70.205,97.675001
2026-01-28,day_ahead_price,4,67.65375,97.21749875
2026-01-28,day_ahead_price,5,65.2825,98.28999925
2026-01-28,day_ahead_price,6,73.369995,109.03249749999999
2026-01-28,day_ahead_price,7,82.59125,138.39249974999998
2026-01-28,day_ahead_price,8,90.28875,171.02000049999998
2026-01-28,day_ahead_price,9,89.33625,172.5600015
2026-01-28,day_ahead_price,10,85.6275,171.1174965
2026-01-28,day_ahead_price,11,79.3375,162.42750174999998
2026-01-28,day_ahead_price,12,77.307495,152.1375005
2026-01-28,day_ahead_price,13,77.784996,142.012497
2026-01-28,day_ahead_price,14,81.009995,134.42000175
2026-01-28,day_ahead_price,15,88.685,137.02749649999998
2026-01-28,day_ahead_price,16,96.917496,146.47999950000002
2026-01-28,day_ahead_price,17,111.82,162.0374985
2026-01-28,day_ahead_price,18,112.8075,170.0550005
2026-01-28,day_ahead_price,19,107.21,153.82000324999998
2026-01-28,day_ahead_price,20,94.285,133.8449955
2026-01-28,day_ahead_price,21,88.39875,117.35000025000001
2026-01-28,day_ahead_price,22,84.3675,111.27249900000001
2026-01-28,day_ahead_price,23,78.02625,105.73499874999999
2026-01-28,capacity_price,0,1.21,0.54
2026-01-28,capacity_price,1,1.21,0.67
2026-01-28,capacity_price,2,1.21,0.67
2026-01-28,capacity_price,3,1.21,0.67
2026-01-28,capacity_price,4,1.34,0.67
2026-01-28,capacity_price,5,3.53,3.35
2026-01-28,capacity_price,6,6.7,13.26
2026-01-28,capacity_price,7,11.35,13.32
2026-01-28,capacity_price,8,24.9,46.59
2026-01-28,capacity_price,9,12.530001,39.23
2026-01-28,capacity_price,10,12.56,80.35
2026-01-28,capacity_price,11,8.13,71.36
2026-01-28,capacity_price,12,8.295,46.59
2026-01-28,capacity_price,13,6.7,60.92
2026-01-28,capacity_price,14,9.285,46.59
2026-01-28,capacity_price,15,19.675,46.59
2026-01-28,capacity_price,16,34.48,80.35
2026-01-28,capacity_price,17,45.385,80.35
2026-01-28,capacity_price,18,44.59,80.35
2026-01-28,capacity_price,19,44.92,80.35
2026-01-28,capacity_price,20,31.515,74.58
2026-01-28,capacity_price,21,24.9,62.77
2026-01-28,capacity_price,22,10.0,13.39
2026-01-28,capacity_price,23,10.905001,1.21
2026-01-28,activation_volume,0,16.275,56.54
2026-01-28,activation_volume,1,19.83,46.56
2026-01-28,activation_volume,2,11.309999,22.06
2026-01-28,activation_volume,3,4.075,0.0
2026-01-28,activation_volume,4,5.26,4.54
2026-01-28,activation_volume,5,7.6000004,2.45
2026-01-28,activation_volume,6,14.395,17.599999999999998
2026-01-28,activation_volume,7,8.67,13.910000000000002
2026-01-28,activation_volume,8,15.305,3.3499999999999996
2026-01-28,activation_volume,9,18.34,2.17
2026-01-28,activation_volume,10,12.370001,39.44
2026-01-28,activation_volume,11,14.41,9.26
2026-01-28,activation_volume,12,14.0,0.44
2026-01-28,activation_volume,13,13.07,7.1899999999999995
2026-01-28,activation_volume,14,10.89,7.989999999999999
2026-01-28,activation_volume,15,10.45,4.27
2026-01-28,activation_volume,16,15.55,1.92
2026-01-28,activation_volume,17,14.245,5.67
2026-01-28,activation_volume,18,5.865,0.0
2026-01-28,activation_volume,19,5.385,0.0
2026-01-28,activation_volume,20,3.59,0.0
2026-01-28,activation_volume,21,4.21,0.0
2026-01-28,activation_volume,22,5.1099997,0.0
2026-01-28,activation_volume,23,4.76,0.31
2026-01-28,activation_price,0,106.14351,551.7278440042447
2026-01-28,activation_price,1,89.77057,177.9866043814433
2026-01-28,activation_price,2,90.764435,133.3132048957389
2026-01-28,activation_price,3,57.99904,
2026-01-28,activation_price,4,77.02311,116.74504405286345
2026-01-28,activation_price,5,81.605736,122.02085714285714
2026-01-28,activation_price,6,115.77177,221.6976931818182
2026-01-28,activation_price,7,114.96277,313.99523364485975
2026-01-28,activation_price,8,126.02173,160.1754328358209
2026-01-28,activation_price,9,131.69995,174.31700460829492
2026-01-28,activation_price,10,123.17714,1880.7294320486817
2026-01-28,activation_price,11,119.62627,178.51993520518357
2026-01-28,activation_price,12,116.82215,156.3
2026-01-28,activation_price,13,119.39059,224.0597218358832
2026-01-28,activation_price,14,116.704315,208.758760951189
2026-01-28,activation_price,15,112.470055,435.6332552693209
2026-01-28,activation_price,16,120.620804,146.32729166666667
2026-01-28,activation_price,17,144.44847,140.27012345679012
2026-01-28,activation_price,18,114.4436,
2026-01-28,activation_price,19,105.50513,
2026-01-28,activation_price,20,92.48073,
2026-01-28,activation_price,21,92.240944,
2026-01-28,activation_price,22,93.37502,
2026-01-28,activation_price,23,85.63266,118.76
2026-01-29,day_ahead_price,0,62.23875,104.55000125
2026-01-29,day_ahead_price,1,62.93,104.0
2026-01-29,day_ahead_price,2,60.761253,101.88000075000001
2026-01-29,day_ahead_price,3,58.2475,100.02250099999999
2026-01-29,day_ahead_price,4,57.91375,100.93250075
2026-01-29,day_ahead_price,5,57.0325,104.3900015
2026-01-29,day_ahead_price,6,67.652504,111.62499975
2026-01-29,day_ahead_price,7,80.44125,133.86750025
2026-01-29,day_ahead_price,8,88.40625,157.29000100000002
2026-01-29,day_ahead_price,9,82.47,158.31000125
2026-01-29,day_ahead_price,10,81.26375,147.699997
2026-01-29,day_ahead_price,11,77.70875,138.4124985
