delivery_day,target,hour,forecast,actual
2026-01-28,day_ahead_price,0,115.11249925,96.76499925
2026-01-28,day_ahead_price,1,109.84250075,97.2624985
2026-01-28,day_ahead_price,2,104.8999995,97.254999
2026-01-28,day_ahead_price,3,101.575001,97.675001
2026-01-28,day_ahead_price,4,100.25250075,97.21749875
2026-01-28,day_ahead_price,5,101.295002,98.28999925
2026-01-28,day_ahead_price,6,113.39249825,109.03249749999999
2026-01-28,day_ahead_price,7,152.56999975,138.39249974999998
2026-01-28,day_ahead_price,8,168.59999825,171.02000049999998
2026-01-28,day_ahead_price,9,158.09750350000002,172.5600015
2026-01-28,day_ahead_price,10,149.050003,171.1174965
2026-01-28,day_ahead_price,11,133.30500224999997,162.42750174999998
2026-01-28,day_ahead_price,12,123.04249775,152.1375005
2026-01-28,day_ahead_price,13,113.19749850000001,142.012497
2026-01-28,day_ahead_price,14,122.9974995,134.42000175
2026-01-28,day_ahead_price,15,109.2250005,137.02749649999998
2026-01-28,day_ahead_price,16,112.977501,146.47999950000002
2026-01-28,day_ahead_price,17,127.68000225,162.0374985
2026-01-28,day_ahead_price,18,140.53249749999998,170.0550005
2026-01-28,day_ahead_price,19,136.61500175,153.82000324999998
2026-01-28,day_ahead_price,20,119.54999925,133.8449955
2026-01-28,day_ahead_price,21,113.03999900000001,117.35000025000001
2026-01-28,day_ahead_price,22,111.7975005,111.27249900000001
2026-01-28,day_ahead_price,23,105.84249875,105.73499874999999
2026-01-28,capacity_price,0,0.27,0.54
2026-01-28,capacity_price,1,0.67,0.67
2026-01-28,capacity_price,2,0.67,0.67
2026-01-28,capacity_price,3,0.67,0.67
2026-01-28,capacity_price,4,1.21,0.67
2026-01-28,capacity_price,5,13.39,3.35
2026-01-28,capacity_price,6,26.79,13.26
2026-01-28,capacity_price,7,26.79,13.32
2026-01-28,capacity_price,8,80.34,46.59
2026-01-28,capacity_price,9,87.68,39.23
2026-01-28,capacity_price,10,82.88,80.35
2026-01-28,capacity_price,11,73.5,71.36
2026-01-28,capacity_price,12,72.32,46.59
2026-01-28,capacity_price,13,70.35,60.92
2026-01-28,capacity_price,14,66.96,46.59
2026-01-28,capacity_price,15,75.0,46.59
2026-01-28,capacity_price,16,66.96,80.35
2026-01-28,capacity_price,17,80.34,80.35
2026-01-28,capacity_price,18,80.34,80.35
2026-01-28,capacity_price,19,82.77,80.35
2026-01-28,capacity_price,20,73.86,74.58
2026-01-28,capacity_price,21,63.75,62.77
2026-01-28,capacity_price,22,26.79,13.39
2026-01-28,capacity_price,23,1.21,1.21
2026-01-28,activation_volume,0,0.0,56.54
2026-01-28,activation_volume,1,0.0,46.56
2026-01-28,activation_volume,2,13.62,22.06
2026-01-28,activation_volume,3,0.99,0.0
2026-01-28,activation_volume,4,12.61,4.54
2026-01-28,activation_volume,5,33.58,2.45
2026-01-28,activation_volume,6,4.57,17.599999999999998
2026-01-28,activation_volume,7,3.31,13.910000000000002
2026-01-28,activation_volume,8,11.02,3.3499999999999996
2026-01-28,activation_volume,9,3.0999999999999996,2.17
2026-01-28,activation_volume,10,0.0,39.44
2026-01-28,activation_volume,11,0.0,9.26
2026-01-28,activation_volume,12,1.38,0.44
2026-01-28,activation_volume,13,15.42,7.1899999999999995
2026-01-28,activation_volume,14,6.1,7.989999999999999
2026-01-28,activation_volume,15,0.0,4.27
2026-01-28,activation_volume,16,2.7399999999999998,1.92
2026-01-28,activation_volume,17,0.0,5.67
2026-01-28,activation_volume,18,0.14,0.0
2026-01-28,activation_volume,19,6.87,0.0
2026-01-28,activation_volume,20,1.89,0.0
2026-01-28,activation_volume,21,0.39,0.0
2026-01-28,activation_volume,22,0.0,0.0
2026-01-28,activation_volume,23,0.0,0.31
2026-01-28,activation_price,0,22.01888888888889,551.7278440042447
2026-01-28,activation_price,1,85.09,177.9866043814433
2026-01-28,activation_price,2,155.38110866372978,133.3132048957389
2026-01-28,activation_price,3,130.37252525252526,
2026-01-28,activation_price,4,142.38551149881047,116.74504405286345
2026-01-28,activation_price,5,172.06417510422872,122.02085714285714
2026-01-28,activation_price,6,163.43166301969367,221.6976931818182
2026-01-28,activation_price,7,152.30256797583084,313.99523364485975
2026-01-28,activation_price,8,194.54950998185117,160.1754328358209
2026-01-28,activation_price,9,183.08432258064516,174.31700460829492
2026-01-28,activation_price,10,172.801877394636,1880.7294320486817
2026-01-28,activation_price,11,175.77456451612903,178.51993520518357
2026-01-28,activation_price,12,148.31,156.3
2026-01-28,activation_price,13,375.52040207522697,224.0597218358832
2026-01-28,activation_price,14,222.56580327868852,208.758760951189
2026-01-28,activation_price,15,168.02260663507113,435.6332552693209
2026-01-28,activation_price,16,169.77135036496352,146.32729166666667
2026-01-28,activation_price,17,152.97,140.27012345679012
2026-01-28,activation_price,18,130.17,
2026-01-28,activation_price,19,156.98854439592432,
2026-01-28,activation_price,20,150.39142857142855,
2026-01-28,activation_price,21,127.88692307692308,
2026-01-28,activation_price,22,169.04430809399474,
2026-01-28,activation_price,23,126.42,118.76
2026-01-29,day_ahead_price,0,96.76499925,104.55000125
2026-01-29,day_ahead_price,1,97.2624985,104.0
2026-01-29,day_ahead_price,2,97.254999,101.88000075000001
2026-01-29,day_ahead_price,3,97.675001,100.02250099999999
2026-01-29,day_ahead_price,4,97.21749875,100.93250075
2026-01-29,day_ahead_price,5,98.28999925,104.3900015
2026-01-29,day_ahead_price,6,109.03249749999999,111.62499975
2026-01-29,day_ahead_price,7,138.39249974999998,133.86750025
2026-01-29,day_ahead_price,8,171.02000049999998,157.29000100000002
2026-01-29,day_ahead_price,9,172.5600015,158.31000125
2026-01-29,day_ahead_price,10,171.1174965,147.699997
2026-01-29,day_ahead_price,11,162.42750174999998,138.4124985
2026-01-29,day_ahead_price,12,152.1375005,130.24500075
2026-01-29,day_ahead_price,13,142.012497,128.4550015
2026-01-29,day_ahead_price,14,134.42000175,129.2525005
2026-01-29,day_ahead_price,15,137.02749649999998,129.994999
2026-01-29,day_ahead_price,16,146.47999950000002,142.49249675000002
2026-01-29,day_ahead_price,17,162.0374985,130.249996
2026-01-29,day_ahead_price,18,170.0550005,138.0
2026-01-29,day_ahead_price,19,153.82000324999998,126.91000000000001
2026-01-29,day_ahead_price,20,133.8449955,117.2800005
2026-01-29,day_ahead_price,21,117.35000025000001,111.08499900000001
2026-01-29,day_ahead_price,22,111.27249900000001,106.5925005
2026-01-29,day_ahead_price,23,105.73499874999999,98.77750025
2026-01-29,capacity_price,0,0.54,0.67
2026-01-29,capacity_price,1,0.67,0.54
2026-01-29,capacity_price,2,0.67,0.54
2026-01-29,capacity_price,3,0.67,0.67
2026-01-29,capacity_price,4,0.67,0.67
2026-01-29,capacity_price,5,3.35,1.21
2026-01-29,capacity_price,6,13.26,10.0
2026-01-29,capacity_price,7,13.32,10.0
2026-01-29,capacity_price,8,46.59,13.32
2026-01-29,capacity_price,9,39.23,13.39
2026-01-29,capacity_price,10,80.35,16.25
2026-01-29,capacity_price,11,71.36,13.39
2026-01-29,capacity_price,12,46.59,13.32
2026-01-29,capacity_price,13,60.92,13.39
2026-01-29,capacity_price,14,46.59,13.32
2026-01-29,capacity_price,15,46.59,13.32
2026-01-29,capacity_price,16,80.35,13.39
2026-01-29,capacity_price,17,80.35,74.33
2026-01-29,capacity_price,18,80.35,80.36
2026-01-29,capacity_price,19,80.35,80.36
2026-01-29,capacity_price,20,74.58,62.12
2026-01-29,capacity_price,21,62.77,13.39
2026-01-29,capacity_price,22,13.39,6.7
2026-01-29,capacity_price,23,1.21,1.21
2026-01-29,activation_volume,0,56.54,3.5
2026-01-29,activation_volume,1,46.56,20.23
2026-01-29,activation_volume,2,22.06,5.960000000000001
2026-01-29,activation_volume,3,0.0,18.310000000000002
2026-01-29,activation_volume,4,4.54,1.01
2026-01-29,activation_volume,5,2.45,0.07
2026-01-29,activation_volume,6,17.599999999999998,30.740000000000002
2026-01-29,activation_volume,7,6.63,12.36
2026-01-29,activation_volume,8,6.77,14.290000000000001
2026-01-29,activation_volume,9,4.98,20.810000000000002
