delivery_day,target,hour,forecast,actual
2026-01-28,day_ahead_price,0,101.147675,96.76499925
2026-01-28,day_ahead_price,1,99.59199,97.2624985
2026-01-28,day_ahead_price,2,97.22635,97.254999
2026-01-28,day_ahead_price,3,94.539986,97.675001
2026-01-28,day_ahead_price,4,95.05452,97.21749875
2026-01-28,day_ahead_price,5,99.15776,98.28999925
2026-01-28,day_ahead_price,6,115.56824,109.03249749999999
2026-01-28,day_ahead_price,7,140.87846,138.39249974999998
2026-01-28,day_ahead_price,8,162.18993,171.02000049999998
2026-01-28,day_ahead_price,9,151.13124,172.5600015
2026-01-28,day_ahead_price,10,130.09818,171.1174965
2026-01-28,day_ahead_price,11,108.833046,162.42750174999998
2026-01-28,day_ahead_price,12,108.216354,152.1375005
2026-01-28,day_ahead_price,13,108.93988,142.012497
2026-01-28,day_ahead_price,14,115.33771,134.42000175
2026-01-28,day_ahead_price,15,117.94904,137.02749649999998
2026-01-28,day_ahead_price,16,121.31917,146.47999950000002
2026-01-28,day_ahead_price,17,125.90852,162.0374985
2026-01-28,day_ahead_price,18,128.70805,170.0550005
2026-01-28,day_ahead_price,19,125.42601,153.82000324999998
2026-01-28,day_ahead_price,20,112.542725,133.8449955
2026-01-28,day_ahead_price,21,103.11305,117.35000025000001
2026-01-28,day_ahead_price,22,102.52726,111.27249900000001
2026-01-28,day_ahead_price,23,97.377205,105.73499874999999
2026-01-28,capacity_price,0,0.6584132,0.54
2026-01-28,capacity_price,1,0.6329204,0.67
2026-01-28,capacity_price,2,1.1215179,0.67
2026-01-28,capacity_price,3,1.0098662,0.67
2026-01-28,capacity_price,4,1.2254622,0.67
2026-01-28,capacity_price,5,5.975087,3.35
2026-01-28,capacity_price,6,12.03735,13.26
2026-01-28,capacity_price,7,15.488291,13.32
2026-01-28,capacity_price,8,66.28949,46.59
2026-01-28,capacity_price,9,31.818588,39.23
2026-01-28,capacity_price,10,28.643557,80.35
2026-01-28,capacity_price,11,46.05883,71.36
2026-01-28,capacity_price,12,27.762009,46.59
2026-01-28,capacity_price,13,24.191597,60.92
2026-01-28,capacity_price,14,27.87149,46.59
2026-01-28,capacity_price,15,35.240894,46.59
2026-01-28,capacity_price,16,45.412857,80.35
2026-01-28,capacity_price,17,64.36163,80.35
2026-01-28,capacity_price,18,73.91164,80.35
2026-01-28,capacity_price,19,75.106834,80.35
2026-01-28,capacity_price,20,65.31796,74.58
2026-01-28,capacity_price,21,49.472725,62.77
2026-01-28,capacity_price,22,23.143496,13.39
2026-01-28,capacity_price,23,7.1203995,1.21
2026-01-28,activation_volume,0,27.332314,56.54
2026-01-28,activation_volume,1,8.953354,46.56
2026-01-28,activation_volume,2,5.8333535,22.06
2026-01-28,activation_volume,3,2.7846203,0.0
