arm,method_name,seed,target,evaluation_set,n_days,fit_window_empirical_resolution,extrapolated_quantile_levels,extrapolation_note,activation_positive_q99_note,quantile_level,exceedance_frequency,pressure_exceedance_frequency,n_valid,n_pressure
climatology,Rolling climatological scenarios,1,day_ahead_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.1996445497630331,,5064,0
climatology,Rolling climatological scenarios,1,day_ahead_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.1172985781990521,,5064,0
climatology,Rolling climatological scenarios,1,capacity_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.072867298578199,0.453781512605042,5064,357
climatology,Rolling climatological scenarios,1,capacity_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.0312006319115323,0.2324929971988795,5064,357
climatology,Rolling climatological scenarios,1,activation_volume,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,q99_often_equals_q97_5_endpoint_extension_not_estimate,0.95,0.0614139020537124,0.5847457627118644,5064,354
climatology,Rolling climatological scenarios,1,activation_volume,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,q99_often_equals_q97_5_endpoint_extension_not_estimate,0.99,0.0274486571879936,0.307909604519774,5064,354
climatology,Rolling climatological scenarios,1,activation_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.1010928961748633,,4758,0
climatology,Rolling climatological scenarios,1,activation_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.0359394703656998,,4758,0
climatology,Rolling climatological scenarios,1,day_ahead_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.2005582137161084,,5016,0
climatology,Rolling climatological scenarios,1,day_ahead_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.117822966507177,,5016,0
climatology,Rolling climatological scenarios,1,capacity_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.071371610845295,0.4558404558404558,5016,351
climatology,Rolling climatological scenarios,1,capacity_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.0297049441786283,0.2336182336182336,5016,351
climatology,Rolling climatological scenarios,1,activation_volume,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,q99_often_equals_q97_5_endpoint_extension_not_estimate,0.95,0.0612041467304625,0.5847457627118644,5016,354
